,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,25, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.
6. 0:00 - 0:05: The mouse is positioned in front of the spout with its right paw near the water drop.
0:06 - 0:10: The mouse's right paw moves towards the water drop on the spout.
0:11 - 0:15: The mouse's right paw makes contact with the water drop, and the water drop is transferred to the paw.
0:16 - 0:20: The mouse brings the water drop close to its mouth, and the tongue makes contact with the water drop.
0:21 - 0:25: The mouse licks the water drop from its paw, consuming the water.
0:26 - 0:30: The mouse continues to lick the water drop, ensuring it consumes most of it.
0:31 - 0:35: The mouse finishes drinking the water drop, and the paw returns to its original position.
7. 95%", 95%
1,1,27, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse's tongue made physical contact with the water drop, and the entire drop was consumed.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse's tongue made physical contact with the water drop, and the entire drop was consumed.  
6. 0:00 - 0:20: The mouse is positioned in front of the spout, with its right paw resting on the surface.  
0:20 - 0:30: The mouse lifts its right paw and extends it towards the spout.  
0:30 - 0:40: The mouse's right paw makes contact with the water drop on the spout.  
0:40 - 0:50: The mouse brings the water drop closer to its mouth using its right paw.  
0:50 - 1:00: The mouse's tongue makes physical contact with the water drop, and the mouse begins to drink.  
1:00 - 1:10: The mouse continues to drink the water, with the entire drop being consumed.  
1:10 - 1:20: The mouse finishes drinking, and the water drop is no longer visible on the spout.  
7. 95%", 95%
2,2,18, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire water drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire water drop.  
6. 0:00 - 0:10: The mouse is positioned in front of the spout with the water drop attached.  
0:10 - 0:20: The mouse's right paw begins to move towards the spout.  
0:20 - 0:30: The mouse's right paw touches the water drop on the spout.  
0:30 - 0:40: The mouse's tongue makes physical contact with the water drop.  
0:40 - 0:50: The mouse continues to lick the water drop, consuming it.  
0:50 - 1:00: The mouse finishes drinking the water drop.  
7. 95%", 95%
3,3,33, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout throughout the trial, and no evidence of retrieval or consumption was observed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout throughout the trial, and no evidence of retrieval or consumption was observed.  
6. 0:00 - 0:10: The mouse is positioned in the apparatus, with the water drop visible on the spout.  
0:10 - 0:20: The mouse lifts its right paw toward the spout but does not touch the water drop.  
0:20 - 0:30: The mouse attempts to reach the water drop with its paw but fails to make contact.  
0:30 - 0:40: The mouse continues to attempt reaching the water drop, but the paw remains at a distance.  
0:40 - 0:50: The mouse retracts its paw and does not make further attempts to reach the water drop.  
0:50 - 1:00: The mouse remains stationary, with no further movement toward the water drop.  
7. 95%", 95%
4,4,41, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse then licked the water from its paw, indicating that the entire drop was consumed.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse then licked the water from its paw, indicating that the entire drop was consumed.  
6. 0:00 - 0:50: The mouse is positioned in front of the spout, with its right paw resting on the surface.  
   0:51 - 1:00: The mouse lifts its right paw and extends it towards the spout.  
   1:01 - 1:10: The mouse's paw makes contact with the water drop, and the drop adheres to the paw.  
   1:11 - 1:20: The mouse brings its paw to its mouth and begins to lick the water.  
   1:21 - 4:45: The mouse continues to lick the water from its paw, consuming the entire drop.  
7. 95%", 95%
5,5,1, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the water, indicating full consumption.  
6. 0:00 - 1:10: The mouse remains stationary, with no movement of the paw or tongue.  
1:11 - 1:15: The mouse lifts its right paw toward the spout.  
1:16 - 1:20: The right paw makes contact with the water drop, and the drop adheres to the paw.  
1:21 - 1:25: The mouse brings the water drop to its mouth.  
1:26 - 4:45: The mouse licks the water drop, with the tongue making repeated contact and the drop being consumed.  
7. 95%", 95%
6,6,16, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.  
6. 0:00 - 0:20: The mouse is positioned in front of the spout with its paws resting on the surface.  
0:20 - 0:30: The mouse lifts its right paw and moves it towards the spout.  
0:30 - 0:40: The mouse's right paw makes contact with the water drop on the spout.  
0:40 - 0:50: The mouse brings the water drop close to its mouth.  
0:50 - 1:00: The mouse's tongue makes physical contact with the water drop, and it begins to drink.  
1:00 - 1:10: The mouse continues to drink the water drop, and the entire drop is consumed.  
1:10 - 1:20: The mouse finishes drinking and retracts its paw.  
7. 95%", 95%
7,7,51,,,,,s,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout, and the mouse did not successfully retrieve any of it.  
6. 0:00 - 0:10: The mouse is positioned in front of the spout with its paws near the water drop.  
0:10 - 0:20: The mouse attempts to reach the water drop with its paws but does not make contact.  
0:20 - 0:30: The mouse continues to attempt to reach the water drop, but the drop remains on the spout.  
0:30 - 0:40: The mouse's paws move closer to the water drop, but no physical contact is made.  
0:40 - 0:50: The mouse's paws are positioned near the water drop, but the drop remains on the spout.  
0:50 - 1:00: The mouse's paws move away from the water drop, and the drop remains on the spout.  
1:00 - 1:10: The mouse's paws return to the water drop, but no physical contact is made.  
1:10 - 1:20: The mouse's paws are positioned near the water drop, but the drop remains on the spout.  
1:20 - 1:30: The mouse's paws move away from the water drop, and the drop remains on the spout.  
1:30 - 1:40: The mouse's paws return to the water drop, but no physical contact is made.  
1:40 - 1:50: The mouse's paws are positioned near the water drop, but the drop remains on the spout.  
1:50 - 2:00: The mouse's paws move away from the water drop, and the drop remains on the spout.  
2:00 - 2:10: The mouse's paws return to the water drop, but no physical contact is made.  
2:10 - 2:20: The mouse's paws are positioned near the water drop, but the drop remains on the spout.  
2:20 - 2:30: The mouse's paws move away from the water drop, and the drop remains on the spout.  
2:30 - 2:40: The mouse's paws return to the water drop, but no physical contact is made.  
2:40 - 2:50: The mouse's paws are positioned near the water drop, but the drop remains on the spout.  
2:50 - 3:00: The mouse's paws move away from the water drop, and the drop remains on the spout.  
3:00 - 3:10: The mouse's paws return to the water drop, but no physical contact is made.  
3:10 - 3:20: The mouse's paws are positioned near the water drop, but the drop remains on the spout.  
3:20 - 3:30: The mouse's paws move away from the water drop, and the drop remains on the spout.  
3:30 - 3:40: The mouse's paws return to the water drop, but no physical contact is made.  
3:40 - 3:50: The mouse's paws are positioned near the water drop, but the drop remains on the spout.  
3:50 - 4:00: The mouse's paws move away from the water drop, and the drop remains on the spout.  
4:00 - 4:10: The mouse's paws return to the water drop, but no physical contact is made.  
4:10 - 4:20: The mouse's paws are positioned near the water drop, but the drop remains on the spout.  
4:20 - 4:30: The mouse's paws move away from the water drop, and the drop remains on the spout.  
4:30 - 4:40: The mouse's paws return to the water drop, but no physical contact is made.  
4:40 - 4:50: The mouse's paws are positioned near the water drop, but the drop remains on the spout.  
4:50 - 5:00: The mouse's paws move",
8,8,39, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the spout, the water drop was dislodged and transferred to the paw, and the mouse licked the water from its paw, consuming the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the spout, the water drop was dislodged and transferred to the paw, and the mouse licked the water from its paw, consuming the entire drop.  
6. 0:00 - 0:30: The mouse is stationary, with its right paw resting on the platform.  
0:30 - 0:40: The mouse lifts its right paw and extends it toward the spout.  
0:40 - 0:50: The mouse's paw makes contact with the water drop, dislodging it from the spout.  
0:50 - 1:00: The water drop adheres to the mouse's paw.  
1:00 - 4:45: The mouse brings its paw to its mouth and licks the water drop, consuming it entirely.  
7. 95%", 95%
9,9,29,,,,,s,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and no water was consumed. The mouse attempted to reach the drop with its paw but did not successfully retrieve any water.  
6. 0:00 - 0:20: The mouse is positioned in front of the spout with the water drop visible.  
0:21 - 0:30: The mouse lifts its right paw towards the spout.  
0:31 - 0:40: The mouse's paw touches the water drop, but no water is transferred.  
0:41 - 1:00: The mouse attempts to bring the water drop closer to its mouth but fails to retrieve any water.  
1:01 - 1:20: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
1:21 - 1:40: The mouse's paw remains near the spout, but no water is consumed.  
1:41 - 2:00: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
2:01 - 2:20: The mouse's paw is still near the spout, but no water is consumed.  
2:21 - 2:40: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
2:41 - 3:00: The mouse's paw remains near the spout, but no water is consumed.  
3:01 - 3:20: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
3:21 - 3:40: The mouse's paw is still near the spout, but no water is consumed.  
3:41 - 4:00: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
4:01 - 4:20: The mouse's paw remains near the spout, but no water is consumed.  
4:21 - 4:40: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
4:41 - 5:00: The mouse's paw is still near the spout, but no water is consumed.  
5:01 - 5:20: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
5:21 - 5:40: The mouse's paw remains near the spout, but no water is consumed.  
5:41 - 6:00: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
6:01 - 6:20: The mouse's paw is still near the spout, but no water is consumed.  
6:21 - 6:40: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
6:41 - 7:00: The mouse's paw remains near the spout, but no water is consumed.  
7:01 - 7:20: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
7:21 - 7:40: The mouse's paw is still near the spout, but no water is consumed.  
7:41 - 8:00: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
8:01 - 8:20: The mouse's paw remains near the spout, but no water is consumed.  
8:21 - 8:40: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
8:41 - 9:00: The mouse's paw is still near the spout, but no water is consumed.  
9:01 - 9:20: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
9:21 - 9:40: The mouse's paw remains near the spout, but no water is consumed.  
9:41 - 10:00: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed.  
10:01 - 10:20: The mouse's paw is still near the spout, but no water is consumed.  
10:21 - 10:40:",
