,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made clear contact with the water drop on the spout, and brought the drop directly to its mouth. The tongue made physical contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully transferred to the mouth and ingested, indicating complete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made clear contact with the water drop on the spout, and brought the drop directly to its mouth. The tongue made physical contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully transferred to the mouth and ingested, indicating complete retrieval.  
6. 0:00 - 1:00: The mouse remains stationary, head fixed, with no paw or tongue movement.  
1:00 - 1:20: The mouse lifts its right paw and extends it toward the spout.  
1:20 - 1:40: The right paw makes contact with the water drop on the spout and lifts it.  
1:40 - 2:00: The mouse brings the water drop to its mouth and begins licking.  
2:00 - 4:40: The mouse continues to lick the water drop, consuming it entirely.  
7. 95%", 95%
1,1,77, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved by the mouse.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved by the mouse.  
6. 0:00 - 1:15: The mouse is stationary, head fixed, with no movement of the right paw or tongue.  
1:16 - 1:20: The water drop forms and remains attached to the spout.  
1:21 - 1:30: The mouse lifts its right paw slightly but does not reach the water drop.  
1:31 - 2:00: The mouse moves its right paw toward the spout but does not touch the water drop.  
2:01 - 2:30: The mouse attempts to lick the spout but does not make contact with the water drop.  
2:31 - 3:00: The mouse continues to move its right paw and tongue but fails to retrieve the water drop.  
3:01 - 4:40: The mouse remains in the same position, with no further attempts to retrieve the water drop.  
7. 95%", 95%
2,2,25, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.  
6. 0:00 - 1:30: Mouse remains stationary, no movement toward the spout.  
1:31 - 2:10: Mouse extends right paw toward the spout but does not make contact with the water drop.  
2:11 - 4:45: Mouse retracts paw, no further attempts to reach the water drop.  
7. 95%", 95%
3,3,32, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. The water drop remained on the spout and was not consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. The water drop remained on the spout and was not consumed.  
6. 0:00 - 1:05: The mouse is stationary, head fixed, with no movement of the right paw or tongue.  
1:06 - 1:10: A water drop forms and remains on the spout.  
1:11 - 1:20: The mouse begins to move its right paw toward the spout.  
1:21 - 1:30: The right paw approaches the spout but does not make contact with the water drop.  
1:31 - 1:40: The right paw retracts without touching the drop.  
1:41 - 2:00: The mouse remains still, with no further attempts to reach the water.  
2:01 - 4:45: The mouse remains in the same position, with no further movement of the right paw or tongue.  
7. 95%", 95%
4,4,18, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not retrieved.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not retrieved.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, no movement of paw or tongue.  
1:00 - 1:10: Water drop appears on the spout.  
1:10 - 1:20: Mouse lifts its right paw toward the spout.  
1:20 - 1:30: Paw approaches the water drop but does not touch it.  
1:30 - 1:40: Paw retracts without contact.  
1:40 - 2:00: No further movement; water drop remains on spout.  
7. 95%", 95%
5,5,33, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained attached to the spout throughout the trial, and no retrieval occurred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained attached to the spout throughout the trial, and no retrieval occurred.  
6. 0:00 - 1:08: The mouse is stationary, head fixed, with no movement of the right paw or tongue.  
1:09 - 1:11: The water drop appears on the spout.  
1:12 - 4:45: The mouse remains in place; no paw movement toward the spout, no tongue contact with the water drop.  
7. 95%", 95%
6,6,118, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop on the spout, and brought the drop directly to its mouth. The tongue made clear contact with the water, and the mouse consumed the entire drop without spillage. The entire water drop was retrieved and ingested, indicating a successful outcome.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop on the spout, and brought the drop directly to its mouth. The tongue made clear contact with the water, and the mouse consumed the entire drop without spillage. The entire water drop was retrieved and ingested, indicating a successful outcome.  
6. 0:00 - 1:30: The mouse remains stationary, head fixed, with no paw or tongue movement.  
1:30 - 1:40: The mouse extends its right paw toward the spout.  
1:40 - 1:50: The right paw makes contact with the water drop, which adheres to the paw.  
1:50 - 2:00: The mouse brings the water drop to its mouth and the tongue makes contact with the water.  
2:00 - 4:45: The mouse consumes the water drop completely, with no spillage.  
7. 95%", 95%
7,7,22, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop on the spout, and brought the drop into its mouth. The tongue made direct contact with the water, and the mouse consumed the entire drop. There is no visual evidence of spillage or incomplete retrieval. The mouse successfully transferred the water from the spout to its mouth and consumed it entirely.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop on the spout, and brought the drop into its mouth. The tongue made direct contact with the water, and the mouse consumed the entire drop. There is no visual evidence of spillage or incomplete retrieval. The mouse successfully transferred the water from the spout to its mouth and consumed it entirely.  
6. 0:00 - 1:25: The mouse remains stationary, with no movement of the right paw or tongue.  
1:26 - 1:30: The mouse extends its right paw toward the spout.  
1:31 - 1:35: The right paw makes contact with the water drop on the spout.  
1:36 - 1:40: The mouse brings the water drop closer to its mouth using the right paw.  
1:41 - 1:45: The tongue makes contact with the water drop, and the mouse begins to lick.  
1:46 - 2:00: The mouse continues to lick the water drop, consuming it entirely.  
2:01 - 2:10: The mouse finishes drinking, and the water drop is no longer visible.  
2:11 - 4:45: The mouse remains stationary, with no further interaction with the spout.  
7. 95%", 95%
8,8,93, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. There is no visual evidence of any water being retrieved or consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. There is no visual evidence of any water being retrieved or consumed.  
6. 0:00 - 1:00: Mouse remains stationary, head fixed, no movement toward the spout.  
   1:00 - 2:00: Mouse begins to lift its right paw, but does not reach the spout.  
   2:00 - 3:00: Right paw moves slightly but does not make contact with the water drop.  
   3:00 - 4:00: Mouse continues to attempt reaching, but no contact with the water drop is observed.  
   4:00 - 4:45: Mouse returns to initial position, no further attempts observed.  
7. 95%", 95%
9,9,4, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and successfully brought the entire drop to its mouth. The tongue then made direct contact with the water, and the mouse consumed the full volume of the drop without spillage. The entire water drop was ingested, indicating a complete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and successfully brought the entire drop to its mouth. The tongue then made direct contact with the water, and the mouse consumed the full volume of the drop without spillage. The entire water drop was ingested, indicating a complete retrieval.  
6. 0:00 - 1:00: The mouse remains stationary, head fixed, with no paw movement.  
1:00 - 1:30: The water drop forms and remains attached to the spout.  
1:30 - 2:00: The mouse begins to lift its right paw toward the spout.  
2:00 - 2:30: The right paw makes contact with the water drop, and the drop is dislodged.  
2:30 - 3:00: The mouse brings the water drop to its mouth using its right paw.  
3:00 - 3:30: The mouse’s tongue makes contact with the water drop, and the drop is consumed.  
3:30 - 4:00: The mouse continues to lick the water drop until it is fully consumed.  
7. 95%", 95%
