,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.  
6. 0:00 - 1:00: The mouse is positioned in the restraint device, head fixed, with no visible movement toward the spout.  
1:00 - 1:10: A water drop appears on the spout.  
1:10 - 1:20: The mouse extends its right paw toward the spout but does not make contact with the water drop.  
1:20 - 1:30: The mouse retracts its paw without touching the drop.  
1:30 - 2:00: The mouse remains stationary, with no further attempts to reach the water drop.  
7. 95%", 95%
1,1,77, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. The water drop remained on the spout and was not retrieved.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. The water drop remained on the spout and was not retrieved.  
6. 0:00 - 1:08: The mouse is stationary, head fixed, with no movement of the right paw or tongue.  
1:09 - 1:15: The mouse extends its right paw toward the spout, but the water drop is not visible.  
1:16 - 1:20: The water drop appears on the spout, but the mouse's paw does not make contact with it.  
1:21 - 1:25: The mouse retracts its paw without touching the drop.  
1:26 - 4:45: The mouse remains stationary, with no further interaction with the water drop.  
7. 95%", 95%
2,2,25, Yes, Yes, Yes,95.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the water. The majority of the drop was consumed, with only a small residual amount visible after the mouse finished drinking.","1. Yes  
2. Yes  
3. Yes  
4. 95%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the water. The majority of the drop was consumed, with only a small residual amount visible after the mouse finished drinking.  
6. 0:00 - 1:00: The mouse remains stationary, head fixed, with no movement of the paws or tongue.  
1:00 - 1:05: The water drop forms on the spout and remains attached.  
1:05 - 1:10: The mouse's right paw lifts and moves toward the spout.  
1:10 - 1:15: The right paw makes contact with the water drop, displacing it from the spout.  
1:15 - 1:20: The mouse brings the water drop close to its mouth, and the tongue extends to lick the water.  
1:20 - 4:45: The mouse continues to consume the water drop, with the tongue making repeated contact and the paw holding the drop steady.  
4:45 - 4:50: The mouse finishes drinking, with only a small residual amount of water remaining.  
7. 95%", 95%
3,3,27, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the paw did not bring the drop to the mouth. The water drop was dislodged but fell away without being consumed.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the paw did not bring the drop to the mouth. The water drop was dislodged but fell away without being consumed.  
6. 0:00 - 1:08: The mouse remains stationary, with no movement of the paw or tongue toward the water drop.  
1:09 - 1:12: The water drop forms on the spout and remains attached.  
1:13 - 1:16: The mouse's right paw lifts and moves toward the water drop, making contact and dislodging it.  
1:17 - 1:20: The water drop falls away from the spout and is not brought to the mouth.  
1:21 - 4:45: The mouse does not attempt to retrieve the water drop again.  
7. 95%", 95%
4,4,32, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not retrieved.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not retrieved.  
6. 0:00 - 1:15: The mouse is stationary, head fixed, with no movement toward the spout.  
1:16 - 1:20: The water drop forms and remains on the spout.  
1:21 - 1:25: The mouse lifts its right paw and moves it toward the spout.  
1:26 - 1:30: The paw touches the water drop, causing it to detach and fall.  
1:31 - 1:35: The water drop falls to the bottom of the apparatus and is not retrieved.  
1:36 - 4:45: The mouse does not attempt to retrieve the water drop again.  
7. 95%", 95%
5,5,18, Yes, Yes, Yes,90.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse extended its right paw to the spout, made contact with the water drop, and brought it to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the majority of the drop, as evidenced by the visible reduction in the drop's size and the absence of any remaining liquid on the spout.","1. Yes  
2. Yes  
3. Yes  
4. 90%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse extended its right paw to the spout, made contact with the water drop, and brought it to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the majority of the drop, as evidenced by the visible reduction in the drop's size and the absence of any remaining liquid on the spout.  
6. 0:00 - 1:00: The mouse is stationary, head fixed, with no paw or tongue movement.  
1:00 - 1:05: The mouse extends its right paw toward the spout.  
1:05 - 1:10: The right paw makes contact with the water drop, and the drop adheres to the paw.  
1:10 - 1:15: The mouse retracts its paw, bringing the water drop toward its mouth.  
1:15 - 1:20: The tongue extends and makes contact with the water drop on the paw.  
1:20 - 4:45: The mouse repeatedly licks the water from its paw, consuming the majority of the drop.  
7. 95%", 95%
6,6,33, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw to the spout, made contact with the water drop, and successfully brought the entire drop to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully transferred and ingested, indicating a complete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw to the spout, made contact with the water drop, and successfully brought the entire drop to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully transferred and ingested, indicating a complete retrieval.  
6. 0:00 - 0:45: The mouse remains stationary, with no movement of the right paw or tongue.  
0:46 - 1:00: The mouse lifts its right paw and extends it toward the spout.  
1:01 - 1:15: The right paw makes contact with the water drop, and the drop adheres to the paw.  
1:16 - 1:30: The mouse brings the paw with the water drop to its mouth.  
1:31 - 1:45: The tongue makes contact with the water drop, and the mouse begins to lick and consume the water.  
1:46 - 4:45: The mouse continues to lick and consume the water drop, with no spillage observed.  
7. 95%", 95%
7,7,61, Yes, Yes, Yes,95.0,s," Classification: Successful  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and retrieved it. The water drop was fully consumed, as evidenced by the complete disappearance of the drop and the mouse’s licking behavior. The mouse’s tongue made direct contact with the water, and no significant spillage occurred. The entire drop was consumed, indicating more than 70% retrieval.","1. Yes  
2. Yes  
3. Yes  
4. 95%  
5. Classification: Successful  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and retrieved it. The water drop was fully consumed, as evidenced by the complete disappearance of the drop and the mouse’s licking behavior. The mouse’s tongue made direct contact with the water, and no significant spillage occurred. The entire drop was consumed, indicating more than 70% retrieval.  
6. Timeline of key events:  
0:00 - 1:05: The mouse is stationary, head fixed, with no visible movement of the right paw or tongue.  
1:06 - 1:10: The water drop forms and remains attached to the spout.  
1:11 - 1:25: The mouse lifts its right paw and moves it toward the spout.  
1:26 - 1:30: The right paw makes contact with the water drop, and the drop adheres to the paw.  
1:31 - 1:35: The mouse brings the paw to its mouth, and the tongue makes contact with the water drop.  
1:36 - 4:45: The mouse licks the water from its paw, consuming the entire drop.  
7. Confidence: 95%", Confidence: 95%
8,8,67, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and successfully brought the entire drop to its mouth. The tongue made direct contact with the water, and the mouse consumed the full volume of the drop without spillage. The entire water drop was ingested, indicating a complete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and successfully brought the entire drop to its mouth. The tongue made direct contact with the water, and the mouse consumed the full volume of the drop without spillage. The entire water drop was ingested, indicating a complete retrieval.  
6. 0:00 - 1:08: The mouse remains stationary, head fixed, with no movement of the right paw or tongue.  
1:09 - 1:15: The water drop forms and remains attached to the spout.  
1:16 - 1:20: The mouse extends its right paw toward the spout.  
1:21 - 1:25: The right paw makes contact with the water drop, and the drop adheres to the paw.  
1:26 - 1:30: The mouse retracts its paw, bringing the water drop toward its mouth.  
1:31 - 1:35: The tongue makes contact with the water drop, and the mouse begins to lick.  
1:36 - 4:40: The mouse continues to lick and consume the water drop, with no spillage observed.  
7. 95%", 95%
9,9,66, No, Yes, No,0.0,s," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout, and the mouse did not successfully retrieve any of it.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout, and the mouse did not successfully retrieve any of it.  
6. 0:00 - 1:00: The mouse is positioned in the apparatus, head fixed, with no visible movement toward the spout.  
1:00 - 1:20: The water drop appears on the spout, and the mouse begins to move its right paw toward the spout.  
1:20 - 1:40: The mouse's right paw reaches the spout, but the water drop remains attached and is not touched.  
1:40 - 2:00: The mouse's paw moves away from the spout without making contact with the water drop.  
2:00 - 2:20: The mouse remains in place, with no further attempts to reach the water drop.  
7. 95%", 95%
