,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made contact with the water drop, and brought it to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully retrieved and ingested, indicating a successful outcome.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made contact with the water drop, and brought it to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully retrieved and ingested, indicating a successful outcome.  
6. 0:00 - 0:50: The mouse is head-fixed and remains still, with the water drop visible on the spout.  
0:51 - 1:00: The mouse extends its right paw toward the water drop.  
1:01 - 1:10: The mouse's paw touches the water drop, causing it to detach from the spout.  
1:11 - 1:20: The mouse brings the water drop to its mouth and begins to lick it.  
1:21 - 4:45: The mouse continues to lick the water drop, consuming it entirely.  
7. 95%", 95%
1,1,25, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and successfully brought the drop to its mouth. The tongue made direct contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully retrieved and ingested, indicating a successful outcome.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and successfully brought the drop to its mouth. The tongue made direct contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully retrieved and ingested, indicating a successful outcome.  
6. 0:00 - 0:58: The mouse is head-fixed and remains still, with the water drop visible on the spout.  
0:59 - 1:02: The water drop begins to detach from the spout and moves toward the mouse.  
1:03 - 1:10: The mouse extends its right paw and makes contact with the water drop.  
1:11 - 1:15: The mouse brings the water drop closer to its mouth using its paw.  
1:16 - 1:20: The mouse's tongue makes contact with the water drop, and it begins to drink.  
1:21 - 4:45: The mouse continues to consume the water drop, with no spillage observed.  
7. 95%", 95%
2,2,27, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made contact with the water drop on the spout, and brought the drop into its mouth. The tongue made clear physical contact with the water, and the mouse consumed the entire drop. There is no evidence of spillage or incomplete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made contact with the water drop on the spout, and brought the drop into its mouth. The tongue made clear physical contact with the water, and the mouse consumed the entire drop. There is no evidence of spillage or incomplete retrieval.  
6. 0:00 - 1:00: The mouse is stationary, head fixed, with its right paw resting on the surface.  
1:00 - 1:20: The water drop forms and remains attached to the spout.  
1:20 - 1:30: The mouse extends its right paw toward the spout and makes contact with the water drop.  
1:30 - 1:40: The mouse brings the water drop to its mouth and begins to lick it.  
1:40 - 2:00: The mouse continues to lick the water drop, consuming it entirely.  
2:00 - 2:10: The mouse finishes drinking, and the water drop is no longer visible.  
7. 95%", 95%
3,3,32, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water drop was fully transferred to the mouse's mouth. The mouse's tongue made physical contact with the water drop, and the mouse consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water drop was fully transferred to the mouse's mouth. The mouse's tongue made physical contact with the water drop, and the mouse consumed the entire drop.  
6. 0:00 - 0:50: The mouse is positioned in front of the spout, and the water drop is formed on the spout.  
0:50 - 1:00: The water drop remains attached to the spout.  
1:00 - 1:10: The mouse's right paw lifts off the surface and moves towards the spout.  
1:10 - 1:20: The mouse's right paw touches the water drop on the spout.  
1:20 - 1:30: The water drop is transferred to the mouse's mouth.  
1:30 - 1:40: The mouse's tongue makes physical contact with the water drop.  
1:40 - 2:00: The mouse consumes the entire water drop.  
7. 95%", 95%
4,4,18, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not consumed.  
6. 0:00 - 0:55: The mouse is head-fixed and remains still, with the water drop visible on the spout.  
   0:56 - 1:00: The water drop begins to detach from the spout.  
   1:01 - 1:05: The water drop is fully detached and falls toward the mouse.  
   1:06 - 1:10: The mouse attempts to reach the water drop with its right paw but does not make contact.  
   1:11 - 1:15: The water drop is on the surface below the spout, and the mouse does not interact with it.  
   1:16 - 4:45: The mouse remains in place, with no further interaction with the water drop.  
7. 95%", 95%
5,5,33, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and brought it to its mouth. The tongue made direct contact with the water, and the mouse consumed the entire drop, as evidenced by the complete disappearance of the drop and no visible spillage. The mouse's actions were precise and effective, indicating full retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and brought it to its mouth. The tongue made direct contact with the water, and the mouse consumed the entire drop, as evidenced by the complete disappearance of the drop and no visible spillage. The mouse's actions were precise and effective, indicating full retrieval.  
6. 0:00 - 0:55: The mouse remains stationary, with its head fixed and paws resting.  
0:56 - 1:00: The water drop forms and remains attached to the spout.  
1:01 - 1:10: The mouse extends its right paw toward the spout.  
1:11 - 1:20: The mouse's paw touches the water drop, and the drop begins to move.  
1:21 - 1:30: The mouse brings the water drop closer to its mouth using its paw.  
1:31 - 1:40: The mouse's tongue makes contact with the water drop, and it begins to drink.  
1:41 - 2:00: The mouse continues to drink, and the water drop is fully consumed.  
2:01 - 2:10: The mouse finishes drinking, and the spout is clear of water.  
7. 95%", 95%
6,6,61, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop using its tongue, and no water was consumed. The water drop remained attached to the spout and was not retrieved by the mouse. The mouse's right paw moved toward the spout but did not touch the water drop, and no water was transferred to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue, and no water was consumed. The water drop remained attached to the spout and was not retrieved by the mouse. The mouse's right paw moved toward the spout but did not touch the water drop, and no water was transferred to the mouth.  
6. 0:00 - 1:00: Water drop forms and remains on the spout.  
1:00 - 1:20: Mouse's right paw begins to move toward the spout.  
1:20 - 1:40: Right paw approaches the spout but does not touch the water drop.  
1:40 - 2:00: Right paw retracts without contacting the water drop.  
2:00 - 2:20: Water drop remains on the spout, no change in position.  
2:20 - 2:40: Mouse's right paw moves again toward the spout but does not make contact.  
2:40 - 3:00: Right paw retracts, water drop still attached.  
3:00 - 3:20: No further movement of the paw or water drop.  
3:20 - 3:40: Water drop remains on the spout, no interaction observed.  
3:40 - 4:00: Mouse remains in position, no further action.  
7. 95%", 95%
7,7,67, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The water drop remained on the spout, and the mouse's tongue did not touch it. The right paw did not move toward the spout, and no attempt to retrieve the water was observed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The water drop remained on the spout, and the mouse's tongue did not touch it. The right paw did not move toward the spout, and no attempt to retrieve the water was observed.  
6. 0:00 - 4:45: The mouse remains stationary with its head fixed, and the water drop is visible on the spout. No movement of the right paw or tongue is observed. The water drop remains attached to the spout throughout.  
7. 95%", 95%
8,8,66, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The drop remained attached to the spout throughout the trial, and the mouse's tongue did not touch it. There was no evidence of the mouse bringing the drop to its mouth or consuming any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The drop remained attached to the spout throughout the trial, and the mouse's tongue did not touch it. There was no evidence of the mouse bringing the drop to its mouth or consuming any water.  
6. 0:00 - 4:45: The mouse remains stationary with its head fixed, and the water drop is visible on the spout. The mouse does not move its paws or extend its tongue toward the drop. The drop remains attached to the spout.  
7. 95%", 95%
9,9,4, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and brought it to its mouth. The tongue made direct contact with the water drop, and the entire drop was consumed without spillage. This indicates full retrieval and consumption of the water.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and brought it to its mouth. The tongue made direct contact with the water drop, and the entire drop was consumed without spillage. This indicates full retrieval and consumption of the water.  
6. 0:00 - 1:05: The water drop is delivered and remains attached to the spout.  
1:06 - 1:25: The mouse extends its right paw toward the water drop.  
1:26 - 1:40: The mouse's paw makes contact with the water drop, and the drop is lifted.  
1:41 - 2:00: The mouse brings the water drop to its mouth and consumes it.  
2:01 - 4:45: The mouse continues to lick the remaining water from its paw.  
7. 95%", 95%
