,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made clear physical contact with the drop, consuming it entirely. The entire water drop was ingested, as evidenced by the complete disappearance of the drop and the mouse's licking behavior.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made clear physical contact with the drop, consuming it entirely. The entire water drop was ingested, as evidenced by the complete disappearance of the drop and the mouse's licking behavior.  
6. 0:00 - 1:00: The mouse remains stationary, with its paws resting on the surface.  
1:00 - 1:20: The mouse lifts its right paw and moves it toward the spout.  
1:20 - 1:40: The right paw makes contact with the water drop, and the mouse begins to bring it toward its mouth.  
1:40 - 2:00: The mouse's tongue extends and makes contact with the water drop, consuming it.  
2:00 - 2:20: The mouse continues to lick the water drop, ensuring complete consumption.  
2:20 - 2:40: The mouse finishes drinking, and the water drop is no longer visible.  
7. 95%", 95%
1,1,77, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made clear physical contact with the drop. The entire water drop was consumed, as evidenced by the absence of the drop after the interaction and the mouse's licking behavior.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made clear physical contact with the drop. The entire water drop was consumed, as evidenced by the absence of the drop after the interaction and the mouse's licking behavior.  
6. 0:00 - 1:10: The mouse remains stationary with its paws on the surface.  
1:10 - 1:30: The mouse lifts its right paw and moves it toward the spout.  
1:30 - 1:40: The mouse's right paw touches the water drop on the spout.  
1:40 - 2:00: The mouse brings the water drop close to its mouth.  
2:00 - 2:30: The mouse's tongue makes physical contact with the water drop and begins to lick.  
2:30 - 3:00: The mouse continues to lick the water drop, consuming it entirely.  
7. 95%", 95%
2,2,25, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained on the spout and was not retrieved.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained on the spout and was not retrieved.  
6. 0:00 - 1:30: The mouse remains stationary with its paws on the surface.  
1:30 - 1:35: The mouse lifts its right paw and moves it toward the spout.  
1:35 - 1:40: The mouse's right paw touches the water drop, but the drop does not detach.  
1:40 - 2:00: The mouse attempts to lick the water drop with its tongue, but the tongue does not make contact with the drop.  
2:00 - 2:30: The mouse continues to attempt to lick the water drop, but the drop remains on the spout.  
2:30 - 3:00: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
7. 95%", 95%
3,3,27, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout, and no consumption occurred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout, and no consumption occurred.  
6. 0:00 - 1:40: Mouse remains stationary, water drop visible on spout.  
1:41 - 2:00: Mouse lifts right paw toward spout.  
2:01 - 2:05: Mouse's right paw touches the water drop.  
2:06 - 2:10: Water drop detaches from spout and is held by the paw.  
2:11 - 2:15: Mouse attempts to bring the water drop to its mouth.  
2:16 - 2:20: Mouse's tongue extends but does not make contact with the water drop.  
2:21 - 2:25: Mouse retracts its paw and tongue, water drop remains in paw.  
2:26 - 2:30: Mouse continues to hold the water drop in its paw without consuming it.  
2:31 - 2:35: Mouse retracts its paw, water drop falls back to the spout.  
2:36 - 2:40: Mouse remains stationary, water drop is back on the spout.  
7. 95%", 95%
4,4,32, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely. There is no visual evidence of spillage or incomplete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely. There is no visual evidence of spillage or incomplete retrieval.  
6. 0:00 - 1:40: The mouse remains stationary, with its paws on the surface.  
1:40 - 2:00: The mouse lifts its right paw and moves it toward the water drop.  
2:00 - 2:10: The right paw makes contact with the water drop, and the drop adheres to the paw.  
2:10 - 2:20: The mouse brings the paw with the water drop toward its mouth.  
2:20 - 4:45: The mouse uses its tongue to lick the water drop from its paw, consuming it completely.  
7. 95%", 95%
5,5,18, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the drop was fully transferred to the mouth, with the tongue making clear contact and consuming the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the drop was fully transferred to the mouth, with the tongue making clear contact and consuming the entire drop.  
6. 0:00 - 1:10: The mouse remains stationary, with the water drop attached to the spout.  
1:11 - 1:20: The mouse lifts its right paw and moves it toward the water drop.  
1:21 - 1:30: The mouse's paw makes contact with the water drop, and the drop is transferred to the mouth.  
1:31 - 4:45: The mouse uses its tongue to consume the water drop, with no spillage observed.  
7. 95%", 95%
6,6,33, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, indicating full consumption.  
6. 0:00 - 1:40: The mouse remains stationary, with no movement of the right paw or tongue.  
   1:40 - 2:00: The mouse lifts its right paw and moves it toward the water drop.  
   2:00 - 2:20: The right paw makes contact with the water drop, and the mouse brings it closer to its mouth.  
   2:20 - 2:40: The mouse's tongue extends and makes contact with the water drop.  
   2:40 - 3:00: The mouse continues to lick the water drop, consuming it.  
   3:00 - 3:00: The water drop is fully consumed, and the mouse stops licking.  
7. 95%", 95%
7,7,61, No, Yes, Yes,0.0,s," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and although the mouse moved its right paw toward the spout, the water drop was not successfully retrieved. The water drop remained on the spout and was not consumed.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and although the mouse moved its right paw toward the spout, the water drop was not successfully retrieved. The water drop remained on the spout and was not consumed.  
6. 0:00 - 1:58: The mouse remains stationary with its head fixed, and the water drop is visible on the spout.  
1:59 - 2:04: The mouse lifts its right paw and moves it toward the spout.  
2:05 - 2:10: The mouse's paw makes contact with the water drop, but the drop does not detach.  
2:11 - 4:45: The mouse continues to manipulate the water drop with its paw, but the drop remains on the spout.  
4:46 - 4:48: The water drop splashes and falls off the spout.  
7. 95%", 95%
8,8,67, Yes, Yes, Yes,90.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made clear contact with the water, indicating that the majority of the drop was consumed.","1. Yes  
2. Yes  
3. Yes  
4. 90%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made clear contact with the water, indicating that the majority of the drop was consumed.  
6. 0:00 - 1:20: The mouse remains stationary with its paws on the surface.  
1:20 - 1:40: The mouse lifts its right paw and moves it toward the spout.  
1:40 - 2:00: The right paw makes contact with the water drop, and the mouse begins to lick the water.  
2:00 - 4:40: The mouse continues to lick the water, consuming most of the drop.  
7. 95%", 95%
9,9,66, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. No water was consumed.  
6. 0:00 - 1:58: The mouse remains stationary with its right paw resting on the surface.  
1:59 - 2:02: The mouse lifts its right paw and moves it toward the spout.  
2:03 - 2:07: The mouse's right paw touches the water drop, but the drop does not detach.  
2:08 - 2:10: The mouse retracts its paw without retrieving the water.  
2:11 - 4:45: The mouse remains still, with no further interaction with the water drop.  
7. 95%", 95%
