,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,25, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's tongue made physical contact with the water drop, and the entire drop was consumed, as evidenced by the absence of the drop after the trial.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's tongue made physical contact with the water drop, and the entire drop was consumed, as evidenced by the absence of the drop after the trial.  
6. 0:00 - 0:05: The water drop is delivered and remains attached to the spout. 0:06 - 0:10: The mouse extends its right paw towards the water drop. 0:11 - 0:15: The mouse's right paw touches the water drop, causing it to detach and move towards the mouth. 0:16 - 0:20: The mouse's tongue makes contact with the water drop, and the drop is consumed. 0:21 - 0:25: The water drop is fully consumed, and the mouse continues to lick the area where the drop was.  
7. 95%", 95%
1,1,27, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating full consumption.  
6. 0:00 - 0:25: The mouse is stationary, with its right paw resting on the surface.  
   0:26 - 0:30: The mouse extends its right paw toward the water drop.  
   0:31 - 0:35: The mouse's right paw makes contact with the water drop.  
   0:36 - 0:40: The mouse brings the water drop closer to its mouth.  
   0:41 - 0:45: The mouse's tongue makes contact with the water drop.  
   0:46 - 4:45: The mouse continues to drink the water drop, with the tongue actively licking the water.  
7. 95%", 95%
2,2,18, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire water drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire water drop.  
6. 0:00 - 0:10: The mouse is positioned in front of the spout with its right paw resting on the surface.  
0:10 - 0:20: The water drop forms and remains attached to the spout.  
0:20 - 0:30: The mouse extends its right paw towards the water drop.  
0:30 - 0:40: The mouse's right paw makes contact with the water drop, and the tongue begins to lick the water.  
0:40 - 0:50: The mouse continues to lick the water drop, and the water drop is consumed.  
0:50 - 1:00: The mouse finishes drinking the water drop, and the spout is clear.  
7. 95%", 95%
3,3,33, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.  
6. 0:00 - 0:15: The mouse is positioned in front of the spout, with its right paw resting on the surface.  
0:16 - 0:30: The water drop forms on the spout and remains attached.  
0:31 - 0:45: The mouse extends its right paw towards the water drop.  
0:46 - 1:00: The mouse's right paw makes contact with the water drop, and the tongue begins to lick the drop.  
1:01 - 1:15: The mouse continues to lick the water drop, and the drop is consumed.  
1:16 - 1:30: The mouse finishes drinking the water drop, and the spout is clear.  
7. 95%", 95%
4,4,41, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made repeated physical contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made repeated physical contact with the water, indicating full consumption.  
6. 0:00 - 0:48: The mouse remains stationary with its right paw resting on the surface.  
   0:49 - 1:00: The water drop forms on the spout.  
   1:01 - 1:10: The mouse extends its right paw toward the water drop.  
   1:11 - 1:20: The mouse's right paw touches the water drop.  
   1:21 - 4:45: The mouse repeatedly brings the water drop to its mouth and licks it, consuming the entire drop.  
7. 95%", 95%
5,5,1, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made clear physical contact with the drop, consuming it entirely. The water drop was fully transferred to the mouth and no significant spillage occurred.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made clear physical contact with the drop, consuming it entirely. The water drop was fully transferred to the mouth and no significant spillage occurred.  
6. 0:00 - 1:00: The mouse remains stationary, with its right paw resting on the surface.  
1:00 - 1:20: The water drop forms on the spout and remains attached.  
1:20 - 1:40: The mouse extends its right paw toward the water drop.  
1:40 - 2:00: The mouse's right paw makes contact with the water drop and brings it toward the mouth.  
2:00 - 2:20: The mouse's tongue makes contact with the water drop and begins to consume it.  
2:20 - 4:40: The mouse continues to consume the water drop, with the tongue actively licking and the drop gradually diminishing until it is fully consumed.  
7. 95%", 95%
6,6,16, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.  
6. 0:00 - 0:25: The mouse is positioned in front of the spout, with its right paw resting on the surface.  
0:26 - 0:30: The water drop forms on the spout and remains attached.  
0:31 - 0:35: The mouse's right paw lifts and moves toward the water drop.  
0:36 - 0:40: The mouse's right paw makes contact with the water drop, and the drop adheres to the paw.  
0:41 - 0:45: The mouse brings the water drop close to its mouth, and the tongue makes contact with the water drop.  
0:46 - 4:40: The mouse continues to lick the water drop, consuming it entirely.  
7. 95%", 95%
7,7,51,,,,,s,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and no water was consumed. The water drop remained attached to the spout throughout the trial, and the mouse did not successfully retrieve any of it.  
6. 0:00 - 0:05: The mouse is positioned in front of the spout with its paws near the water drop.  
0:06 - 0:10: The mouse attempts to reach the water drop with its right paw but does not make contact.  
0:11 - 0:20: The mouse continues to attempt to reach the water drop with its right paw, but the paw does not touch the drop.  
0:21 - 0:30: The mouse's right paw moves closer to the water drop but does not make contact.  
0:31 - 0:40: The mouse's right paw remains near the water drop but does not touch it.  
0:41 - 0:50: The mouse's right paw moves away from the water drop.  
0:51 - 1:00: The mouse's right paw returns to the water drop but does not make contact.  
1:01 - 1:10: The mouse's right paw remains near the water drop but does not touch it.  
1:11 - 1:20: The mouse's right paw moves away from the water drop.  
1:21 - 1:30: The mouse's right paw returns to the water drop but does not make contact.  
1:31 - 1:40: The mouse's right paw remains near the water drop but does not touch it.  
1:41 - 1:50: The mouse's right paw moves away from the water drop.  
1:51 - 2:00: The mouse's right paw returns to the water drop but does not make contact.  
2:01 - 2:10: The mouse's right paw remains near the water drop but does not touch it.  
2:11 - 2:20: The mouse's right paw moves away from the water drop.  
2:21 - 2:30: The mouse's right paw returns to the water drop but does not make contact.  
2:31 - 2:40: The mouse's right paw remains near the water drop but does not touch it.  
2:41 - 2:50: The mouse's right paw moves away from the water drop.  
2:51 - 3:00: The mouse's right paw returns to the water drop but does not make contact.  
3:01 - 3:10: The mouse's right paw remains near the water drop but does not touch it.  
3:11 - 3:20: The mouse's right paw moves away from the water drop.  
3:21 - 3:30: The mouse's right paw returns to the water drop but does not make contact.  
3:31 - 3:40: The mouse's right paw remains near the water drop but does not touch it.  
3:41 - 3:50: The mouse's right paw moves away from the water drop.  
3:51 - 4:00: The mouse's right paw returns to the water drop but does not make contact.  
4:01 - 4:10: The mouse's right paw remains near the water drop but does not touch it.  
4:11 - 4:20: The mouse's right paw moves away from the water drop.  
4:21 - 4:30: The mouse's right paw returns to the water drop but does not make contact.  
4:31 - 4:40: The mouse's right paw remains near the water drop but does not touch it.  
4:41 - 4:50: The mouse's right paw moves away from the water drop.  
4:51 - 5:00: The mouse's right paw returns to the water drop but does not make contact.  
5:01 - 5:10: The mouse's right paw remains near the water drop but does not touch it.  
5:11 - 5:20: The mouse's right paw moves away from the water drop.  
5:21 - 5:30: The mouse's right paw returns to the water drop but does not make contact.  
5:31 - 5:40: The",
8,8,39, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely. The drop was fully transferred to the mouth and no water was spilled.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely. The drop was fully transferred to the mouth and no water was spilled.  
6. 0:00 - 0:35: The mouse remains stationary, with its right paw resting on the platform.  
0:36 - 0:40: The water drop forms on the spout and remains attached.  
0:41 - 0:45: The mouse extends its right paw toward the water drop.  
0:46 - 0:50: The mouse's right paw makes contact with the water drop, and the drop adheres to the paw.  
0:51 - 1:00: The mouse brings the water drop to its mouth, and the tongue makes contact with the drop.  
1:01 - 4:40: The mouse continues to consume the water drop, with the tongue licking the drop until it is fully consumed.  
7. 95%", 95%
9,9,29, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made repeated physical contact with the water, indicating full consumption. The water drop was fully consumed, as evidenced by the absence of the drop and the mouse's continued licking behavior.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made repeated physical contact with the water, indicating full consumption. The water drop was fully consumed, as evidenced by the absence of the drop and the mouse's continued licking behavior.  
6. 0:00 - 0:20: The mouse remains stationary, with the water drop attached to the spout.  
0:21 - 0:30: The mouse extends its right paw toward the water drop.  
0:31 - 0:40: The mouse's paw makes contact with the water drop, and the tongue begins to lick the water.  
0:41 - 1:00: The mouse continues to lick the water, with the drop gradually diminishing.  
1:01 - 1:20: The water drop is fully consumed, and the mouse continues to lick the spout.  
1:21 - 1:40: The mouse remains in position, with no further water drop visible.  
7. 95%", 95%
