,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,25, Yes, Yes, No,100.0,s," Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse's tongue made physical contact with the water, and the entire drop was consumed. There is no evidence of spillage or incomplete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse's tongue made physical contact with the water, and the entire drop was consumed. There is no evidence of spillage or incomplete retrieval.  
6. Timeline of key events:  
0:00 - 0:50: The mouse remains stationary, with no visible movement of the paw or tongue.  
0:51 - 1:00: The water drop forms on the spout and remains attached.  
1:01 - 1:10: The mouse's right paw lifts and moves toward the water drop.  
1:11 - 1:20: The right paw makes contact with the water drop, and the drop is transferred to the mouse's mouth.  
1:21 - 4:45: The mouse uses its tongue to consume the water drop, with no spillage observed.  
7. Confidence: 95%", Confidence: 95%
1,1,27, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and successfully brought the drop into its mouth. The tongue made clear contact with the water, and the entire drop was consumed without spillage. The mouse’s behavior indicates full retrieval of the water drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and successfully brought the drop into its mouth. The tongue made clear contact with the water, and the entire drop was consumed without spillage. The mouse’s behavior indicates full retrieval of the water drop.  
6. 0:00 - 1:05: The mouse remains stationary, head fixed, with no visible movement of the right paw or tongue.  
1:06 - 1:10: The water drop forms and remains attached to the spout.  
1:11 - 1:15: The mouse extends its right paw toward the spout.  
1:16 - 1:20: The right paw makes contact with the water drop, and the drop is dislodged.  
1:21 - 1:25: The mouse brings the water drop toward its mouth.  
1:26 - 1:30: The tongue makes contact with the water drop, and the mouse begins to consume it.  
1:31 - 3:28: The mouse continues to consume the water drop, with no spillage observed.  
3:29 - 4:45: The mouse finishes consuming the water drop and returns to a stationary position.  
7. 95%", 95%
2,2,32, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw and made direct contact with the water drop, bringing it to its mouth. The tongue made clear physical contact with the water, and the entire drop was consumed without spillage. The mouse successfully ingested the full volume of the water drop, indicating a complete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw and made direct contact with the water drop, bringing it to its mouth. The tongue made clear physical contact with the water, and the entire drop was consumed without spillage. The mouse successfully ingested the full volume of the water drop, indicating a complete retrieval.  
6. 0:00 - 1:48: The water drop is visible on the spout, and the mouse remains stationary.  
1:49 - 2:00: The mouse extends its right paw toward the water drop.  
2:01 - 2:10: The mouse's paw touches the water drop, and the drop begins to move toward the mouth.  
2:11 - 2:20: The mouse's tongue makes contact with the water drop, and the drop is consumed.  
2:21 - 4:45: The mouse continues to lick and consume the water drop until it is fully ingested.  
7. 95%", 95%
3,3,18, Yes, Yes, No,100.0,s," Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, and the water drop was fully consumed. The mouse's tongue made physical contact with the water drop, and the entire drop was retrieved and consumed.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, and the water drop was fully consumed. The mouse's tongue made physical contact with the water drop, and the entire drop was retrieved and consumed.  
6. Timeline of key events:  
0:00 - 0:05: The mouse is positioned in front of the spout with its head fixed.  
0:06 - 0:10: The water drop forms on the spout.  
0:11 - 0:15: The mouse's right paw moves towards the water drop.  
0:16 - 0:20: The mouse's right paw touches the water drop.  
0:21 - 0:25: The mouse's tongue makes contact with the water drop.  
0:26 - 0:30: The mouse begins to consume the water drop.  
0:31 - 0:35: The water drop is fully consumed.  
7. Confidence: 95%", Confidence: 95%
4,4,4,,,,,s,,"1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.  
6. 0:00 - 0:18: The mouse is positioned in front of the spout, with its right paw near the spout.  
   0:18 - 0:22: The water drop forms and remains attached to the spout.  
   0:22 - 0:26: The mouse's right paw moves towards the water drop.  
   0:26 - 0:30: The mouse's right paw touches the water drop.  
   0:30 - 0:34: The mouse's tongue extends and makes contact with the water drop.  
   0:34 - 0:40: The mouse begins to consume the water drop.  
   0:40 - 0:44: The mouse continues to consume the water drop.  
   0:44 - 0:48: The water drop is fully consumed.  
   0:48 - 0:52: The mouse continues to lick the spout.  
   0:52 - 0:56: The mouse's right paw remains near the spout.  
   0:56 - 0:60: The mouse's right paw moves away from the spout.  
   0:60 - 0:64: The mouse's right paw returns to the spout.  
   0:64 - 0:68: The mouse's right paw touches the spout again.  
   0:68 - 0:72: The mouse's right paw moves away from the spout.  
   0:72 - 0:76: The mouse's right paw returns to the spout.  
   0:76 - 0:80: The mouse's right paw touches the spout again.  
   0:80 - 0:84: The mouse's right paw moves away from the spout.  
   0:84 - 0:88: The mouse's right paw returns to the spout.  
   0:88 - 0:92: The mouse's right paw touches the spout again.  
   0:92 - 0:96: The mouse's right paw moves away from the spout.  
   0:96 - 1:00: The mouse's right paw returns to the spout.  
   1:00 - 1:04: The mouse's right paw touches the spout again.  
   1:04 - 1:08: The mouse's right paw moves away from the spout.  
   1:08 - 1:12: The mouse's right paw returns to the spout.  
   1:12 - 1:16: The mouse's right paw touches the spout again.  
   1:16 - 1:20: The mouse's right paw moves away from the spout.  
   1:20 - 1:24: The mouse's right paw returns to the spout.  
   1:24 - 1:28: The mouse's right paw touches the spout again.  
   1:28 - 1:32: The mouse's right paw moves away from the spout.  
   1:32 - 1:36: The mouse's right paw returns to the spout.  
   1:36 - 1:40: The mouse's right paw touches the spout again.  
   1:40 - 1:44: The mouse's right paw moves away from the spout.  
   1:44 - 1:48: The mouse's right paw returns to the spout.  
   1:48 - 1:52: The mouse's right paw touches the spout again.  
   1:52 - 1:56: The mouse's right paw moves away from the spout.  
   1:56 - 2:00: The mouse's right paw returns to the spout.  
   2:00 - 2:04: The mouse's right paw touches the spout again.  
   2:04 - 2:08: The mouse's right paw",
5,5,1, Yes, Yes, No,100.0,s," Classification: Successful  
Justification: The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made direct contact with the drop. The entire water drop was consumed, as evidenced by the absence of the drop after the interaction. The mouse successfully retrieved all of the water.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Classification: Successful  
Justification: The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made direct contact with the drop. The entire water drop was consumed, as evidenced by the absence of the drop after the interaction. The mouse successfully retrieved all of the water.  
6. Timeline of key events:  
0:00 - 0:30: The mouse is positioned in the apparatus, head fixed, with its right paw resting on the surface.  
0:30 - 1:00: The water drop forms on the spout and remains attached.  
1:00 - 1:30: The mouse extends its right paw toward the spout and makes contact with the water drop.  
1:30 - 2:00: The mouse brings the water drop close to its mouth, and the tongue makes contact with the drop.  
2:00 - 2:30: The mouse consumes the water drop, and the drop disappears.  
2:30 - 3:00: The mouse continues to lick its paw and mouth, indicating successful consumption.  
7. Confidence: 95%", Confidence: 95%
6,6,16,,,,,f,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and no water was transferred to the mouth. The water drop remained on the spout and was not consumed.  
6. 0:00 - 0:05: The mouse is positioned in the restraint device with its head fixed. The water drop is visible on the spout.  
0:05 - 0:10: The mouse extends its right paw toward the spout but does not touch the water drop.  
0:10 - 0:15: The mouse retracts its paw without making contact with the water drop.  
0:15 - 0:20: The mouse attempts to reach the water drop again but fails to make contact.  
0:20 - 0:25: The mouse continues to attempt reaching the water drop with its right paw but does not succeed.  
0:25 - 0:30: The water drop remains on the spout, and the mouse does not consume any of it.  
0:30 - 0:35: The mouse's tongue is visible but does not touch the water drop.  
0:35 - 0:40: The mouse continues to attempt reaching the water drop but fails.  
0:40 - 0:45: The water drop remains on the spout, and the mouse does not consume any of it.  
0:45 - 0:50: The mouse's tongue is visible but does not touch the water drop.  
0:50 - 0:55: The mouse continues to attempt reaching the water drop but fails.  
0:55 - 1:00: The water drop remains on the spout, and the mouse does not consume any of it.  
1:00 - 1:05: The mouse's tongue is visible but does not touch the water drop.  
1:05 - 1:10: The mouse continues to attempt reaching the water drop but fails.  
1:10 - 1:15: The water drop remains on the spout, and the mouse does not consume any of it.  
1:15 - 1:20: The mouse's tongue is visible but does not touch the water drop.  
1:20 - 1:25: The mouse continues to attempt reaching the water drop but fails.  
1:25 - 1:30: The water drop remains on the spout, and the mouse does not consume any of it.  
1:30 - 1:35: The mouse's tongue is visible but does not touch the water drop.  
1:35 - 1:40: The mouse continues to attempt reaching the water drop but fails.  
1:40 - 1:45: The water drop remains on the spout, and the mouse does not consume any of it.  
1:45 - 1:50: The mouse's tongue is visible but does not touch the water drop.  
1:50 - 1:55: The mouse continues to attempt reaching the water drop but fails.  
1:55 - 2:00: The water drop remains on the spout, and the mouse does not consume any of it.  
2:00 - 2:05: The mouse's tongue is visible but does not touch the water drop.  
2:05 - 2:10: The mouse continues to attempt reaching the water drop but fails.  
2:10 - 2:15: The water drop remains on the spout, and the mouse does not consume any of it.  
2:15 - 2:20: The mouse's tongue is visible but does not touch the water drop.  
2:20 - 2:25: The mouse continues to attempt reaching the water drop but fails.  
2:25 - 2:30: The water drop remains on the spout, and the mouse does not consume any of it.  
2:30 - 2:35: The mouse's tongue is visible but does not touch the water drop.  
2:35 - 2:40: The mouse continues to attempt reaching the water drop but fails.  
2:40 - 2:45: The water drop remains on the spout, and the mouse does not consume any of it.  
2:45 - 2:50: The mouse's tongue is visible but does not touch the water drop.  
2:50 - 2:55: The",
7,7,29, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw and brought the water drop into its mouth, where the tongue made direct contact and consumed the entire drop. The drop was fully ingested, with no visible residue or spillage, indicating complete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw and brought the water drop into its mouth, where the tongue made direct contact and consumed the entire drop. The drop was fully ingested, with no visible residue or spillage, indicating complete retrieval.  
6. 0:00 - 1:00: The mouse remains stationary, head fixed, with no paw or tongue movement.  
1:00 - 1:05: The water drop forms and remains attached to the spout.  
1:05 - 1:10: The mouse extends its right paw toward the spout.  
1:10 - 1:15: The right paw makes contact with the water drop, pulling it toward the mouth.  
1:15 - 1:20: The tongue makes contact with the water drop, and the mouse begins to consume it.  
1:20 - 2:00: The mouse continues to lick and ingest the water drop.  
2:00 - 2:10: The water drop is fully consumed, and the mouse retracts its paw.  
2:10 - 2:30: The mouse remains stationary, with no further movement.  
7. 95%", 95%
8,8,36, Yes, Yes, Yes,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. Yes  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating full consumption.  
6. 0:00 - 0:59: The mouse is stationary, with its head fixed. 1:00 - 1:10: The water drop forms and remains attached to the spout. 1:11 - 1:20: The mouse extends its right paw toward the water drop. 1:21 - 1:30: The mouse's tongue makes contact with the water drop. 1:31 - 1:40: The mouse drinks the water drop. 1:41 - 2:00: The mouse continues to drink, with no water splashing. 2:01 - 2:10: The mouse finishes drinking, and the water drop is fully consumed.  
7. 95%", 95%
9,9,17, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's tongue made physical contact with the water drop, and the entire drop was consumed, as evidenced by the absence of the drop after the interaction.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's tongue made physical contact with the water drop, and the entire drop was consumed, as evidenced by the absence of the drop after the interaction.  
6. 0:00 - 0:59: The mouse is stationary, with its head fixed and paws resting.  
   1:00 - 1:05: The water drop forms and remains attached to the spout.  
   1:06 - 1:10: The mouse extends its right paw toward the spout.  
   1:11 - 1:15: The mouse's right paw touches the water drop, causing it to detach and move toward the mouth.  
   1:16 - 1:20: The mouse's tongue makes contact with the water drop, and the drop is consumed.  
   1:21 - 4:45: The mouse continues to lick and consume the water drop until it is fully consumed.  
7. 95%", 95%
