,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop, brought it into contact with its mouth, and the tongue made clear physical contact with the drop. The entire water drop was consumed, as evidenced by the absence of any remaining liquid and the mouse's continuous licking behavior until the drop was fully ingested.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop, brought it into contact with its mouth, and the tongue made clear physical contact with the drop. The entire water drop was consumed, as evidenced by the absence of any remaining liquid and the mouse's continuous licking behavior until the drop was fully ingested.  
6. 0:00 - 1:00: The mouse remains stationary, with the water drop attached to the spout.  
1:00 - 1:10: The mouse extends its right paw toward the water drop.  
1:10 - 1:20: The mouse's right paw makes contact with the water drop, pulling it toward its mouth.  
1:20 - 1:30: The mouse's tongue makes contact with the water drop, and the drop is fully consumed.  
1:30 - 4:45: The mouse continues to lick its mouth, indicating consumption of the water.  
7. 95%", 95%
1,1,25, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the drop was fully transferred to its mouth. The mouse's tongue made physical contact with the water, and the entire drop was consumed without spillage.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the drop was fully transferred to its mouth. The mouse's tongue made physical contact with the water, and the entire drop was consumed without spillage.  
6. 0:00 - 0:58: The water drop is delivered and remains attached to the spout.  
   0:59 - 1:05: The mouse's right paw moves toward the water drop.  
   1:06 - 1:10: The mouse's right paw touches the water drop.  
   1:11 - 1:15: The water drop is transferred to the mouse's mouth.  
   1:16 - 4:45: The mouse consumes the water drop.  
7. 95%", 95%
2,2,27, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the drop was fully transferred to the mouth. The tongue made direct contact with the water, and the mouse consumed the entire drop without spillage. The water drop was completely removed from the spout and ingested, indicating a successful retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the drop was fully transferred to the mouth. The tongue made direct contact with the water, and the mouse consumed the entire drop without spillage. The water drop was completely removed from the spout and ingested, indicating a successful retrieval.  
6. 0:00 - 0:58: The mouse remains stationary with its head fixed, and the water drop is visible on the spout.  
0:59 - 1:05: The mouse extends its right paw toward the water drop.  
1:06 - 1:10: The mouse's right paw makes contact with the water drop, and the drop adheres to the paw.  
1:11 - 1:15: The mouse brings the water drop to its mouth, and the tongue makes contact with the drop.  
1:16 - 4:45: The mouse consumes the water drop, and the drop is fully ingested.  
7. 95%", 95%
3,3,32, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the drop was fully transferred to the mouth. The tongue made contact with the water, and the mouse consumed the entire drop without spillage.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the drop was fully transferred to the mouth. The tongue made contact with the water, and the mouse consumed the entire drop without spillage.  
6. 0:00 - 0:50: The mouse is positioned in the apparatus, head fixed, with the spout above.  
   0:50 - 1:00: The water drop forms and remains attached to the spout.  
   1:00 - 1:10: The mouse extends its right paw toward the spout.  
   1:10 - 1:20: The right paw touches the water drop, and the drop adheres to the paw.  
   1:20 - 1:30: The mouse brings the paw to its mouth, and the tongue makes contact with the water drop.  
   1:30 - 1:40: The mouse consumes the water drop completely.  
7. 95%", 95%
4,4,18, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the water drop was fully consumed. The mouse's tongue made physical contact with the water drop, and the entire drop was consumed.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the water drop was fully consumed. The mouse's tongue made physical contact with the water drop, and the entire drop was consumed.  
6. 0:00 - 0:50: The mouse is positioned in front of the spout, with its head fixed.  
0:50 - 1:00: The water drop forms and remains attached to the spout.  
1:00 - 1:10: The mouse's right paw moves towards the water drop.  
1:10 - 1:20: The mouse's right paw touches the water drop.  
1:20 - 1:30: The mouse's tongue makes contact with the water drop.  
1:30 - 1:40: The mouse consumes the water drop.  
1:40 - 2:00: The mouse continues to consume the water drop.  
2:00 - 2:10: The water drop is fully consumed.  
7. 95%", 95%
5,5,33, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw and brought the water drop into its mouth. The tongue made direct contact with the water drop, and the mouse consumed the entire drop without spillage. The water drop was fully transferred to the mouth, indicating complete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw and brought the water drop into its mouth. The tongue made direct contact with the water drop, and the mouse consumed the entire drop without spillage. The water drop was fully transferred to the mouth, indicating complete retrieval.  
6. 0:00 - 0:58: The mouse is head-fixed and remains still, with the water drop positioned on the spout.  
0:59 - 1:05: The water drop detaches from the spout and begins to fall.  
1:06 - 1:10: The mouse extends its right paw and makes contact with the falling water drop.  
1:11 - 1:15: The mouse brings the water drop into its mouth and begins to lick it.  
1:16 - 4:45: The mouse continues to lick the water drop, consuming it entirely.  
7. 95%", 95%
6,6,61, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not consumed.  
6. 0:00 - 1:00: Water drop forms on the spout.  
1:00 - 1:10: Water drop detaches from the spout and falls.  
1:10 - 4:45: Mouse remains stationary, no paw movement toward the spout.  
7. 95%", 95%
7,7,67, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.  
6. 0:00 - 4:45: The mouse remains stationary with its head fixed. The water drop is visible on the spout. No movement of the right paw or tongue is observed. The water drop remains attached to the spout.  
7. 95%", 95%
8,8,66, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained attached to the spout throughout the trial, and the mouse did not attempt to retrieve it with its paw.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained attached to the spout throughout the trial, and the mouse did not attempt to retrieve it with its paw.  
6. 0:00 - 4:45: The mouse remains stationary with its head fixed, and the water drop is visible on the spout. No movement of the paw or tongue is observed. The water drop remains attached to the spout.  
7. 95%", 95%
9,9,4, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and brought it to its mouth. The tongue made clear contact with the water drop, and the entire drop was consumed without spillage. The mouse successfully retrieved and drank the full amount of water delivered.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and brought it to its mouth. The tongue made clear contact with the water drop, and the entire drop was consumed without spillage. The mouse successfully retrieved and drank the full amount of water delivered.  
6. 0:00 - 0:50: The mouse is head-fixed and remains still, with no water drop visible.  
0:50 - 1:00: A water drop forms and remains attached to the spout.  
1:00 - 1:10: The mouse extends its right paw toward the water drop.  
1:10 - 1:20: The mouse's paw touches the water drop, and the drop is dislodged.  
1:20 - 1:30: The mouse brings the water drop to its mouth and the tongue makes contact with the drop.  
1:30 - 1:40: The mouse consumes the entire water drop.  
1:40 - 2:00: The mouse returns to a resting position, with no water remaining.  
7. 95%", 95%
