,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,77, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's tongue made physical contact with the water drop, and the entire drop was consumed, as evidenced by the complete disappearance of the drop and the mouse's licking behavior.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's tongue made physical contact with the water drop, and the entire drop was consumed, as evidenced by the complete disappearance of the drop and the mouse's licking behavior.  
6. 0:00 - 0:05: The mouse is positioned in front of the spout with the water drop visible.  
0:06 - 0:10: The mouse extends its right paw toward the spout.  
0:11 - 0:15: The mouse's right paw touches the water drop, causing it to detach and move toward the mouth.  
0:16 - 0:20: The mouse's tongue makes contact with the water drop, and the drop is consumed.  
0:21 - 0:25: The mouse continues to lick, ensuring all the water is consumed.  
7. 95%", 95%
1,1,25, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made clear physical contact with the drop, consuming it entirely. The drop was fully transferred to the mouth and no water remained on the spout.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made clear physical contact with the drop, consuming it entirely. The drop was fully transferred to the mouth and no water remained on the spout.  
6. 0:00 - 1:00: The mouse is stationary, head fixed, with the water drop visible on the spout.  
1:00 - 1:20: The mouse begins to move its right paw toward the water drop.  
1:20 - 1:40: The right paw makes contact with the water drop, and the drop is dislodged.  
1:40 - 2:00: The mouse brings the water drop close to its mouth, and the tongue makes contact with the drop.  
2:00 - 2:20: The mouse consumes the water drop, and the drop is no longer visible on the spout.  
7. 95%", 95%
2,2,18, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the water drop was fully consumed. The mouse's tongue made physical contact with the water drop, and the entire drop was consumed.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the water drop was fully consumed. The mouse's tongue made physical contact with the water drop, and the entire drop was consumed.  
6. 0:00 - 1:20: The mouse is positioned in front of the spout, with its right paw resting on the surface.  
1:20 - 1:30: The water drop forms on the spout.  
1:30 - 1:40: The mouse's right paw lifts and moves toward the water drop.  
1:40 - 1:50: The mouse's right paw touches the water drop, and the water drop is transferred to the mouse's mouth.  
1:50 - 2:00: The mouse's tongue makes physical contact with the water drop, and the water drop is consumed.  
2:00 - 2:10: The mouse continues to consume the water drop.  
2:10 - 2:20: The water drop is fully consumed.  
7. 95%", 95%
3,3,33, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not move toward the spout. The water drop remained attached to the spout and was not consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not move toward the spout. The water drop remained attached to the spout and was not consumed.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, no movement toward the spout.  
1:00 - 1:30: Water drop appears on the spout, mouse remains still.  
1:30 - 2:00: Mouse lifts its right paw slightly but does not reach the spout.  
2:00 - 3:00: Mouse attempts to lick the water drop with its tongue, but the tongue does not make contact.  
3:00 - 4:00: Water drop remains on the spout, no change in position or size.  
4:00 - 4:30: Mouse continues to attempt licking, but no physical contact occurs.  
4:30 - 5:00: Water drop remains attached, no retrieval observed.  
7. 95%", 95%
4,4,61, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.  
6. 0:00 - 1:40: The mouse is stationary, with its head fixed and paws resting.  
   1:40 - 2:00: The water drop appears on the spout.  
   2:00 - 2:20: The mouse extends its right paw toward the water drop.  
   2:20 - 2:40: The mouse's right paw touches the water drop, and the tongue makes contact with the water drop.  
   2:40 - 3:00: The mouse retracts its paw and begins to lick the water drop.  
   3:00 - 3:20: The mouse continues to lick the water drop, and the drop is fully consumed.  
7. 95%", 95%
5,5,66, No, Yes, No,0.0,f," Failed: The mouse did not physically touch the water drop with its tongue or paws. The water drop remained attached to the spout throughout the video, and no interaction occurred between the mouse and the drop. The mouse's tongue extended but did not make contact with the drop, and the paws remained stationary. Therefore, no water was retrieved.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not physically touch the water drop with its tongue or paws. The water drop remained attached to the spout throughout the video, and no interaction occurred between the mouse and the drop. The mouse's tongue extended but did not make contact with the drop, and the paws remained stationary. Therefore, no water was retrieved.  
6. 0:00 - 4:45: The mouse remains stationary with its head fixed, facing forward. The water drop is visible on the spout, but no movement or interaction occurs. The mouse's tongue occasionally extends but does not touch the drop. The paws remain in place, and no reaching behavior is observed.  
7. 95%", 95%
6,6,84, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved by the mouse.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved by the mouse.  
6. 0:00 - 1:00: The mouse is stationary, with its paws resting on the surface.  
1:00 - 1:10: The water drop appears on the spout.  
1:10 - 1:20: The mouse extends its tongue toward the water drop but does not make contact.  
1:20 - 1:30: The mouse retracts its tongue without consuming any water.  
1:30 - 2:00: The mouse remains stationary, with no further interaction with the water drop.  
7. 95%", 95%
7,7,111, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating full consumption.  
6. 0:00 - 1:00: The mouse is stationary, head fixed, with no visible movement.  
   1:00 - 1:30: The water drop appears on the spout.  
   1:30 - 2:00: The mouse extends its right paw toward the water drop.  
   2:00 - 2:30: The mouse's right paw touches the water drop, and the tongue makes contact with the water.  
   2:30 - 3:00: The mouse consumes the water drop.  
   3:00 - 4:00: The mouse returns to a stationary position.  
7. 95%", 95%
8,8,22, Yes, Yes, No,100.0,s," Classification: Successful  
Justification: The mouse's right paw reached the water drop, brought it into contact with its mouth, and the tongue made direct physical contact with the drop. The entire water drop was consumed, as evidenced by its disappearance and the absence of any residual liquid. This indicates the mouse retrieved most of the water (more than 70%).","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Classification: Successful  
Justification: The mouse's right paw reached the water drop, brought it into contact with its mouth, and the tongue made direct physical contact with the drop. The entire water drop was consumed, as evidenced by its disappearance and the absence of any residual liquid. This indicates the mouse retrieved most of the water (more than 70%).  
6. Timeline of key events:  
0:00 - 1:00: The mouse is stationary, with its right paw resting near the spout.  
1:00 - 1:30: The water drop forms and remains attached to the spout.  
1:30 - 2:00: The mouse extends its right paw toward the water drop.  
2:00 - 2:30: The mouse's right paw makes contact with the water drop, and the drop is brought close to the mouth.  
2:30 - 3:00: The mouse's tongue extends and makes physical contact with the water drop.  
3:00 - 3:30: The water drop is consumed, and the mouse retracts its paw.  
7. Confidence: 95%", Confidence: 95%
9,9,59, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.  
6. 0:00 - 1:00: The mouse is stationary, with its right paw resting on the surface.  
   1:00 - 1:30: The water drop appears on the spout.  
   1:30 - 2:00: The mouse extends its right paw toward the water drop.  
   2:00 - 2:30: The mouse's right paw touches the water drop, and the tongue makes contact with the water drop.  
   2:30 - 3:00: The mouse retracts its paw and continues to lick the water drop.  
   3:00 - 3:30: The mouse continues to lick the water drop, and the water drop is fully consumed.  
7. 95%", 95%
