,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved. The mouse's right paw moved toward the spout but did not touch the drop, and no licking behavior was observed.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved. The mouse's right paw moved toward the spout but did not touch the drop, and no licking behavior was observed.  
6. 0:00 - 1:04: The mouse is stationary, head fixed, with no movement of the right paw or tongue.  
1:05 - 1:10: The water drop appears on the spout, remaining attached.  
1:11 - 1:20: The mouse's right paw lifts and moves toward the spout but does not make contact with the water drop.  
1:21 - 1:30: The right paw retracts without touching the drop.  
1:31 - 4:45: The mouse remains in place, with no further interaction with the water drop.  
7. 95%", 95%
1,1,77, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The water drop was dislodged from the spout and fell without being retrieved by the mouse. There was no evidence of the mouse's tongue touching the drop or bringing it to its mouth. The mouse's right paw moved toward the spout but did not make contact with the water drop before it fell. Therefore, the mouse retrieved little or none of the water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The water drop was dislodged from the spout and fell without being retrieved by the mouse. There was no evidence of the mouse's tongue touching the drop or bringing it to its mouth. The mouse's right paw moved toward the spout but did not make contact with the water drop before it fell. Therefore, the mouse retrieved little or none of the water.  
6. 0:00 - 1:08: The mouse remains stationary with its head fixed, paws resting on the platform.  
1:09 - 1:15: The water drop forms on the spout and remains attached.  
1:16 - 1:20: The mouse's right paw lifts and moves toward the spout, but does not make contact with the water drop.  
1:21 - 1:25: The water drop detaches from the spout and falls.  
1:26 - 4:45: The mouse does not retrieve the water drop. The paw returns to the platform, and no further interaction with the water occurs.  
7. 95%", 95%
2,2,25, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. The water drop remained on the spout and was not retrieved.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout to bring the drop to the mouth. The water drop remained on the spout and was not retrieved.  
6. 0:00 - 1:00: The mouse is stationary, head fixed, with no movement of the right paw or tongue.  
1:00 - 1:05: The water drop is delivered and remains attached to the spout.  
1:05 - 1:10: The mouse lifts its right paw but does not reach the spout or touch the water drop.  
1:10 - 1:15: The mouse attempts to lick the water drop with its tongue, but the tongue does not make contact.  
1:15 - 1:20: The mouse continues to attempt to reach the water drop with its tongue, but no contact is made.  
1:20 - 1:25: The mouse retracts its right paw and remains stationary.  
1:25 - 1:30: The water drop remains on the spout, and the mouse does not attempt to retrieve it further.  
7. 95%", 95%
3,3,27, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout until it detached and fell, with no evidence of retrieval or ingestion.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout until it detached and fell, with no evidence of retrieval or ingestion.  
6. 0:00 - 1:08: The mouse remains stationary, with no movement of the right paw or tongue.  
1:09 - 1:12: The water drop forms on the spout and remains attached.  
1:13 - 1:16: The mouse extends its right paw toward the water drop but does not touch it.  
1:17 - 1:20: The water drop detaches from the spout and falls, with no contact from the mouse.  
1:21 - 4:45: The mouse remains in place, with no further interaction with the water drop.  
7. 95%", 95%
4,4,32, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout until it detached and fell, with no evidence of retrieval by the mouse.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout until it detached and fell, with no evidence of retrieval by the mouse.  
6. 0:00 - 1:18: Mouse remains stationary, water drop is visible on the spout.  
1:19 - 1:25: Water drop detaches from the spout and falls.  
1:26 - 1:30: Mouse lifts its left paw toward the falling water drop.  
1:31 - 1:35: Water drop falls to the bottom of the apparatus.  
1:36 - 4:45: Mouse remains stationary, no further interaction with the water drop.  
7. 95%", 95%
5,5,18, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water retrieval or consumption.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water retrieval or consumption.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting.  
1:00 - 1:05: Water drop appears on spout.  
1:05 - 1:10: Mouse lifts right paw toward spout.  
1:10 - 1:15: Right paw touches the water drop.  
1:15 - 1:20: Water drop detaches from spout and is held by the paw.  
1:20 - 1:25: Mouse brings paw toward mouth, but tongue does not make contact with the water drop.  
1:25 - 1:30: Mouse attempts to lick the water from the paw, but no ingestion occurs.  
1:30 - 1:35: Water drop is dropped from the paw, and the mouse returns to resting position.  
7. 95%", 95%
6,6,33, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no observable evidence of water retrieval or consumption.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no observable evidence of water retrieval or consumption.  
6. 0:00 - 0:45: The mouse remains stationary with both paws on the surface.  
0:46 - 1:00: The mouse lifts its right paw and moves it toward the spout.  
1:01 - 1:15: The water drop forms on the spout and remains attached.  
1:16 - 1:30: The mouse's right paw approaches the water drop but does not make contact.  
1:31 - 1:45: The mouse's right paw moves away from the spout without touching the water drop.  
1:46 - 4:45: The mouse remains in place with no further interaction with the water drop.  
7. 95%", 95%
7,7,61,,,,,f,,"1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout until the end of the video, and the mouse's tongue did not touch it. The mouse's right paw moved toward the spout but did not make contact with the water drop. Therefore, the mouse retrieved little or none of the water.  
6. 0:00 - 1:05: The mouse is stationary, with its paws resting on the surface.  
   1:06 - 1:10: The water drop forms on the spout.  
   1:11 - 1:25: The water drop remains attached to the spout.  
   1:26 - 1:30: The mouse's right paw begins to move toward the spout.  
   1:31 - 1:35: The mouse's right paw touches the water drop, but the drop does not detach.  
   1:36 - 1:40: The mouse's right paw moves away from the spout.  
   1:41 - 2:00: The mouse's right paw returns to the spout, but the water drop remains attached.  
   2:01 - 2:10: The mouse's right paw moves away from the spout again.  
   2:11 - 2:20: The mouse's right paw returns to the spout, but the water drop remains attached.  
   2:21 - 2:30: The mouse's right paw moves away from the spout again.  
   2:31 - 2:40: The mouse's right paw returns to the spout, but the water drop remains attached.  
   2:41 - 2:50: The mouse's right paw moves away from the spout again.  
   2:51 - 3:00: The mouse's right paw returns to the spout, but the water drop remains attached.  
   3:01 - 3:10: The mouse's right paw moves away from the spout again.  
   3:11 - 3:20: The mouse's right paw returns to the spout, but the water drop remains attached.  
   3:21 - 3:30: The mouse's right paw moves away from the spout again.  
   3:31 - 3:40: The mouse's right paw returns to the spout, but the water drop remains attached.  
   3:41 - 3:50: The mouse's right paw moves away from the spout again.  
   3:51 - 4:00: The mouse's right paw returns to the spout, but the water drop remains attached.  
   4:01 - 4:10: The mouse's right paw moves away from the spout again.  
   4:11 - 4:20: The mouse's right paw returns to the spout, but the water drop remains attached.  
   4:21 - 4:30: The mouse's right paw moves away from the spout again.  
   4:31 - 4:40: The mouse's right paw returns to the spout, but the water drop remains attached.  
   4:41 - 4:50: The mouse's right paw moves away from the spout again.  
   4:51 - 5:00: The mouse's right paw returns to the spout, but the water drop remains attached.  
   5:01 - 5:10: The mouse's right paw moves away from the spout again.  
   5:11 - 5:20: The mouse's right paw returns to the spout, but the water drop remains attached.  
   5:21 - 5:30: The mouse's right paw moves away from the spout again.  
   5:31 - 5:40: The mouse's right paw returns to the spout, but the water drop remains attached.  
   5:41 - 5:50: The mouse's right paw moves away from the spout again.  
   5:51 - 6:00: The mouse's right paw returns to the spout, but the water drop remains attached.  
   6:01 - 6:10: The mouse's right paw moves away from the spout again.",
8,8,67, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved. The mouse's tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to its mouth. Therefore, no water was consumed.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved. The mouse's tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to its mouth. Therefore, no water was consumed.  
6. 0:00 - 1:20: The mouse remains stationary with its head fixed, paws resting on the platform.  
1:20 - 1:40: The water drop forms on the spout and remains attached.  
1:40 - 2:00: The mouse extends its right paw toward the spout but does not touch the water drop.  
2:00 - 2:20: The mouse retracts its paw without making contact with the water drop.  
2:20 - 4:45: The mouse remains in place, with no further movement toward the spout. The water drop remains on the spout.  
7. 95%", 95%
9,9,66, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved.  
6. 0:00 - 1:00: The mouse is positioned under the spout, with no movement observed.  
1:00 - 1:10: The water drop forms on the spout.  
1:10 - 1:20: The mouse extends its right paw toward the spout.  
1:20 - 1:30: The mouse's paw touches the water drop, but the drop remains on the spout.  
1:30 - 1:40: The mouse retracts its paw without retrieving the water.  
1:40 - 2:00: The mouse remains stationary, with no further interaction with the water drop.  
7. 95%", 95%
