,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not consumed.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not consumed.  
6. 0:00 - 1:00: The mouse is positioned in the restraint device with its head fixed. The water drop is visible on the spout.  
   1:00 - 1:10: The mouse extends its right paw toward the spout.  
   1:10 - 1:20: The mouse's paw touches the water drop, causing it to detach and fall.  
   1:20 - 1:30: The mouse attempts to lick the water drop but fails to make contact.  
   1:30 - 2:00: The mouse continues to attempt to reach the water drop with its paw but does not succeed in retrieving it.  
7. 95%", 95%
1,1,25, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of any water being consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of any water being consumed.  
6. 0:00 - 0:50: The mouse is head-fixed and remains stationary, with no movement of the paw or tongue toward the water drop.  
0:50 - 1:00: The water drop is visible on the spout, and the mouse remains still.  
1:00 - 1:20: The mouse lifts its right paw and moves it toward the water drop.  
1:20 - 1:30: The mouse's right paw touches the water drop, but the drop does not detach or move toward the mouth.  
1:30 - 1:40: The mouse retracts its paw without bringing the water drop to its mouth.  
1:40 - 2:00: The mouse remains stationary, with no further interaction with the water drop.  
7. 95%", 95%
2,2,27, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was transferred to its mouth. The tongue remained stationary and did not touch the drop, and the paw did not bring the drop close enough for consumption.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was transferred to its mouth. The tongue remained stationary and did not touch the drop, and the paw did not bring the drop close enough for consumption.  
6. 0:00 - 0:58: The mouse is head-fixed and remains still, with no movement of the paw or tongue toward the water drop.  
0:59 - 1:02: The water drop forms on the spout and remains attached.  
1:03 - 1:05: The mouse's right paw begins to lift and move toward the spout.  
1:06 - 1:10: The paw approaches the water drop but does not make contact.  
1:11 - 1:15: The paw retracts without touching the drop.  
1:16 - 4:45: The mouse remains in place, with no further interaction with the water drop.  
7. 95%", 95%
3,3,32, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout without being consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout without being consumed.  
6. 0:00 - 1:40: The mouse is head-fixed and remains stationary, with no movement of the paw or tongue toward the water drop.  
   1:40 - 2:00: The water drop forms and remains attached to the spout.  
   2:00 - 2:20: The mouse lifts its right paw and moves it toward the water drop but does not make contact.  
   2:20 - 4:45: The mouse's paw hovers near the drop but does not touch it. The water drop remains on the spout.  
7. 95%", 95%
4,4,18,,,,,s,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and no water was consumed. The mouse's right paw moved toward the spout but did not successfully retrieve the water drop. The water drop remained attached to the spout and was not consumed.  
6. 0:00 - 0:58: The mouse is head-fixed and positioned in front of the spout. The water drop is visible on the spout.  
0:59 - 1:02: The water drop begins to detach from the spout.  
1:03 - 1:06: The water drop is fully detached and falls.  
1:07 - 1:10: The water drop is on the surface below the spout.  
1:11 - 1:14: The mouse's right paw moves toward the water drop.  
1:15 - 1:18: The mouse's right paw touches the water drop.  
1:19 - 1:22: The mouse's right paw lifts the water drop.  
1:23 - 1:26: The mouse's right paw moves the water drop toward its mouth.  
1:27 - 1:30: The mouse's tongue does not make contact with the water drop.  
1:31 - 1:34: The mouse's right paw drops the water drop.  
1:35 - 1:38: The water drop remains on the surface below the spout.  
1:39 - 1:42: The mouse's right paw moves away from the water drop.  
1:43 - 1:46: The mouse's right paw returns to its original position.  
1:47 - 1:50: The mouse remains head-fixed and positioned in front of the spout.  
1:51 - 1:54: The mouse's right paw moves toward the spout.  
1:55 - 1:58: The mouse's right paw touches the spout.  
1:59 - 2:02: The mouse's right paw moves the spout.  
2:03 - 2:06: The mouse's right paw returns to its original position.  
2:07 - 2:10: The mouse remains head-fixed and positioned in front of the spout.  
2:11 - 2:14: The mouse's right paw moves toward the spout.  
2:15 - 2:18: The mouse's right paw touches the spout.  
2:19 - 2:22: The mouse's right paw moves the spout.  
2:23 - 2:26: The mouse's right paw returns to its original position.  
2:27 - 2:30: The mouse remains head-fixed and positioned in front of the spout.  
2:31 - 2:34: The mouse's right paw moves toward the spout.  
2:35 - 2:38: The mouse's right paw touches the spout.  
2:39 - 2:42: The mouse's right paw moves the spout.  
2:43 - 2:46: The mouse's right paw returns to its original position.  
2:47 - 2:50: The mouse remains head-fixed and positioned in front of the spout.  
2:51 - 2:54: The mouse's right paw moves toward the spout.  
2:55 - 2:58: The mouse's right paw touches the spout.  
2:59 - 3:02: The mouse's right paw moves the spout.  
3:03 - 3:06: The mouse's right paw returns to its original position.  
3:07 - 3:10: The mouse remains head-fixed and positioned in front of the spout.  
3:11 - 3:14: The mouse's right paw moves toward the spout.  
3:15 - 3:18: The mouse's right paw touches the spout.  
3:19 - 3:22: The mouse's right paw moves the spout.  
3:23 - 3:26: The mouse's right paw returns to its original position.  
3:27 - 3:30: The mouse remains head-fixed and positioned in front of the spout.  
3:31 - 3:3",
5,5,33, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of any water being consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of any water being consumed.  
6. 0:00 - 1:30: The mouse remains stationary with its head fixed, paws resting on the platform, and no water drop visible.  
1:30 - 1:40: The water drop appears on the spout, and the mouse begins to move its right paw toward the spout.  
1:40 - 2:00: The mouse's right paw reaches the spout and makes contact with the water drop, but the drop does not detach or move toward the mouth.  
2:00 - 2:30: The mouse attempts to lick the water drop with its tongue, but the tongue does not make contact with the drop.  
2:30 - 3:00: The mouse continues to attempt to reach the water drop with its paw and tongue, but no water is retrieved.  
3:00 - 4:40: The mouse maintains its position with the paw near the spout, but no further interaction with the water drop occurs.  
7. 95%", 95%
6,6,61, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout throughout the trial, and no consumption occurred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout throughout the trial, and no consumption occurred.  
6. 0:00 - 1:00: The mouse is head-fixed, with its paws resting on the platform. The water drop is visible on the spout.  
1:00 - 1:40: The water drop remains attached to the spout. The mouse does not move its paws or tongue.  
1:40 - 2:00: The mouse lifts its right paw and moves it toward the spout.  
2:00 - 2:20: The right paw approaches the water drop but does not touch it. The paw hovers near the drop but does not make contact.  
2:20 - 2:40: The paw retracts without touching the drop. The water drop remains on the spout.  
2:40 - 3:00: The mouse continues to hold its paws in place. No further movement occurs.  
3:00 - 3:05: The water drop remains on the spout. The mouse does not attempt to retrieve it again.  
7. 95%", 95%
7,7,67, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout, and the mouse did not retrieve any of it.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout, and the mouse did not retrieve any of it.  
6. 0:00 - 3:55: The mouse is head-fixed and remains stationary with its paws on the surface. The water drop is delivered and remains on the spout. 3:56 - 4:45: The mouse extends its tongue toward the water drop but does not make contact. The water drop remains on the spout. 4:46 - 4:46: The mouse retracts its tongue. No water is consumed.  
7. 95%", 95%
8,8,66, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, nor did it use its right paw to bring the drop to its mouth. The water drop remained on the spout throughout the video, and no physical contact occurred between the mouse and the drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, nor did it use its right paw to bring the drop to its mouth. The water drop remained on the spout throughout the video, and no physical contact occurred between the mouse and the drop.  
6. 0:00 - 4:45: The mouse remains stationary with its head fixed, and the water drop is visible on the spout. No movement of the mouse’s tongue or paws is observed. The water drop remains attached to the spout.  
7. 95%", 95%
9,9,4, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and the drop remained attached to the spout without being retrieved. The mouse's right paw moved toward the spout but did not make contact with the water drop, and no water was transferred to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and the drop remained attached to the spout without being retrieved. The mouse's right paw moved toward the spout but did not make contact with the water drop, and no water was transferred to the mouth.  
6. 0:00 - 1:00: The mouse is head-fixed and positioned in front of the spout with a water drop visible.  
1:00 - 1:30: The water drop remains attached to the spout.  
1:30 - 2:00: The mouse's right paw lifts and moves toward the spout but does not touch the water drop.  
2:00 - 3:00: The mouse's right paw returns to its original position.  
3:00 - 4:00: The water drop remains attached to the spout.  
4:00 - 5:00: The mouse's right paw lifts again but does not make contact with the water drop.  
5:00 - 6:00: The mouse's right paw returns to its original position.  
7. 95%", 95%
