,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not retrieved.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not retrieved.  
6. 0:00 - 1:00: Mouse is stationary, paws on the surface.  
1:00 - 1:10: Mouse lifts its right paw and moves it toward the spout.  
1:10 - 1:20: Mouse's right paw touches the water drop on the spout.  
1:20 - 1:30: Mouse attempts to bring the water drop closer to its mouth but fails to make contact with the tongue.  
1:30 - 1:40: Water drop remains on the spout, no further interaction.  
7. 95%", 95%
1,1,77, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not reach the spout to bring the drop to the mouth. The water drop remained on the spout throughout the trial, and no evidence of consumption or retrieval was observed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not reach the spout to bring the drop to the mouth. The water drop remained on the spout throughout the trial, and no evidence of consumption or retrieval was observed.  
6. 0:00 - 1:30: Mouse remains stationary with paws on the surface, no movement toward the spout. 1:31 - 2:00: Mouse lifts its right paw and moves it toward the spout. 2:01 - 2:30: Right paw approaches the water drop but does not make contact. 2:31 - 3:00: Right paw retracts without touching the drop. 3:01 - 4:00: Mouse remains still, no further attempts to reach the water drop. 4:01 - 4:30: Water drop remains on the spout, no change in position. 4:31 - 5:00: Mouse shows no further movement or interaction with the water drop. 5:01 - 5:30: Mouse remains in the same position, no interaction with the water drop. 5:31 - 6:00: Final frames show no change in the water drop or mouse behavior.  
7. 95%", 95%
2,2,25, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water being consumed or transferred.  
6. 0:00 - 1:30: Mouse remains stationary with paws on the surface, no movement toward the spout.  
1:31 - 1:40: Mouse lifts its right paw and moves it toward the spout.  
1:41 - 2:00: Right paw makes contact with the water drop, but the drop does not detach.  
2:01 - 2:30: Mouse attempts to lick the water drop with its tongue, but the tongue does not make contact.  
2:31 - 4:45: Mouse continues to attempt to reach the water drop with its paw and tongue, but no water is consumed.  
7. 95%", 95%
3,3,27, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made clear contact with the water, indicating full consumption. The drop was fully transferred to the mouth, and no water remained on the spout.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made clear contact with the water, indicating full consumption. The drop was fully transferred to the mouth, and no water remained on the spout.  
6. 0:00 - 1:40: The mouse remains stationary with both paws on the surface.  
1:40 - 2:00: The mouse lifts its right paw and moves it toward the spout.  
2:00 - 2:20: The right paw makes contact with the water drop, and the mouse begins to lick.  
2:20 - 4:40: The mouse continues to lick the water, with the tongue making consistent contact.  
7. 95%", 95%
4,4,32, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water being consumed or transferred.  
6. 0:00 - 1:30: Mouse remains stationary with paws on the surface.  
1:30 - 1:40: Mouse lifts its right paw toward the spout.  
1:40 - 1:50: Right paw approaches the water drop but does not make contact.  
1:50 - 2:00: Water drop detaches from the spout and falls.  
2:00 - 4:45: Mouse remains stationary, no further interaction with the water drop.  
7. 95%", 95%
5,5,18, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no evidence of any water being consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no evidence of any water being consumed.  
6. 0:00 - 1:10: Mouse remains stationary with both paws on the platform.  
1:11 - 1:20: Mouse lifts its right paw and moves it toward the spout.  
1:21 - 1:30: Right paw makes contact with the water drop, but the drop does not detach.  
1:31 - 1:40: Water drop remains attached to the spout; no transfer to the mouth occurs.  
1:41 - 2:00: Mouse retracts its paw without any water being consumed.  
2:01 - 4:45: Mouse remains in the same position with no further interaction with the water drop.  
7. 95%", 95%
6,6,33, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of any water being consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of any water being consumed.  
6. 0:00 - 1:40: Mouse remains stationary with both paws on the surface.  
1:41 - 2:00: Mouse lifts its left paw slightly but does not reach the spout.  
2:01 - 2:20: Mouse extends its right paw toward the spout but does not touch the water drop.  
2:21 - 2:40: Water drop is visible on the spout, but the mouse does not make contact.  
2:41 - 3:00: Mouse retracts its right paw without touching the drop.  
3:01 - 4:45: Mouse remains in the same position, with no further movement toward the spout.  
7. 95%", 95%
7,7,61, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not bring the drop close to the mouth. The water drop remained on the spout, and no evidence of consumption or retrieval was observed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not bring the drop close to the mouth. The water drop remained on the spout, and no evidence of consumption or retrieval was observed.  
6. 0:00 - 1:58: Mouse remains stationary with paws on the platform.  
1:59 - 2:05: Mouse extends its right paw toward the spout.  
2:06 - 2:10: Mouse's right paw touches the water drop, but the drop remains on the spout.  
2:11 - 2:15: Mouse retracts its right paw without retrieving the water.  
2:16 - 4:45: Mouse remains stationary with no further interaction with the water drop.  
7. 95%", 95%
8,8,67, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water being consumed or transferred.  
6. 0:00 - 1:20: Mouse remains stationary with both paws on the surface.  
1:21 - 1:30: Mouse lifts its right paw and moves it toward the spout.  
1:31 - 1:40: Right paw approaches the water drop but does not make contact.  
1:41 - 2:00: Right paw retracts without touching the drop.  
2:01 - 4:40: Mouse remains still, no further movement toward the spout.  
7. 95%", 95%
9,9,66,,,,,f,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water being retrieved or ingested.  
6. 0:00 - 1:58: Mouse remains stationary with both paws on the surface.  
1:59 - 2:02: Mouse lifts its left paw and moves it toward the spout.  
2:03 - 2:06: Mouse's left paw makes contact with the water drop on the spout.  
2:07 - 2:10: Water drop detaches from the spout and is held by the left paw.  
2:11 - 2:14: Mouse brings the water drop closer to its mouth using the left paw.  
2:15 - 2:18: Mouse's tongue extends and makes contact with the water drop.  
2:19 - 2:22: Mouse retracts its tongue and continues to hold the water drop with the left paw.  
2:23 - 2:26: Mouse brings the water drop closer to its mouth again.  
2:27 - 2:30: Mouse's tongue extends and makes contact with the water drop again.  
2:31 - 2:34: Mouse retracts its tongue and continues to hold the water drop with the left paw.  
2:35 - 2:38: Mouse brings the water drop closer to its mouth again.  
2:39 - 2:42: Mouse's tongue extends and makes contact with the water drop again.  
2:43 - 2:46: Mouse retracts its tongue and continues to hold the water drop with the left paw.  
2:47 - 2:50: Mouse brings the water drop closer to its mouth again.  
2:51 - 2:54: Mouse's tongue extends and makes contact with the water drop again.  
2:55 - 2:58: Mouse retracts its tongue and continues to hold the water drop with the left paw.  
2:59 - 3:02: Mouse brings the water drop closer to its mouth again.  
3:03 - 3:06: Mouse's tongue extends and makes contact with the water drop again.  
3:07 - 3:10: Mouse retracts its tongue and continues to hold the water drop with the left paw.  
3:11 - 3:14: Mouse brings the water drop closer to its mouth again.  
3:15 - 3:18: Mouse's tongue extends and makes contact with the water drop again.  
3:19 - 3:22: Mouse retracts its tongue and continues to hold the water drop with the left paw.  
3:23 - 3:26: Mouse brings the water drop closer to its mouth again.  
3:27 - 3:30: Mouse's tongue extends and makes contact with the water drop again.  
3:31 - 3:34: Mouse retracts its tongue and continues to hold the water drop with the left paw.  
3:35 - 3:38: Mouse brings the water drop closer to its mouth again.  
3:39 - 3:42: Mouse's tongue extends and makes contact with the water drop again.  
3:43 - 3:46: Mouse retracts its tongue and continues to hold the water drop with the left paw.  
3:47 - 3:50: Mouse brings the water drop closer to its mouth again.  
3:51 - 3:54: Mouse's tongue extends and makes contact with the water drop again.  
3:55 - 3:58: Mouse retracts its tongue and continues to hold the water drop with the left paw.  
3:59 - 4:02: Mouse brings the water drop closer to its mouth again.  
4:03 - 4:06: Mouse's tongue extends and makes contact with the water drop again.  
4:07 - 4:10: Mouse retracts its tongue and continues to hold the water drop with the left paw.  
4:11 - 4:14: Mouse brings the water drop closer to its mouth again.  
4:15 - 4:18: Mouse's tongue extends and makes contact with the water drop again.  
4:19 - 4:22: Mouse retracts its tongue and continues to hold the water drop with",
