name,trial,cam,event,outcome
AZ_L3_2024-11-22_1,0,camB,Reward,s
AZ_L3_2024-11-22_1,1,camB,Reward,f
AZ_L3_2024-11-22_1,2,camB,Reward,s
AZ_L3_2024-11-22_1,3,camB,Reward,s
AZ_L3_2024-11-22_1,4,camB,Reward,s
AZ_L3_2024-11-22_1,5,camB,Reward,s
AZ_L3_2024-11-22_1,6,camB,Reward,s
AZ_L3_2024-11-22_1,7,camB,Reward,s
AZ_L3_2024-11-22_1,8,camB,Reward,s
AZ_L3_2024-11-22_1,9,camB,Reward,s
AZ_L3_2024-11-22_1,10,camB,No_reward,nd
AZ_L3_2024-11-22_1,11,camB,Reward,s
AZ_L3_2024-11-22_1,12,camB,Reward,s
AZ_L3_2024-11-22_1,13,camB,No_reward,nd
AZ_L3_2024-11-22_1,14,camB,Reward,s
AZ_L3_2024-11-22_1,15,camB,Reward,s
AZ_L3_2024-11-22_1,16,camB,Reward,f
AZ_L3_2024-11-22_1,17,camB,Reward,s
AZ_L3_2024-11-22_1,18,camB,Reward,f
AZ_L3_2024-11-22_1,19,camB,Reward,s
AZ_L3_2024-11-22_1,20,camB,Reward,s
AZ_L3_2024-11-22_1,21,camB,Reward,s
AZ_L3_2024-11-22_1,22,camB,Reward,s
AZ_L3_2024-11-22_1,23,camB,Reward,s
AZ_L3_2024-11-22_1,24,camB,Reward,s
AZ_L3_2024-11-22_1,25,camB,Reward,s
AZ_L3_2024-11-22_1,26,camB,No_reward,nd
AZ_L3_2024-11-22_1,27,camB,Reward,s
AZ_L3_2024-11-22_1,28,camB,Reward,s
AZ_L3_2024-11-22_1,29,camB,No_reward,nd
AZ_L3_2024-11-22_1,30,camB,Reward,s
AZ_L3_2024-11-22_1,31,camB,Reward,s
AZ_L3_2024-11-22_1,32,camB,Reward,s
AZ_L3_2024-11-22_1,33,camB,Reward,s
AZ_L3_2024-11-22_1,34,camB,Reward,s
AZ_L3_2024-11-22_1,35,camB,Reward,s
AZ_L3_2024-11-22_1,36,camB,Reward,s
AZ_L3_2024-11-22_1,37,camB,Reward,ps
AZ_L3_2024-11-22_1,38,camB,Reward,s
AZ_L3_2024-11-22_1,39,camB,Reward,s
AZ_L3_2024-11-22_1,40,camB,Reward,s
AZ_L3_2024-11-22_1,41,camB,Reward,s
AZ_L3_2024-11-22_1,42,camB,Reward,s
AZ_L3_2024-11-22_1,43,camB,No_reward,nd
AZ_L3_2024-11-22_1,44,camB,Reward,s
AZ_L3_2024-11-22_1,45,camB,Reward,s
AZ_L3_2024-11-22_1,46,camB,No_reward,nd
AZ_L3_2024-11-22_1,47,camB,Reward,s
AZ_L3_2024-11-22_1,48,camB,Reward,s
AZ_L3_2024-11-22_1,49,camB,Reward,s
AZ_L3_2024-11-22_1,50,camB,No_reward,nd
AZ_L3_2024-11-22_1,51,camB,Reward,s
AZ_L3_2024-11-22_1,52,camB,Reward,s
AZ_L3_2024-11-22_1,53,camB,Reward,s
AZ_L3_2024-11-22_1,54,camB,Reward,s
AZ_L3_2024-11-22_1,55,camB,Reward,s
AZ_L3_2024-11-22_1,56,camB,No_reward,nd
AZ_L3_2024-11-22_1,57,camB,Reward,na
AZ_L3_2024-11-22_1,58,camB,Reward,na
AZ_L3_2024-11-22_1,59,camB,Reward,na
AZ_L3_2024-11-22_1,60,camB,Reward,na
AZ_L3_2024-11-22_1,61,camB,Reward,f
AZ_L3_2024-11-22_1,62,camB,Reward,na
AZ_L3_2024-11-22_1,63,camB,Reward,na
AZ_L3_2024-11-22_1,64,camB,Reward,na
AZ_L3_2024-11-22_1,65,camB,Reward,na
AZ_L3_2024-11-22_1,66,camB,Reward,na
AZ_L3_2024-11-22_1,67,camB,Reward,na
AZ_L3_2024-11-22_1,68,camB,Reward,na
AZ_L3_2024-11-22_1,69,camB,Reward,na
AZ_L3_2024-11-22_1,70,camB,Reward,na
AZ_L3_2024-11-22_1,71,camB,Reward,na
AZ_L3_2024-11-22_1,72,camB,Reward,na
AZ_L3_2024-11-22_1,73,camB,Reward,na
AZ_L3_2024-11-22_1,74,camB,Reward,na
AZ_L3_2024-11-22_1,75,camB,No_reward,nd
AZ_L3_2024-11-22_1,76,camB,Reward,na
AZ_L3_2024-11-22_1,77,camB,Reward,na
AZ_L3_2024-11-22_1,78,camB,Reward,na
AZ_L3_2024-11-22_1,79,camB,Reward,na
AZ_L3_2024-11-22_1,80,camB,Reward,na
AZ_L3_2024-11-22_1,81,camB,Reward,na
AZ_L3_2024-11-22_1,82,camB,No_reward,nd
AZ_L3_2024-11-22_1,83,camB,No_reward,nd
AZ_L3_2024-11-22_1,84,camB,No_reward,nd
AZ_L3_2024-11-22_1,85,camB,Reward,na
AZ_L3_2024-11-22_1,86,camB,Reward,na
AZ_L3_2024-11-22_1,87,camB,Reward,na
AZ_L3_2024-11-22_1,88,camB,Reward,na
AZ_L3_2024-11-22_1,89,camB,Reward,na
AZ_L3_2024-11-22_1,90,camB,Reward,na
AZ_L3_2024-11-22_1,91,camB,Reward,na
AZ_L3_2024-11-22_1,92,camB,Reward,na
AZ_L3_2024-11-22_1,93,camB,No_reward,nd
AZ_L3_2024-11-22_1,94,camB,Reward,na
AZ_L3_2024-11-22_1,95,camB,Reward,na
AZ_L3_2024-11-22_1,96,camB,Reward,na
AZ_L3_2024-11-22_1,97,camB,Reward,na
AZ_L3_2024-11-22_1,98,camB,Reward,na
AZ_L3_2024-11-22_1,99,camB,Reward,na
AZ_L3_2024-11-22_1,100,camB,No_reward,nd
AZ_L3_2024-11-22_1,101,camB,Reward,na
AZ_L3_2024-11-22_1,102,camB,No_reward,nd
AZ_L3_2024-11-22_1,103,camB,Reward,na
AZ_L3_2024-11-22_1,104,camB,Reward,na
AZ_L3_2024-11-22_1,105,camB,Reward,na
AZ_L3_2024-11-22_1,106,camB,Reward,na
AZ_L3_2024-11-22_1,107,camB,Reward,na
AZ_L3_2024-11-22_1,108,camB,Reward,na
AZ_L3_2024-11-22_1,109,camB,Reward,na
AZ_L3_2024-11-22_1,110,camB,Reward,na
AZ_L3_2024-11-22_1,111,camB,Reward,na
AZ_L3_2024-11-22_1,112,camB,No_reward,nd
AZ_L3_2024-11-22_1,113,camB,Reward,na
AZ_L3_2024-11-22_1,114,camB,Reward,na
AZ_L3_2024-11-22_1,115,camB,No_reward,nd
AZ_L3_2024-11-22_1,116,camB,Reward,na
AZ_L3_2024-11-22_1,117,camB,Reward,na
AZ_L3_2024-11-22_1,118,camB,No_reward,nd
AZ_L3_2024-11-22_1,119,camB,Reward,na
