name,trial,cam,event,outcome
AZ_R2_2024-11-22_1,0,camB,Reward,s
AZ_R2_2024-11-22_1,1,camB,Reward,s
AZ_R2_2024-11-22_1,2,camB,Reward,ps
AZ_R2_2024-11-22_1,3,camB,No_reward,nd
AZ_R2_2024-11-22_1,4,camB,Reward,rnd
AZ_R2_2024-11-22_1,5,camB,Reward,f
AZ_R2_2024-11-22_1,6,camB,Reward,s
AZ_R2_2024-11-22_1,7,camB,Reward,f
AZ_R2_2024-11-22_1,8,camB,Reward,s
AZ_R2_2024-11-22_1,9,camB,Reward,f
AZ_R2_2024-11-22_1,10,camB,Reward,s
AZ_R2_2024-11-22_1,11,camB,Reward,s
AZ_R2_2024-11-22_1,12,camB,No_reward,nd
AZ_R2_2024-11-22_1,13,camB,Reward,f
AZ_R2_2024-11-22_1,14,camB,Reward,s
AZ_R2_2024-11-22_1,15,camB,Reward,s
AZ_R2_2024-11-22_1,16,camB,Reward,s
AZ_R2_2024-11-22_1,17,camB,No_reward,nd
AZ_R2_2024-11-22_1,18,camB,Reward,s
AZ_R2_2024-11-22_1,19,camB,Reward,s
AZ_R2_2024-11-22_1,20,camB,Reward,s
AZ_R2_2024-11-22_1,21,camB,Reward,s
AZ_R2_2024-11-22_1,22,camB,Reward,ps
AZ_R2_2024-11-22_1,23,camB,Reward,ps
AZ_R2_2024-11-22_1,24,camB,No_reward,nd
AZ_R2_2024-11-22_1,25,camB,Reward,s
AZ_R2_2024-11-22_1,26,camB,Reward,s
AZ_R2_2024-11-22_1,27,camB,Reward,s
AZ_R2_2024-11-22_1,28,camB,Reward,s
AZ_R2_2024-11-22_1,29,camB,Reward,s
AZ_R2_2024-11-22_1,30,camB,Reward,ps
AZ_R2_2024-11-22_1,31,camB,Reward,f
AZ_R2_2024-11-22_1,32,camB,Reward,ps
AZ_R2_2024-11-22_1,33,camB,No_reward,nd
AZ_R2_2024-11-22_1,34,camB,Reward,ps
AZ_R2_2024-11-22_1,35,camB,Reward,ps
AZ_R2_2024-11-22_1,36,camB,Reward,s
AZ_R2_2024-11-22_1,37,camB,Reward,s
AZ_R2_2024-11-22_1,38,camB,Reward,f
AZ_R2_2024-11-22_1,39,camB,Reward,s
AZ_R2_2024-11-22_1,40,camB,Reward,s
AZ_R2_2024-11-22_1,41,camB,No_reward,nd
AZ_R2_2024-11-22_1,42,camB,Reward,ps
AZ_R2_2024-11-22_1,43,camB,Reward,s
AZ_R2_2024-11-22_1,44,camB,Reward,ps
AZ_R2_2024-11-22_1,45,camB,Reward,s
AZ_R2_2024-11-22_1,46,camB,No_reward,nd
AZ_R2_2024-11-22_1,47,camB,Reward,s
AZ_R2_2024-11-22_1,48,camB,No_reward,nd
AZ_R2_2024-11-22_1,49,camB,Reward,s
AZ_R2_2024-11-22_1,50,camB,Reward,s
AZ_R2_2024-11-22_1,51,camB,Reward,s
AZ_R2_2024-11-22_1,52,camB,Reward,ps
AZ_R2_2024-11-22_1,53,camB,Reward,ps
AZ_R2_2024-11-22_1,54,camB,Reward,f
AZ_R2_2024-11-22_1,55,camB,No_reward,nd
AZ_R2_2024-11-22_1,56,camB,Reward,s
AZ_R2_2024-11-22_1,57,camB,No_reward,nd
AZ_R2_2024-11-22_1,58,camB,Reward,s
AZ_R2_2024-11-22_1,59,camB,Reward,f
AZ_R2_2024-11-22_1,60,camB,Reward,s
AZ_R2_2024-11-22_1,61,camB,Reward,s
AZ_R2_2024-11-22_1,62,camB,Reward,s
AZ_R2_2024-11-22_1,63,camB,Reward,s
AZ_R2_2024-11-22_1,64,camB,Reward,s
AZ_R2_2024-11-22_1,65,camB,Reward,s
AZ_R2_2024-11-22_1,66,camB,Reward,s
