name,trial,cam,event,outcome
FJ_L3_2024-07-15_1,0,camB,Reward,s
FJ_L3_2024-07-15_1,1,camB,Reward,rnd
FJ_L3_2024-07-15_1,2,camB,Reward,rnd
FJ_L3_2024-07-15_1,3,camB,Reward,s
FJ_L3_2024-07-15_1,4,camB,No_reward,nd
FJ_L3_2024-07-15_1,5,camB,No_reward,nd
FJ_L3_2024-07-15_1,6,camB,No_reward,nd
FJ_L3_2024-07-15_1,7,camB,Reward,s
FJ_L3_2024-07-15_1,8,camB,Reward,s
FJ_L3_2024-07-15_1,9,camB,Reward,ps
FJ_L3_2024-07-15_1,10,camB,Reward,s
FJ_L3_2024-07-15_1,11,camB,Reward,s
FJ_L3_2024-07-15_1,12,camB,Reward,s
FJ_L3_2024-07-15_1,13,camB,Reward,s
FJ_L3_2024-07-15_1,14,camB,Reward,s
FJ_L3_2024-07-15_1,15,camB,Reward,s
FJ_L3_2024-07-15_1,16,camB,Reward,rnd
FJ_L3_2024-07-15_1,17,camB,Reward,s
FJ_L3_2024-07-15_1,18,camB,Reward,s
FJ_L3_2024-07-15_1,19,camB,Reward,s
FJ_L3_2024-07-15_1,20,camB,Reward,s
FJ_L3_2024-07-15_1,21,camB,No_reward,nd
FJ_L3_2024-07-15_1,22,camB,Reward,rnd
FJ_L3_2024-07-15_1,23,camB,No_reward,nd
FJ_L3_2024-07-15_1,24,camB,Reward,s
FJ_L3_2024-07-15_1,25,camB,Reward,s
FJ_L3_2024-07-15_1,26,camB,No_reward,nd
FJ_L3_2024-07-15_1,27,camB,No_reward,nd
FJ_L3_2024-07-15_1,28,camB,No_reward,nd
FJ_L3_2024-07-15_1,29,camB,Reward,rnd
FJ_L3_2024-07-15_1,30,camB,Reward,rnd
FJ_L3_2024-07-15_1,31,camB,Reward,s
FJ_L3_2024-07-15_1,32,camB,Reward,ps
FJ_L3_2024-07-15_1,33,camB,No_reward,nd
FJ_L3_2024-07-15_1,34,camB,Reward,rnd
FJ_L3_2024-07-15_1,35,camB,Reward,s
FJ_L3_2024-07-15_1,36,camB,Reward,s
FJ_L3_2024-07-15_1,37,camB,Reward,s
FJ_L3_2024-07-15_1,38,camB,Reward,s
FJ_L3_2024-07-15_1,39,camB,Reward,s
FJ_L3_2024-07-15_1,40,camB,Reward,f
FJ_L3_2024-07-15_1,41,camB,Reward,rnd
FJ_L3_2024-07-15_1,42,camB,Reward,s
FJ_L3_2024-07-15_1,43,camB,Reward,ps
FJ_L3_2024-07-15_1,44,camB,Reward,s
FJ_L3_2024-07-15_1,45,camB,Reward,s
FJ_L3_2024-07-15_1,46,camB,Reward,rnd
FJ_L3_2024-07-15_1,47,camB,Reward,s
FJ_L3_2024-07-15_1,48,camB,Reward,s
FJ_L3_2024-07-15_1,49,camB,Reward,rnd
FJ_L3_2024-07-15_1,50,camB,Reward,rnd
FJ_L3_2024-07-15_1,51,camB,Reward,s
FJ_L3_2024-07-15_1,52,camB,Reward,na
FJ_L3_2024-07-15_1,53,camB,Reward,na
FJ_L3_2024-07-15_1,54,camB,Reward,na
FJ_L3_2024-07-15_1,55,camB,Reward,rnd
FJ_L3_2024-07-15_1,56,camB,No_reward,nd
FJ_L3_2024-07-15_1,57,camB,Reward,na
FJ_L3_2024-07-15_1,58,camB,No_reward,nd
FJ_L3_2024-07-15_1,59,camB,Reward,na
FJ_L3_2024-07-15_1,60,camB,Reward,na
FJ_L3_2024-07-15_1,61,camB,No_reward,nd
FJ_L3_2024-07-15_1,62,camB,Reward,na
FJ_L3_2024-07-15_1,63,camB,Reward,na
FJ_L3_2024-07-15_1,64,camB,Reward,na
FJ_L3_2024-07-15_1,65,camB,Reward,s
FJ_L3_2024-07-15_1,66,camB,Reward,s
FJ_L3_2024-07-15_1,67,camB,Reward,na
FJ_L3_2024-07-15_1,68,camB,Reward,na
FJ_L3_2024-07-15_1,69,camB,Reward,s
FJ_L3_2024-07-15_1,70,camB,Reward,na
