name,trial,cam,event,outcome
FJ_R3_2024-07-29_1,0,camB,No_reward,nd
FJ_R3_2024-07-29_1,1,camB,Reward,f
FJ_R3_2024-07-29_1,2,camB,Reward,s
FJ_R3_2024-07-29_1,3,camB,Reward,ps
FJ_R3_2024-07-29_1,4,camB,Reward,f
FJ_R3_2024-07-29_1,5,camB,Reward,ps
FJ_R3_2024-07-29_1,6,camB,Reward,s
FJ_R3_2024-07-29_1,7,camB,Reward,ps
FJ_R3_2024-07-29_1,8,camB,Reward,f
FJ_R3_2024-07-29_1,9,camB,Reward,ps
FJ_R3_2024-07-29_1,10,camB,No_reward,nd
FJ_R3_2024-07-29_1,11,camB,Reward,s
FJ_R3_2024-07-29_1,12,camB,Reward,f
FJ_R3_2024-07-29_1,13,camB,Reward,s
FJ_R3_2024-07-29_1,14,camB,Reward,f
FJ_R3_2024-07-29_1,15,camB,Reward,s
FJ_R3_2024-07-29_1,16,camB,No_reward,nd
FJ_R3_2024-07-29_1,17,camB,Reward,f
FJ_R3_2024-07-29_1,18,camB,No_reward,nd
FJ_R3_2024-07-29_1,19,camB,Reward,f
FJ_R3_2024-07-29_1,20,camB,Reward,f
FJ_R3_2024-07-29_1,21,camB,Reward,s
FJ_R3_2024-07-29_1,22,camB,Reward,ps
FJ_R3_2024-07-29_1,23,camB,Reward,f
FJ_R3_2024-07-29_1,24,camB,Reward,f
FJ_R3_2024-07-29_1,25,camB,Reward,s
FJ_R3_2024-07-29_1,26,camB,Reward,s
FJ_R3_2024-07-29_1,27,camB,Reward,s
FJ_R3_2024-07-29_1,28,camB,Reward,s
FJ_R3_2024-07-29_1,29,camB,Reward,s
FJ_R3_2024-07-29_1,30,camB,Reward,s
FJ_R3_2024-07-29_1,31,camB,Reward,f
FJ_R3_2024-07-29_1,32,camB,Reward,s
FJ_R3_2024-07-29_1,33,camB,Reward,f
FJ_R3_2024-07-29_1,34,camB,Reward,s
FJ_R3_2024-07-29_1,35,camB,Reward,f
FJ_R3_2024-07-29_1,36,camB,Reward,f
FJ_R3_2024-07-29_1,37,camB,Reward,rnd
FJ_R3_2024-07-29_1,38,camB,No_reward,nd
FJ_R3_2024-07-29_1,39,camB,No_reward,nd
FJ_R3_2024-07-29_1,40,camB,Reward,s
FJ_R3_2024-07-29_1,41,camB,Reward,f
FJ_R3_2024-07-29_1,42,camB,Reward,ps
FJ_R3_2024-07-29_1,43,camB,Reward,s
FJ_R3_2024-07-29_1,44,camB,Reward,s
FJ_R3_2024-07-29_1,45,camB,Reward,s
FJ_R3_2024-07-29_1,46,camB,Reward,s
FJ_R3_2024-07-29_1,47,camB,Reward,s
FJ_R3_2024-07-29_1,48,camB,Reward,s
FJ_R3_2024-07-29_1,49,camB,No_reward,nd
FJ_R3_2024-07-29_1,50,camB,Reward,ps
FJ_R3_2024-07-29_1,51,camB,Reward,rnd
FJ_R3_2024-07-29_1,52,camB,Reward,f
FJ_R3_2024-07-29_1,53,camB,Reward,s
FJ_R3_2024-07-29_1,54,camB,Reward,s
FJ_R3_2024-07-29_1,55,camB,Reward,ps
FJ_R3_2024-07-29_1,56,camB,Reward,f
FJ_R3_2024-07-29_1,57,camB,Reward,s
FJ_R3_2024-07-29_1,58,camB,Reward,s
FJ_R3_2024-07-29_1,59,camB,Reward,s
FJ_R3_2024-07-29_1,60,camB,Reward,f
FJ_R3_2024-07-29_1,61,camB,Reward,rnd
FJ_R3_2024-07-29_1,62,camB,Reward,f
FJ_R3_2024-07-29_1,63,camB,Reward,s
FJ_R3_2024-07-29_1,64,camB,Reward,f
FJ_R3_2024-07-29_1,65,camB,Reward,s
FJ_R3_2024-07-29_1,66,camB,Reward,f
FJ_R3_2024-07-29_1,67,camB,Reward,rnd
FJ_R3_2024-07-29_1,68,camB,No_reward,nd
FJ_R3_2024-07-29_1,69,camB,No_reward,nd
FJ_R3_2024-07-29_1,70,camB,Reward,ps
FJ_R3_2024-07-29_1,71,camB,Reward,rnd
FJ_R3_2024-07-29_1,72,camB,Reward,rnd
FJ_R3_2024-07-29_1,73,camB,Reward,rnd
FJ_R3_2024-07-29_1,74,camB,Reward,rnd
FJ_R3_2024-07-29_1,75,camB,Reward,f
FJ_R3_2024-07-29_1,76,camB,Reward,rnd
FJ_R3_2024-07-29_1,77,camB,Reward,na
FJ_R3_2024-07-29_1,78,camB,Reward,na
FJ_R3_2024-07-29_1,79,camB,No_reward,nd
FJ_R3_2024-07-29_1,80,camB,Reward,na
FJ_R3_2024-07-29_1,81,camB,No_reward,nd
FJ_R3_2024-07-29_1,82,camB,Reward,na
FJ_R3_2024-07-29_1,83,camB,Reward,na
FJ_R3_2024-07-29_1,84,camB,Reward,na
FJ_R3_2024-07-29_1,85,camB,No_reward,nd
FJ_R3_2024-07-29_1,86,camB,Reward,na
FJ_R3_2024-07-29_1,87,camB,Reward,na
FJ_R3_2024-07-29_1,88,camB,Reward,na
FJ_R3_2024-07-29_1,89,camB,No_reward,nd
FJ_R3_2024-07-29_1,90,camB,Reward,na
FJ_R3_2024-07-29_1,91,camB,Reward,na
FJ_R3_2024-07-29_1,92,camB,Reward,na
FJ_R3_2024-07-29_1,93,camB,No_reward,nd
FJ_R3_2024-07-29_1,94,camB,Reward,na
FJ_R3_2024-07-29_1,95,camB,No_reward,nd
FJ_R3_2024-07-29_1,96,camB,Reward,rnd
FJ_R3_2024-07-29_1,97,camB,Reward,f
FJ_R3_2024-07-29_1,98,camB,Reward,s
FJ_R3_2024-07-29_1,99,camB,No_reward,nd
FJ_R3_2024-07-29_1,100,camB,Reward,f
FJ_R3_2024-07-29_1,101,camB,Reward,f
FJ_R3_2024-07-29_1,102,camB,Reward,f
FJ_R3_2024-07-29_1,103,camB,Reward,s
FJ_R3_2024-07-29_1,104,camB,Reward,rnd
FJ_R3_2024-07-29_1,105,camB,Reward,f
FJ_R3_2024-07-29_1,106,camB,Reward,s
FJ_R3_2024-07-29_1,107,camB,Reward,ps
FJ_R3_2024-07-29_1,108,camB,Reward,f
FJ_R3_2024-07-29_1,109,camB,Reward,s
FJ_R3_2024-07-29_1,110,camB,Reward,f
FJ_R3_2024-07-29_1,111,camB,Reward,s
FJ_R3_2024-07-29_1,112,camB,No_reward,nd
FJ_R3_2024-07-29_1,113,camB,Reward,f
FJ_R3_2024-07-29_1,114,camB,Reward,rnd
FJ_R3_2024-07-29_1,115,camB,Reward,s
FJ_R3_2024-07-29_1,116,camB,No_reward,nd
FJ_R3_2024-07-29_1,117,camB,Reward,s
FJ_R3_2024-07-29_1,118,camB,Reward,ps
FJ_R3_2024-07-29_1,119,camB,Reward,s
