name,trial,cam,event,outcome
FS_L2_2024-06-28_1,0,camB,Reward,s
FS_L2_2024-06-28_1,1,camB,Reward,s
FS_L2_2024-06-28_1,2,camB,Reward,s
FS_L2_2024-06-28_1,3,camB,Reward,s
FS_L2_2024-06-28_1,4,camB,No_reward,nd
FS_L2_2024-06-28_1,5,camB,Reward,rnd
FS_L2_2024-06-28_1,6,camB,Reward,f
FS_L2_2024-06-28_1,7,camB,No_reward,nd
FS_L2_2024-06-28_1,8,camB,No_reward,nd
FS_L2_2024-06-28_1,9,camB,Reward,rnd
FS_L2_2024-06-28_1,10,camB,Reward,s
FS_L2_2024-06-28_1,11,camB,Reward,f
FS_L2_2024-06-28_1,12,camB,No_reward,nd
FS_L2_2024-06-28_1,13,camB,Reward,rnd
FS_L2_2024-06-28_1,14,camB,Reward,f
FS_L2_2024-06-28_1,15,camB,Reward,na
FS_L2_2024-06-28_1,16,camB,Reward,s
FS_L2_2024-06-28_1,17,camB,Reward,s
FS_L2_2024-06-28_1,18,camB,Reward,s
FS_L2_2024-06-28_1,19,camB,Reward,ps
FS_L2_2024-06-28_1,20,camB,Reward,s
FS_L2_2024-06-28_1,21,camB,Reward,s
FS_L2_2024-06-28_1,22,camB,Reward,f
FS_L2_2024-06-28_1,23,camB,Reward,s
FS_L2_2024-06-28_1,24,camB,No_reward,nd
FS_L2_2024-06-28_1,25,camB,Reward,s
FS_L2_2024-06-28_1,26,camB,No_reward,nd
FS_L2_2024-06-28_1,27,camB,Reward,s
FS_L2_2024-06-28_1,28,camB,Reward,s
FS_L2_2024-06-28_1,29,camB,Reward,s
FS_L2_2024-06-28_1,30,camB,Reward,s
FS_L2_2024-06-28_1,31,camB,Reward,s
FS_L2_2024-06-28_1,32,camB,Reward,s
FS_L2_2024-06-28_1,33,camB,Reward,s
FS_L2_2024-06-28_1,34,camB,Reward,s
FS_L2_2024-06-28_1,35,camB,No_reward,nd
FS_L2_2024-06-28_1,36,camB,Reward,rnd
FS_L2_2024-06-28_1,37,camB,No_reward,nd
FS_L2_2024-06-28_1,38,camB,No_reward,nd
FS_L2_2024-06-28_1,39,camB,Reward,rnd
FS_L2_2024-06-28_1,40,camB,Reward,f
FS_L2_2024-06-28_1,41,camB,Reward,rnd
FS_L2_2024-06-28_1,42,camB,Reward,rnd
FS_L2_2024-06-28_1,43,camB,Reward,rnd
FS_L2_2024-06-28_1,44,camB,Reward,s
FS_L2_2024-06-28_1,45,camB,Reward,s
FS_L2_2024-06-28_1,46,camB,No_reward,nd
FS_L2_2024-06-28_1,47,camB,Reward,s
FS_L2_2024-06-28_1,48,camB,Reward,s
FS_L2_2024-06-28_1,49,camB,Reward,s
FS_L2_2024-06-28_1,50,camB,No_reward,nd
FS_L2_2024-06-28_1,51,camB,Reward,s
FS_L2_2024-06-28_1,52,camB,Reward,s
FS_L2_2024-06-28_1,53,camB,No_reward,nd
FS_L2_2024-06-28_1,54,camB,Reward,s
FS_L2_2024-06-28_1,55,camB,Reward,s
FS_L2_2024-06-28_1,56,camB,Reward,s
FS_L2_2024-06-28_1,57,camB,No_reward,nd
FS_L2_2024-06-28_1,58,camB,Reward,rnd
FS_L2_2024-06-28_1,59,camB,Reward,ps
FS_L2_2024-06-28_1,60,camB,Reward,s
FS_L2_2024-06-28_1,61,camB,No_reward,nd
FS_L2_2024-06-28_1,62,camB,Reward,s
FS_L2_2024-06-28_1,63,camB,Reward,s
FS_L2_2024-06-28_1,64,camB,Reward,f
FS_L2_2024-06-28_1,65,camB,Reward,s
FS_L2_2024-06-28_1,66,camB,Reward,s
FS_L2_2024-06-28_1,67,camB,Reward,s
FS_L2_2024-06-28_1,68,camB,Reward,s
FS_L2_2024-06-28_1,69,camB,Reward,s
FS_L2_2024-06-28_1,70,camB,Reward,rnd
FS_L2_2024-06-28_1,71,camB,Reward,s
FS_L2_2024-06-28_1,72,camB,Reward,s
FS_L2_2024-06-28_1,73,camB,Reward,s
FS_L2_2024-06-28_1,74,camB,Reward,s
FS_L2_2024-06-28_1,75,camB,No_reward,nd
FS_L2_2024-06-28_1,76,camB,Reward,s
FS_L2_2024-06-28_1,77,camB,No_reward,nd
FS_L2_2024-06-28_1,78,camB,Reward,na
FS_L2_2024-06-28_1,79,camB,Reward,s
FS_L2_2024-06-28_1,80,camB,Reward,na
FS_L2_2024-06-28_1,81,camB,Reward,f
FS_L2_2024-06-28_1,82,camB,Reward,s
FS_L2_2024-06-28_1,83,camB,No_reward,nd
FS_L2_2024-06-28_1,84,camB,No_reward,nd
FS_L2_2024-06-28_1,85,camB,Reward,rnd
FS_L2_2024-06-28_1,86,camB,Reward,f
FS_L2_2024-06-28_1,87,camB,Reward,na
FS_L2_2024-06-28_1,88,camB,Reward,f
FS_L2_2024-06-28_1,89,camB,Reward,s
FS_L2_2024-06-28_1,90,camB,Reward,na
FS_L2_2024-06-28_1,91,camB,Reward,s
FS_L2_2024-06-28_1,92,camB,Reward,na
FS_L2_2024-06-28_1,93,camB,Reward,s
FS_L2_2024-06-28_1,94,camB,Reward,s
FS_L2_2024-06-28_1,95,camB,Reward,s
FS_L2_2024-06-28_1,96,camB,Reward,s
FS_L2_2024-06-28_1,97,camB,Reward,s
FS_L2_2024-06-28_1,98,camB,Reward,s
FS_L2_2024-06-28_1,99,camB,Reward,s
FS_L2_2024-06-28_1,100,camB,Reward,s
FS_L2_2024-06-28_1,101,camB,Reward,s
FS_L2_2024-06-28_1,102,camB,Reward,s
FS_L2_2024-06-28_1,103,camB,Reward,s
FS_L2_2024-06-28_1,104,camB,Reward,s
FS_L2_2024-06-28_1,105,camB,Reward,s
FS_L2_2024-06-28_1,106,camB,Reward,f
FS_L2_2024-06-28_1,107,camB,Reward,s
FS_L2_2024-06-28_1,108,camB,Reward,s
FS_L2_2024-06-28_1,109,camB,Reward,na
FS_L2_2024-06-28_1,110,camB,Reward,f
FS_L2_2024-06-28_1,111,camB,Reward,na
FS_L2_2024-06-28_1,112,camB,Reward,na
FS_L2_2024-06-28_1,113,camB,Reward,na
FS_L2_2024-06-28_1,114,camB,Reward,na
FS_L2_2024-06-28_1,115,camB,Reward,na
FS_L2_2024-06-28_1,116,camB,Reward,na
FS_L2_2024-06-28_1,117,camB,Reward,na
FS_L2_2024-06-28_1,118,camB,Reward,na
FS_L2_2024-06-28_1,119,camB,Reward,na
