name,trial,cam,event,outcome
FS_R2_2024-06-29_1,0,camB,No_reward,nd
FS_R2_2024-06-29_1,1,camB,Reward,rnd
FS_R2_2024-06-29_1,2,camB,Reward,s
FS_R2_2024-06-29_1,3,camB,Reward,s
FS_R2_2024-06-29_1,4,camB,No_reward,nd
FS_R2_2024-06-29_1,5,camB,Reward,s
FS_R2_2024-06-29_1,6,camB,Reward,s
FS_R2_2024-06-29_1,7,camB,Reward,rnd
FS_R2_2024-06-29_1,8,camB,Reward,s
FS_R2_2024-06-29_1,9,camB,Reward,s
FS_R2_2024-06-29_1,10,camB,Reward,s
FS_R2_2024-06-29_1,11,camB,Reward,rnd
FS_R2_2024-06-29_1,12,camB,Reward,s
FS_R2_2024-06-29_1,13,camB,Reward,s
FS_R2_2024-06-29_1,14,camB,Reward,s
FS_R2_2024-06-29_1,15,camB,Reward,s
FS_R2_2024-06-29_1,16,camB,No_reward,nd
FS_R2_2024-06-29_1,17,camB,Reward,s
FS_R2_2024-06-29_1,18,camB,Reward,s
FS_R2_2024-06-29_1,19,camB,Reward,s
FS_R2_2024-06-29_1,20,camB,Reward,s
FS_R2_2024-06-29_1,21,camB,Reward,s
FS_R2_2024-06-29_1,22,camB,Reward,s
FS_R2_2024-06-29_1,23,camB,No_reward,nd
FS_R2_2024-06-29_1,24,camB,Reward,s
FS_R2_2024-06-29_1,25,camB,Reward,s
FS_R2_2024-06-29_1,26,camB,Reward,s
FS_R2_2024-06-29_1,27,camB,Reward,s
FS_R2_2024-06-29_1,28,camB,Reward,s
FS_R2_2024-06-29_1,29,camB,Reward,s
FS_R2_2024-06-29_1,30,camB,Reward,s
FS_R2_2024-06-29_1,31,camB,Reward,s
FS_R2_2024-06-29_1,32,camB,No_reward,nd
FS_R2_2024-06-29_1,33,camB,No_reward,nd
FS_R2_2024-06-29_1,34,camB,Reward,f
FS_R2_2024-06-29_1,35,camB,Reward,s
FS_R2_2024-06-29_1,36,camB,Reward,rnd
FS_R2_2024-06-29_1,37,camB,Reward,s
FS_R2_2024-06-29_1,38,camB,Reward,s
FS_R2_2024-06-29_1,39,camB,Reward,s
FS_R2_2024-06-29_1,40,camB,Reward,s
FS_R2_2024-06-29_1,41,camB,Reward,rnd
FS_R2_2024-06-29_1,42,camB,Reward,s
FS_R2_2024-06-29_1,43,camB,Reward,s
FS_R2_2024-06-29_1,44,camB,Reward,s
FS_R2_2024-06-29_1,45,camB,Reward,s
FS_R2_2024-06-29_1,46,camB,Reward,s
FS_R2_2024-06-29_1,47,camB,Reward,s
FS_R2_2024-06-29_1,48,camB,Reward,s
FS_R2_2024-06-29_1,49,camB,Reward,s
FS_R2_2024-06-29_1,50,camB,Reward,s
FS_R2_2024-06-29_1,51,camB,Reward,s
FS_R2_2024-06-29_1,52,camB,No_reward,nd
FS_R2_2024-06-29_1,53,camB,Reward,rnd
FS_R2_2024-06-29_1,54,camB,Reward,s
FS_R2_2024-06-29_1,55,camB,Reward,s
FS_R2_2024-06-29_1,56,camB,No_reward,nd
FS_R2_2024-06-29_1,57,camB,Reward,s
FS_R2_2024-06-29_1,58,camB,Reward,s
FS_R2_2024-06-29_1,59,camB,No_reward,nd
FS_R2_2024-06-29_1,60,camB,Reward,s
FS_R2_2024-06-29_1,61,camB,Reward,s
FS_R2_2024-06-29_1,62,camB,Reward,f
FS_R2_2024-06-29_1,63,camB,Reward,s
FS_R2_2024-06-29_1,64,camB,Reward,ps
FS_R2_2024-06-29_1,65,camB,Reward,s
FS_R2_2024-06-29_1,66,camB,Reward,f
FS_R2_2024-06-29_1,67,camB,Reward,s
FS_R2_2024-06-29_1,68,camB,Reward,s
FS_R2_2024-06-29_1,69,camB,No_reward,nd
FS_R2_2024-06-29_1,70,camB,Reward,na
