name,trial,cam,event,outcome
FU_R2_2024-07-18_1,0,camB,Reward,s
FU_R2_2024-07-18_1,1,camB,Reward,s
FU_R2_2024-07-18_1,2,camB,Reward,s
FU_R2_2024-07-18_1,3,camB,Reward,s
FU_R2_2024-07-18_1,4,camB,Reward,ps
FU_R2_2024-07-18_1,5,camB,Reward,s
FU_R2_2024-07-18_1,6,camB,Reward,s
FU_R2_2024-07-18_1,7,camB,Reward,s
FU_R2_2024-07-18_1,8,camB,Reward,s
FU_R2_2024-07-18_1,9,camB,Reward,s
FU_R2_2024-07-18_1,10,camB,Reward,ps
FU_R2_2024-07-18_1,11,camB,Reward,na
FU_R2_2024-07-18_1,12,camB,No_reward,nd
FU_R2_2024-07-18_1,13,camB,No_reward,nd
FU_R2_2024-07-18_1,14,camB,Reward,s
FU_R2_2024-07-18_1,15,camB,Reward,s
FU_R2_2024-07-18_1,16,camB,No_reward,nd
FU_R2_2024-07-18_1,17,camB,Reward,s
FU_R2_2024-07-18_1,18,camB,Reward,s
FU_R2_2024-07-18_1,19,camB,Reward,s
FU_R2_2024-07-18_1,20,camB,Reward,s
FU_R2_2024-07-18_1,21,camB,Reward,s
FU_R2_2024-07-18_1,22,camB,No_reward,nd
FU_R2_2024-07-18_1,23,camB,Reward,ps
FU_R2_2024-07-18_1,24,camB,Reward,s
FU_R2_2024-07-18_1,25,camB,Reward,s
FU_R2_2024-07-18_1,26,camB,Reward,na
FU_R2_2024-07-18_1,27,camB,Reward,s
FU_R2_2024-07-18_1,28,camB,Reward,s
FU_R2_2024-07-18_1,29,camB,Reward,s
FU_R2_2024-07-18_1,30,camB,Reward,s
FU_R2_2024-07-18_1,31,camB,Reward,s
FU_R2_2024-07-18_1,32,camB,Reward,s
FU_R2_2024-07-18_1,33,camB,Reward,s
FU_R2_2024-07-18_1,34,camB,Reward,s
FU_R2_2024-07-18_1,35,camB,Reward,ps
FU_R2_2024-07-18_1,36,camB,No_reward,nd
FU_R2_2024-07-18_1,37,camB,Reward,s
