name,trial,cam,event,outcome
K_R2_2025-01-14_1,0,camB,Reward,s
K_R2_2025-01-14_1,1,camB,Reward,s
K_R2_2025-01-14_1,2,camB,Reward,s
K_R2_2025-01-14_1,3,camB,Reward,s
K_R2_2025-01-14_1,4,camB,Reward,f
K_R2_2025-01-14_1,5,camB,Reward,s
K_R2_2025-01-14_1,6,camB,Reward,s
K_R2_2025-01-14_1,7,camB,Reward,s
K_R2_2025-01-14_1,8,camB,No_reward,nd
K_R2_2025-01-14_1,9,camB,Reward,f
K_R2_2025-01-14_1,10,camB,Reward,s
K_R2_2025-01-14_1,11,camB,Reward,s
K_R2_2025-01-14_1,12,camB,No_reward,nd
K_R2_2025-01-14_1,13,camB,Reward,s
K_R2_2025-01-14_1,14,camB,Reward,s
K_R2_2025-01-14_1,15,camB,No_reward,nd
K_R2_2025-01-14_1,16,camB,Reward,s
K_R2_2025-01-14_1,17,camB,Reward,s
K_R2_2025-01-14_1,18,camB,Reward,s
K_R2_2025-01-14_1,19,camB,Reward,s
K_R2_2025-01-14_1,20,camB,Reward,s
K_R2_2025-01-14_1,21,camB,Reward,s
K_R2_2025-01-14_1,22,camB,Reward,f
K_R2_2025-01-14_1,23,camB,Reward,s
K_R2_2025-01-14_1,24,camB,Reward,s
K_R2_2025-01-14_1,25,camB,Reward,s
K_R2_2025-01-14_1,26,camB,Reward,f
K_R2_2025-01-14_1,27,camB,Reward,s
K_R2_2025-01-14_1,28,camB,Reward,s
K_R2_2025-01-14_1,29,camB,Reward,s
K_R2_2025-01-14_1,30,camB,Reward,s
K_R2_2025-01-14_1,31,camB,Reward,s
K_R2_2025-01-14_1,32,camB,Reward,s
K_R2_2025-01-14_1,33,camB,Reward,s
K_R2_2025-01-14_1,34,camB,Reward,s
K_R2_2025-01-14_1,35,camB,Reward,s
K_R2_2025-01-14_1,36,camB,Reward,s
K_R2_2025-01-14_1,37,camB,No_reward,nd
K_R2_2025-01-14_1,38,camB,Reward,s
K_R2_2025-01-14_1,39,camB,Reward,s
K_R2_2025-01-14_1,40,camB,Reward,s
K_R2_2025-01-14_1,41,camB,Reward,s
K_R2_2025-01-14_1,42,camB,No_reward,nd
K_R2_2025-01-14_1,43,camB,Reward,s
K_R2_2025-01-14_1,44,camB,No_reward,nd
K_R2_2025-01-14_1,45,camB,Reward,s
K_R2_2025-01-14_1,46,camB,Reward,s
K_R2_2025-01-14_1,47,camB,No_reward,nd
K_R2_2025-01-14_1,48,camB,Reward,s
K_R2_2025-01-14_1,49,camB,Reward,s
K_R2_2025-01-14_1,50,camB,Reward,s
K_R2_2025-01-14_1,51,camB,Reward,s
K_R2_2025-01-14_1,52,camB,Reward,s
K_R2_2025-01-14_1,53,camB,Reward,s
K_R2_2025-01-14_1,54,camB,Reward,s
K_R2_2025-01-14_1,55,camB,Reward,s
K_R2_2025-01-14_1,56,camB,No_reward,nd
K_R2_2025-01-14_1,57,camB,Reward,s
K_R2_2025-01-14_1,58,camB,Reward,s
K_R2_2025-01-14_1,59,camB,Reward,s
K_R2_2025-01-14_1,60,camB,No_reward,nd
K_R2_2025-01-14_1,61,camB,Reward,s
K_R2_2025-01-14_1,62,camB,No_reward,nd
K_R2_2025-01-14_1,63,camB,Reward,f
K_R2_2025-01-14_1,64,camB,Reward,s
K_R2_2025-01-14_1,65,camB,Reward,s
K_R2_2025-01-14_1,66,camB,Reward,s
K_R2_2025-01-14_1,67,camB,Reward,s
K_R2_2025-01-14_1,68,camB,Reward,f
K_R2_2025-01-14_1,69,camB,Reward,s
K_R2_2025-01-14_1,70,camB,Reward,f
K_R2_2025-01-14_1,71,camB,Reward,f
K_R2_2025-01-14_1,72,camB,Reward,s
K_R2_2025-01-14_1,73,camB,Reward,f
K_R2_2025-01-14_1,74,camB,Reward,f
K_R2_2025-01-14_1,75,camB,Reward,s
K_R2_2025-01-14_1,76,camB,Reward,f
K_R2_2025-01-14_1,77,camB,Reward,s
K_R2_2025-01-14_1,78,camB,No_reward,nd
K_R2_2025-01-14_1,79,camB,Reward,f
K_R2_2025-01-14_1,80,camB,Reward,na
K_R2_2025-01-14_1,81,camB,No_reward,nd
K_R2_2025-01-14_1,82,camB,Reward,f
K_R2_2025-01-14_1,83,camB,Reward,na
K_R2_2025-01-14_1,84,camB,Reward,s
