,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was transferred to its mouth. The water drop remained on the spout until it detached and fell, with no evidence of retrieval or consumption.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was transferred to its mouth. The water drop remained on the spout until it detached and fell, with no evidence of retrieval or consumption.  
6. 0:00 - 1:00: The mouse is positioned under the spout, with its right paw resting on the platform.  
1:00 - 1:30: The water drop forms and remains attached to the spout.  
1:30 - 2:00: The mouse lifts its right paw and moves it toward the spout, but the water drop detaches and falls before contact.  
2:00 - 3:00: The mouse attempts to lick the spout with its tongue, but no water is present.  
3:00 - 4:00: The mouse continues to move its paws and tongue, but no water is retrieved.  
7. 95%", 95%
1,1,25, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop using its tongue, and no water was consumed. The water drop remained on the spout and was not retrieved by the mouse.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop using its tongue, and no water was consumed. The water drop remained on the spout and was not retrieved by the mouse.  
6. 0:00 - 1:00: The mouse is positioned in front of the spout, with its paws resting on the surface.  
1:00 - 1:30: The water drop forms and remains attached to the spout.  
1:30 - 2:00: The mouse extends its right paw toward the water drop.  
2:00 - 2:30: The mouse's paw touches the water drop, but the drop does not detach.  
2:30 - 3:00: The mouse attempts to retrieve the water drop with its paw but fails to dislodge it.  
3:00 - 3:30: The mouse continues to manipulate the water drop with its paw, but the drop remains on the spout.  
3:30 - 4:00: The mouse retracts its paw, and the water drop remains on the spout.  
7. 95%", 95%
2,2,27, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse successfully used its right paw to grasp the water drop, brought it to its mouth, and consumed the entire drop without spillage. The tongue made clear contact with the water, and the mouse completed the drinking motion, indicating full retrieval and consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse successfully used its right paw to grasp the water drop, brought it to its mouth, and consumed the entire drop without spillage. The tongue made clear contact with the water, and the mouse completed the drinking motion, indicating full retrieval and consumption.  
6. 0:00 - 0:50: The mouse remains stationary, with its paws resting on the surface.  
0:50 - 1:10: The mouse extends its right paw toward the spout, making contact with the water drop.  
1:10 - 1:30: The mouse grasps the water drop with its right paw and brings it toward its mouth.  
1:30 - 2:00: The mouse uses its tongue to lick the water drop, consuming it entirely.  
2:00 - 2:30: The mouse continues to lick the remaining water from its paw, ensuring complete consumption.  
2:30 - 2:40: The mouse retracts its paw and returns to a resting position.  
7. 95%", 95%
3,3,32, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw made direct contact with the water drop, which was fully transferred to its mouth. The tongue then made contact with the water, and the mouse consumed the entire drop without spillage.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw made direct contact with the water drop, which was fully transferred to its mouth. The tongue then made contact with the water, and the mouse consumed the entire drop without spillage.  
6. 0:00 - 1:00: The mouse remains stationary, with its right paw resting on the platform.  
1:00 - 1:20: The water drop forms and remains attached to the spout.  
1:20 - 1:40: The mouse extends its right paw toward the water drop.  
1:40 - 2:00: The mouse's paw touches the water drop, and the drop adheres to the paw.  
2:00 - 2:20: The mouse retracts its paw, bringing the water drop toward its mouth.  
2:20 - 2:40: The mouse's tongue makes contact with the water drop, and the mouse begins to consume it.  
2:40 - 3:00: The mouse continues to lick the water drop, consuming it entirely.  
7. 95%", 95%
4,4,18,,,,,s,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue, and no water was transferred to its mouth. The water drop remained on the spout until the end of the video, and the mouse did not successfully retrieve any of it.  
6. 0:00 - 1:00: The mouse is positioned in front of the spout, with its paws resting on the platform.  
1:00 - 1:30: A water drop forms and remains attached to the spout.  
1:30 - 2:00: The mouse lifts its right paw and moves it toward the spout.  
2:00 - 2:30: The mouse's right paw touches the water drop, but the drop remains on the spout.  
2:30 - 3:00: The mouse attempts to bring the water drop closer to its mouth using its right paw, but the drop does not detach.  
3:00 - 3:30: The mouse continues to manipulate the water drop with its right paw, but the drop remains on the spout.  
3:30 - 4:00: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
4:00 - 4:30: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
4:30 - 5:00: The mouse's right paw continues to interact with the spout, but the water drop remains on the spout.  
5:00 - 5:30: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
5:30 - 6:00: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
6:00 - 6:30: The mouse's right paw continues to interact with the spout, but the water drop remains on the spout.  
6:30 - 7:00: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
7:00 - 7:30: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
7:30 - 8:00: The mouse's right paw continues to interact with the spout, but the water drop remains on the spout.  
8:00 - 8:30: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
8:30 - 9:00: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
9:00 - 9:30: The mouse's right paw continues to interact with the spout, but the water drop remains on the spout.  
9:30 - 10:00: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
10:00 - 10:30: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
10:30 - 11:00: The mouse's right paw continues to interact with the spout, but the water drop remains on the spout.  
11:00 - 11:30: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
11:30 - 12:00: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
12:00 - 12:30: The mouse's right paw continues to interact with the spout, but the water drop remains on the spout.  
12:30 - 13:00: The mouse's right paw moves away from the spout, and the water drop remains on the spout.  
13:00 - 13:30: The mouse's right paw returns to the spout, but the water drop remains on the spout.  
13:30 - 14:00: The mouse's right paw continues to interact with the spout, but the water drop remains on the spout.  
14:00 - 14:30: The mouse's right paw moves away from the spout, and the water drop remains on the spout",
5,5,33, No, Yes, No,0.0,s," Failed: The mouse did not make physical contact with the water drop using its tongue, and no water was consumed. The mouse attempted to reach the drop with its paw but did not successfully retrieve or drink any of the water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue, and no water was consumed. The mouse attempted to reach the drop with its paw but did not successfully retrieve or drink any of the water.  
6. 0:00 - 1:05: The mouse remains stationary, with its head fixed and paws resting.  
1:06 - 1:15: A water drop forms and remains attached to the spout.  
1:16 - 1:25: The mouse lifts its right paw toward the spout.  
1:26 - 1:35: The mouse's right paw touches the water drop, causing it to detach and adhere to the paw.  
1:36 - 2:00: The mouse brings its right paw toward its mouth, but the tongue does not make contact with the water drop.  
2:01 - 2:30: The mouse attempts to lick the water from its paw, but no ingestion occurs.  
2:31 - 4:45: The mouse continues to manipulate its paw near its mouth, but no water is consumed.  
7. 95%", 95%
6,6,66, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. The water drop remained attached to the spout throughout the trial, and no evidence of consumption or retrieval was observed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. The water drop remained attached to the spout throughout the trial, and no evidence of consumption or retrieval was observed.  
6. 0:00 - 2:20: The mouse remains stationary with both paws on the surface, and the water drop is visible on the spout.  
2:20 - 2:30: The mouse lifts its left paw slightly but does not reach the spout.  
2:30 - 4:45: The mouse makes small movements with its left paw but does not extend it toward the water drop.  
4:45 - 4:55: The mouse lifts its right paw slightly but does not move it toward the spout.  
4:55 - 4:58: The water drop remains attached to the spout, and no further movement occurs.  
7. 95%", 95%
7,7,59,,,,,s,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue, and no water was consumed. The water drop remained on the spout until the end of the video, and the mouse did not successfully retrieve any of it.  
6. 0:00 - 1:10: The mouse is stationary, with both paws resting on the edge of the platform.  
1:10 - 1:20: The water drop forms and remains attached to the spout.  
1:20 - 1:40: The mouse lifts its right paw and moves it toward the water drop.  
1:40 - 2:00: The mouse's right paw touches the water drop, but the drop does not detach.  
2:00 - 2:20: The mouse attempts to grasp the water drop with its right paw, but the drop remains on the spout.  
2:20 - 2:40: The mouse continues to manipulate the water drop with its right paw, but the drop does not detach.  
2:40 - 3:00: The mouse's right paw moves away from the water drop, and the drop remains on the spout.  
3:00 - 3:20: The mouse's right paw returns to the water drop, but the drop remains on the spout.  
3:20 - 3:40: The mouse's right paw continues to interact with the water drop, but the drop does not detach.  
3:40 - 4:00: The mouse's right paw moves away from the water drop, and the drop remains on the spout.  
4:00 - 4:20: The mouse's right paw returns to the water drop, but the drop remains on the spout.  
4:20 - 4:40: The mouse's right paw continues to interact with the water drop, but the drop does not detach.  
4:40 - 5:00: The mouse's right paw moves away from the water drop, and the drop remains on the spout.  
5:00 - 5:20: The mouse's right paw returns to the water drop, but the drop remains on the spout.  
5:20 - 5:40: The mouse's right paw continues to interact with the water drop, but the drop does not detach.  
5:40 - 6:00: The mouse's right paw moves away from the water drop, and the drop remains on the spout.  
6:00 - 6:20: The mouse's right paw returns to the water drop, but the drop remains on the spout.  
6:20 - 6:40: The mouse's right paw continues to interact with the water drop, but the drop does not detach.  
6:40 - 7:00: The mouse's right paw moves away from the water drop, and the drop remains on the spout.  
7:00 - 7:20: The mouse's right paw returns to the water drop, but the drop remains on the spout.  
7:20 - 7:40: The mouse's right paw continues to interact with the water drop, but the drop does not detach.  
7:40 - 8:00: The mouse's right paw moves away from the water drop, and the drop remains on the spout.  
8:00 - 8:20: The mouse's right paw returns to the water drop, but the drop remains on the spout.  
8:20 - 8:40: The mouse's right paw continues to interact with the water drop, but the drop does not detach.  
8:40 - 9:00: The mouse's right paw moves away from the water drop, and the drop remains on the spout.  
9:00 - 9:20: The mouse's right paw returns to the water drop, but the drop remains on the spout.  
9:20 - 9:40: The mouse's right paw continues to interact with the water drop, but the drop does not detach.  
9:40 - 10:00: The mouse's right paw moves away from the water drop, and the drop remains on the spout.  
10:00 - 10:20: The mouse's right paw returns to the water drop, but the drop remains on the spout.  
10:20 - 10:40: The mouse's right paw continues to interact with the water drop, but the drop does",
8,8,4, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.  
6. 0:00 - 2:28: The mouse remains stationary with its paws on the platform, and the water drop is visible on the spout.  
   2:29 - 2:34: The mouse extends its right paw toward the water drop and makes contact with it.  
   2:35 - 2:38: The water drop detaches from the spout and falls to the platform.  
   2:39 - 4:45: The mouse attempts to lick the water drop from the platform but does not consume it.  
7. 95%", 95%
9,9,41, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.  
6. 0:00 - 1:00: Mouse is stationary, paws on the surface.  
1:00 - 2:00: Water drop forms on the spout.  
2:00 - 3:00: Mouse extends its right paw toward the spout.  
3:00 - 4:00: Mouse's paw touches the water drop, but the drop does not detach.  
4:00 - 5:00: Mouse retracts its paw without retrieving the water.  
5:00 - 6:00: Mouse attempts to lick the spout but does not make contact with the water.  
7. 95%", 95%
