,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28,,,,,f,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. The water drop remained on the spout throughout the trial, and no consumption occurred.  
6. 0:00 - 0:20: The mouse is positioned in the restraint device, with its head fixed and paws resting on the platform. The water drop is visible on the spout.  
0:21 - 0:40: The mouse extends its right paw toward the spout but does not make contact with the water drop.  
0:41 - 1:00: The mouse retracts its paw and remains in a stationary position.  
1:01 - 1:20: The mouse continues to remain still, with no further movement of the paw or tongue toward the water drop.  
1:21 - 1:40: The mouse remains in the same position, with no interaction with the water drop.  
1:41 - 2:00: The mouse's tongue is visible but does not make contact with the water drop.  
2:01 - 2:20: The mouse remains stationary, with no further attempts to reach the water drop.  
2:21 - 2:40: The mouse's paws remain in the same position, and no interaction with the water drop occurs.  
2:41 - 3:00: The mouse remains in the same position, with no further movement or interaction with the water drop.  
3:01 - 3:20: The mouse remains stationary, with no interaction with the water drop.  
3:21 - 3:40: The mouse remains in the same position, with no further movement or interaction with the water drop.  
3:41 - 4:00: The mouse remains stationary, with no interaction with the water drop.  
4:01 - 4:20: The mouse remains in the same position, with no further movement or interaction with the water drop.  
4:21 - 4:40: The mouse remains stationary, with no interaction with the water drop.  
4:41 - 5:00: The mouse remains in the same position, with no further movement or interaction with the water drop.  
5:01 - 5:20: The mouse remains stationary, with no interaction with the water drop.  
5:21 - 5:40: The mouse remains in the same position, with no further movement or interaction with the water drop.  
5:41 - 6:00: The mouse remains stationary, with no interaction with the water drop.  
6:01 - 6:20: The mouse remains in the same position, with no further movement or interaction with the water drop.  
6:21 - 6:40: The mouse remains stationary, with no interaction with the water drop.  
6:41 - 7:00: The mouse remains in the same position, with no further movement or interaction with the water drop.  
7:01 - 7:20: The mouse remains stationary, with no interaction with the water drop.  
7:21 - 7:40: The mouse remains in the same position, with no further movement or interaction with the water drop.  
7:41 - 8:00: The mouse remains stationary, with no interaction with the water drop.  
8:01 - 8:20: The mouse remains in the same position, with no further movement or interaction with the water drop.  
8:21 - 8:40: The mouse remains stationary, with no interaction with the water drop.  
8:41 - 9:00: The mouse remains in the same position, with no further movement or interaction with the water drop.  
9:01 - 9:20: The mouse remains stationary, with no interaction with the water drop.  
9:21 - 9:40: The mouse remains in the same position, with no further movement or interaction with the water drop.  
9:41 - 10:00: The mouse remains stationary, with no interaction with the water drop.  
10:01 - 10:20: The mouse remains in the same position, with no further movement or interaction with the water drop.  
10:21 - 10:40: The mouse remains stationary, with no interaction with the water drop.  
10:41 - 11:0",
1,1,25, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not retrieved.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not retrieved.  
6. 0:00 - 0:55: The mouse is stationary, with both paws resting on the platform.  
0:56 - 1:00: The mouse lifts its right paw and extends it toward the spout.  
1:01 - 1:05: The right paw touches the water drop, causing it to detach and fall.  
1:06 - 1:10: The water drop falls to the platform, and the mouse does not attempt to retrieve it.  
1:11 - 4:30: The mouse remains stationary, with no further interaction with the water drop.  
7. 95%", 95%
2,2,27, Yes, Yes, Yes,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and successfully brought the entire drop to its mouth. The tongue made direct contact with the water, and the mouse consumed the full volume of the drop. No water was spilled or left behind, indicating complete retrieval.","1. Yes  
2. Yes  
3. Yes  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and successfully brought the entire drop to its mouth. The tongue made direct contact with the water, and the mouse consumed the full volume of the drop. No water was spilled or left behind, indicating complete retrieval.  
6. 0:00 - 1:08: The mouse is stationary, head fixed, with both paws resting on the platform.  
1:09 - 1:12: The water drop forms and remains attached to the spout.  
1:13 - 1:16: The mouse extends its right paw toward the water drop and makes contact.  
1:17 - 1:20: The mouse brings the water drop to its mouth and begins to lick it.  
1:21 - 2:55: The mouse continues to lick the water drop, consuming it entirely.  
2:56 - 4:46: The mouse remains in place, with no further movement or interaction with the spout.  
7. 95%", 95%
3,3,32, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not retrieved.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not retrieved.  
6. 0:00 - 1:48: The mouse is stationary, with both paws on the surface. No water drop is visible.  
1:49 - 2:00: The water drop forms and remains attached to the spout.  
2:01 - 2:10: The mouse lifts its right paw and moves it toward the water drop.  
2:11 - 2:20: The mouse's right paw touches the water drop, causing it to detach and fall.  
2:21 - 2:30: The water drop falls to the surface below the spout.  
2:31 - 2:40: The mouse attempts to lick the water drop with its tongue, but the drop is no longer on the spout.  
2:41 - 3:00: The mouse continues to lick the surface where the water drop fell, but no water is consumed.  
7. 95%", 95%
4,4,18, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and the water drop remained fully attached to the spout. The mouse did not bring the water drop close to its mouth, and no water was consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and the water drop remained fully attached to the spout. The mouse did not bring the water drop close to its mouth, and no water was consumed.  
6. 0:00 - 0:05: The mouse is positioned in front of the spout, with its paws resting on the platform.  
0:05 - 0:10: The water drop forms on the spout and remains attached.  
0:10 - 0:15: The mouse extends its right paw towards the spout but does not touch the water drop.  
0:15 - 0:20: The mouse retracts its paw and does not attempt to retrieve the water drop again.  
0:20 - 0:25: The mouse remains stationary, with no further movement towards the spout.  
7. 95%", 95%
5,5,33, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not retrieved.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. The water drop remained on the spout and was not retrieved.  
6. 0:00 - 1:05: The mouse is stationary, head fixed, with no movement of the paws or tongue.  
1:06 - 1:10: The water drop forms and remains attached to the spout.  
1:11 - 1:20: The mouse lifts its right paw slightly but does not reach the spout or touch the water drop.  
1:21 - 1:30: The mouse attempts to reach the drop with its right paw, but the paw does not make contact with the water drop.  
1:31 - 1:40: The mouse retracts its paw without any contact with the water drop.  
1:41 - 4:45: The mouse remains stationary, with no further attempts to reach the water drop.  
7. 95%", 95%
6,6,59, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout. The water drop remained attached to the spout until the end of the video, and no water was retrieved.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout. The water drop remained attached to the spout until the end of the video, and no water was retrieved.  
6. 0:00 - 4:25: The mouse remains stationary with its head fixed, and the water drop is visible on the spout.  
4:26 - 4:30: The mouse extends its right paw toward the spout but does not make contact with the water drop.  
4:31 - 4:45: The mouse retracts its paw without retrieving any water.  
7. 95%", 95%
7,7,93, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, nor did its right paw move toward the spout to retrieve the water. The water drop remained attached to the spout throughout the trial, and no physical contact occurred between the mouse and the drop. Therefore, no water was consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, nor did its right paw move toward the spout to retrieve the water. The water drop remained attached to the spout throughout the trial, and no physical contact occurred between the mouse and the drop. Therefore, no water was consumed.  
6. 0:00 - 4:45: The mouse remains stationary with its head fixed, and the water drop is visible on the spout. No movement of the right paw or tongue is observed. The water drop remains attached to the spout.  
7. 95%", 95%
8,8,4, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved by the mouse.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved by the mouse.  
6. 0:00 - 1:08: The mouse is positioned in the apparatus, with its head fixed and paws resting on the platform.  
1:09 - 1:12: The water drop appears on the spout.  
1:13 - 1:15: The mouse extends its right paw toward the water drop.  
1:16 - 1:20: The mouse's tongue extends, but it does not make contact with the water drop.  
1:21 - 4:45: The mouse continues to attempt to reach the water drop with its paw, but the water drop remains on the spout and is not retrieved.  
7. 95%", 95%
9,9,1, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made physical contact with the water. The entire water drop was consumed, indicating that the mouse retrieved all of it.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made physical contact with the water. The entire water drop was consumed, indicating that the mouse retrieved all of it.  
6. 0:00 - 0:58: The mouse is stationary, with its head fixed and paws resting.  
0:59 - 1:02: The water drop forms on the spout.  
1:03 - 1:05: The mouse's right paw lifts and moves toward the water drop.  
1:06 - 1:08: The mouse's right paw touches the water drop, and the drop adheres to the paw.  
1:09 - 4:45: The mouse brings the water drop to its mouth and consumes it entirely.  
7. 95%", 95%
10,10,16, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely. There is no evidence of spillage or incomplete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely. There is no evidence of spillage or incomplete retrieval.  
6. 0:00 - 0:59: The mouse remains stationary, with no visible movement of the paw or tongue.  
0:59 - 1:05: The mouse's right paw lifts and moves toward the spout.  
1:05 - 1:10: The water drop is visible on the spout, and the mouse's right paw makes contact with it.  
1:10 - 1:15: The mouse's right paw brings the water drop closer to its mouth.  
1:15 - 1:20: The mouse's tongue extends and makes contact with the water drop.  
1:20 - 4:45: The mouse continues to lick the water drop, consuming it completely.  
7. 95%", 95%
