,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,18, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, nor did its right paw approach the spout to retrieve the water. The water drop remained on the spout throughout the trial, and no physical contact occurred between the mouse and the drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, nor did its right paw approach the spout to retrieve the water. The water drop remained on the spout throughout the trial, and no physical contact occurred between the mouse and the drop.  
6. 0:00 - 2:45: The mouse remains stationary with both paws on the surface, head fixed, and no movement toward the spout.  
2:46 - 3:00: The mouse begins to lift its right paw slightly but does not move it toward the spout.  
3:01 - 4:45: The mouse continues to move its head and whiskers but does not extend its right paw or tongue toward the water drop.  
4:46 - 4:46: The water drop remains on the spout, and no interaction occurs.  
7. 95%", 95%
1,1,93, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, and its right paw did not move toward the spout to retrieve the water. The water drop remained on the spout without any physical interaction from the mouse.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, and its right paw did not move toward the spout to retrieve the water. The water drop remained on the spout without any physical interaction from the mouse.  
6. 0:00 - 0:00: Water drop appears on the spout.  
   0:00 - 4:45: Mouse remains stationary with no paw or tongue movement toward the water drop.  
7. 95%", 95%
2,2,1, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.  
6. 0:00 - 1:05: The mouse is stationary, head fixed, with no movement of the right paw or tongue.  
   1:06 - 1:15: The water drop forms and remains attached to the spout.  
   1:16 - 1:25: The mouse lifts its right paw slightly but does not reach the spout or touch the water drop.  
   1:26 - 1:35: The mouse attempts to lick but does not make contact with the water drop.  
   1:36 - 2:00: The mouse continues to attempt licking, but the tongue does not touch the drop.  
   2:01 - 2:10: The mouse retracts its paw and remains in place.  
   2:11 - 2:30: No further movement or interaction with the water drop.  
7. 95%", 95%
3,3,75, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, and its right paw did not move toward the spout to retrieve the water. The water drop remained attached to the spout throughout the trial, and no physical contact occurred between the tongue and the drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, and its right paw did not move toward the spout to retrieve the water. The water drop remained attached to the spout throughout the trial, and no physical contact occurred between the tongue and the drop.  
6. 0:00 - 0:40: The mouse is stationary, with its head fixed and paws resting on the platform.  
0:40 - 1:20: The mouse begins to move its head slightly, but no paw movement is observed.  
1:20 - 2:00: The mouse lifts its right paw slightly but does not reach the spout.  
2:00 - 2:40: The mouse continues to move its head and whiskers but does not make contact with the water drop.  
2:40 - 3:20: The mouse remains in the same position, with no significant movement toward the spout.  
3:20 - 4:00: The mouse's right paw remains stationary, and no interaction with the water drop occurs.  
7. 95%", 95%
4,4,74, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. The water drop remained on the spout and was not consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. The water drop remained on the spout and was not consumed.  
6. 0:00 - 1:10: Mouse is stationary, head fixed, paws resting.  
1:10 - 1:20: Water drop forms and remains on the spout.  
1:20 - 2:00: Mouse extends its right paw toward the spout but does not touch the water drop.  
2:00 - 2:10: Mouse retracts its paw without contact.  
2:10 - 4:45: Mouse remains in place, no further movement toward the spout.  
7. 95%", 95%
5,5,115, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, nor did its right paw move toward the spout to retrieve the water. The water drop remained on the spout without any physical interaction from the mouse.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, nor did its right paw move toward the spout to retrieve the water. The water drop remained on the spout without any physical interaction from the mouse.  
6. 0:00 - 0:30: The mouse is head-fixed and remains stationary, with no movement of the right paw or tongue.  
0:30 - 1:00: The water drop appears on the spout, but the mouse does not move its right paw or extend its tongue.  
1:00 - 2:00: The mouse remains still, with no interaction with the water drop.  
2:00 - 3:00: The water drop remains on the spout, and the mouse shows no attempt to retrieve it.  
3:00 - 4:00: The mouse continues to remain stationary, with no paw or tongue movement toward the water drop.  
7. 95%", 95%
6,6,103, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.  
6. 0:00 - 2:20: The mouse remains stationary with both paws on the surface, head fixed, and no water drop visible.  
2:21 - 2:25: A water drop appears on the spout, remaining attached.  
2:26 - 2:30: The mouse lifts its right paw and moves it toward the spout, but does not touch the water drop.  
2:31 - 2:35: The mouse retracts its right paw without making contact with the water drop.  
2:36 - 4:45: The mouse remains in place, with no further movement of the paw or tongue toward the spout. The water drop remains on the spout.  
7. 95%", 95%
7,7,62, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The right paw did not move toward the spout, and the tongue did not touch the drop. There was no observable transfer of water to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The right paw did not move toward the spout, and the tongue did not touch the drop. There was no observable transfer of water to the mouth.  
6. 0:00 - 4:45: The mouse remains stationary with both paws on the surface, head fixed, and no water drop visible.  
   0:00 - 4:45: No movement of the right paw toward the spout; no tongue contact with the water drop.  
   0:00 - 4:45: The water drop is not visible in the video, and no interaction occurs.  
7. 95%", 95%
8,8,99, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and successfully brought the drop to its mouth. The tongue made clear contact with the water, and the mouse consumed the entire drop without spillage. The drop was fully transferred to the mouth and ingested, indicating complete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and successfully brought the drop to its mouth. The tongue made clear contact with the water, and the mouse consumed the entire drop without spillage. The drop was fully transferred to the mouth and ingested, indicating complete retrieval.  
6. 0:00 - 1:10: The mouse remains stationary, head fixed, with no visible movement of the right paw or tongue.  
1:10 - 1:20: The water drop forms and remains attached to the spout.  
1:20 - 1:30: The mouse extends its right paw toward the spout and makes contact with the water drop.  
1:30 - 1:40: The mouse brings the water drop to its mouth, and the tongue makes physical contact with the drop.  
1:40 - 4:45: The mouse consumes the water drop completely, with no spillage observed.  
7. 95%", 95%
9,9,100, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.  
6. 0:00 - 1:50: Mouse remains stationary, paws on surface, no movement toward spout.  
1:51 - 2:00: Mouse lifts right paw and extends it toward the spout.  
2:01 - 2:05: Right paw makes contact with the water drop on the spout.  
2:06 - 2:10: Water drop is dislodged and falls off the spout.  
2:11 - 2:15: Mouse retracts paw, no further interaction with the water drop.  
2:16 - 4:45: Mouse remains stationary, no further attempts to retrieve water.  
7. 95%", 95%
