,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made contact with the water drop, and brought it to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully retrieved and ingested, indicating a successful outcome.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made contact with the water drop, and brought it to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully retrieved and ingested, indicating a successful outcome.  
6. 0:00 - 1:00: The mouse is head-fixed and remains still, with no visible interaction with the water drop.  
1:00 - 1:10: The water drop forms and remains attached to the spout.  
1:10 - 1:20: The mouse extends its right paw toward the water drop.  
1:20 - 1:30: The mouse's paw makes contact with the water drop, and the drop is dislodged.  
1:30 - 1:40: The mouse brings the water drop to its mouth and begins to lick it.  
1:40 - 2:00: The mouse continues to lick the water, consuming the entire drop.  
2:00 - 2:10: The mouse finishes drinking, and no water remains on the spout.  
7. 95%", 95%
1,1,25, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made clear contact with the drop, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made clear contact with the drop, indicating full consumption.  
6. 0:00 - 1:00: The mouse is head-fixed and remains still, with the water drop forming on the spout.  
   1:00 - 1:30: The mouse extends its right paw toward the water drop.  
   1:30 - 2:00: The mouse's paw makes contact with the water drop, and the drop is transferred to the mouth.  
   2:00 - 4:45: The mouse uses its tongue to lick the water drop, consuming it completely.  
7. 95%", 95%
2,2,27, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, indicating full consumption.  
6. 0:52 - 1:00: Water drop forms on the spout. 1:00 - 1:30: Mouse's right paw lifts and moves toward the water drop. 1:30 - 1:40: Mouse's right paw touches the water drop. 1:40 - 2:00: Mouse brings the water drop to its mouth. 2:00 - 2:10: Mouse's tongue makes contact with the water drop. 2:10 - 4:40: Mouse consumes the water drop.  
7. 95%", 95%
3,3,32, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and successfully brought the entire drop to its mouth. The tongue then made direct contact with the water, and the mouse consumed the full drop without spillage. The entire water drop was ingested, indicating a complete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop, and successfully brought the entire drop to its mouth. The tongue then made direct contact with the water, and the mouse consumed the full drop without spillage. The entire water drop was ingested, indicating a complete retrieval.  
6. 0:50 - 1:00: Water drop forms on the spout.  
1:00 - 1:40: Mouse extends right paw toward the water drop.  
1:40 - 2:00: Mouse's paw touches the water drop.  
2:00 - 2:10: Mouse brings the water drop to its mouth.  
2:10 - 4:45: Mouse licks and consumes the water drop.  
7. 95%", 95%
4,4,18, Yes, Yes, No,100.0,s," Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made direct contact with the water drop. The entire drop was consumed, as evidenced by the complete disappearance of the drop and the mouse's licking behavior.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made direct contact with the water drop. The entire drop was consumed, as evidenced by the complete disappearance of the drop and the mouse's licking behavior.  
6. Timeline of key events:  
0:00 - 0:50: The mouse is stationary, with its head fixed and paws resting.  
0:51 - 1:00: The water drop forms and remains attached to the spout.  
1:01 - 1:10: The mouse's right paw lifts and moves toward the water drop.  
1:11 - 1:20: The right paw makes contact with the water drop, and the drop is dislodged.  
1:21 - 1:30: The mouse brings the water drop close to its mouth, and the tongue makes contact with the drop.  
1:31 - 1:40: The mouse licks the water drop, consuming it entirely.  
1:41 - 2:00: The mouse continues to lick, ensuring all water is consumed.  
2:01 - 2:10: The mouse returns to a resting position, with no water remaining.  
7. Confidence: 95%", Confidence: 95%
5,5,33, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made clear physical contact with the drop, consuming it entirely. The entire water drop was transferred to the mouth and licked, indicating full retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made clear physical contact with the drop, consuming it entirely. The entire water drop was transferred to the mouth and licked, indicating full retrieval.  
6. 0:58 - 1:02: Water drop forms on the spout.  
1:03 - 1:10: Mouse's right paw lifts and moves toward the water drop.  
1:11 - 1:15: Right paw makes contact with the water drop.  
1:16 - 1:20: Water drop is transferred to the mouth.  
1:21 - 1:25: Tongue makes contact with the water drop and begins licking.  
1:26 - 4:45: Mouse continues to lick the water drop until it is fully consumed.  
7. 95%", 95%
6,6,61, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop using its tongue, and no water was consumed. The water drop remained attached to the spout, and the mouse's paw did not reach the drop or bring it close to its mouth. There is no visual evidence of any water being retrieved or ingested.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue, and no water was consumed. The water drop remained attached to the spout, and the mouse's paw did not reach the drop or bring it close to its mouth. There is no visual evidence of any water being retrieved or ingested.  
6. 0:00 - 1:00: Water drop forms and remains attached to the spout.  
1:00 - 1:10: Mouse's right paw lifts and moves toward the water drop.  
1:10 - 1:20: Mouse's right paw approaches the water drop but does not touch it.  
1:20 - 1:30: Water drop detaches from the spout and falls.  
1:30 - 1:40: Mouse's right paw remains in the air, not making contact with the water drop.  
1:40 - 2:00: Mouse's right paw returns to its original position.  
2:00 - 2:20: Mouse's right paw lifts again, but the water drop is no longer present.  
2:20 - 2:40: Mouse's right paw moves back to its original position.  
2:40 - 3:00: Mouse remains stationary, no further movement observed.  
7. 95%", 95%
7,7,67, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, nor did its right paw move toward the spout to retrieve the water. The water drop remained on the spout without any physical interaction from the mouse, indicating no consumption occurred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not extend its tongue to the water drop, nor did its right paw move toward the spout to retrieve the water. The water drop remained on the spout without any physical interaction from the mouse, indicating no consumption occurred.  
6. 0:00 - 3:45: The mouse remains stationary with its head fixed, paws resting on the platform. The water drop is delivered to the spout at approximately 1:00 and remains attached. The mouse does not move its right paw toward the spout or extend its tongue to the water drop. No interaction with the water drop occurs throughout the trial.  
7. 95%", 95%
8,8,66, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and the right paw did not move toward the spout to retrieve the drop. The water drop remained attached to the spout throughout the trial, and no evidence of consumption or retrieval was observed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and the right paw did not move toward the spout to retrieve the drop. The water drop remained attached to the spout throughout the trial, and no evidence of consumption or retrieval was observed.  
6. 0:00 - 0:58: The mouse is head-fixed and remains stationary, with no movement of the right paw or tongue.  
0:59 - 1:01: The water drop forms on the spout and remains attached.  
1:02 - 4:46: The mouse remains motionless; the water drop stays on the spout, and no interaction occurs.  
7. 95%", 95%
9,9,4, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and brought it to its mouth. The tongue then made direct contact with the water drop, and the mouse consumed it entirely. There is no evidence of spillage or incomplete retrieval. The entire water drop was consumed, indicating a successful retrieval of more than 70% of the water.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and brought it to its mouth. The tongue then made direct contact with the water drop, and the mouse consumed it entirely. There is no evidence of spillage or incomplete retrieval. The entire water drop was consumed, indicating a successful retrieval of more than 70% of the water.  
6. 0:00 - 0:50: The mouse is positioned in the restraint device, with its head fixed and paws resting on the platform.  
0:50 - 1:00: A water drop forms on the spout and remains attached.  
1:00 - 1:10: The mouse extends its right paw toward the spout and makes contact with the water drop.  
1:10 - 1:20: The mouse brings the water drop closer to its mouth using its paw.  
1:20 - 1:30: The mouse's tongue makes physical contact with the water drop, and it begins to consume it.  
1:30 - 1:40: The mouse continues to lick the water drop, consuming it entirely.  
1:40 - 2:00: The mouse finishes drinking, and the water drop is no longer visible.  
7. 95%", 95%
