,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The water drop remains on the spout throughout the entire video, and no licking or drinking behavior is observed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The water drop remains on the spout throughout the entire video, and no licking or drinking behavior is observed.  
6. 0:00 - 0:10: Mouse is stationary, paws resting on the surface.  
0:10 - 0:30: Mouse begins to move its paws, bringing them together in front of its face.  
0:30 - 1:00: Mouse lowers its paws and begins to lick its paws.  
1:00 - 1:30: Mouse lifts its right paw and brings it toward the spout.  
1:30 - 2:00: Mouse uses its right paw to touch the water drop on the spout.  
2:00 - 4:45: Mouse continues to hold the water drop with its right paw and attempts to lick it, but no physical contact between the tongue and the drop is observed.  
7. 95%", 95%
1,1,25, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of licking the drop (as per the head-fixed setup), and no such contact occurred, the mouse did not consume any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of licking the drop (as per the head-fixed setup), and no such contact occurred, the mouse did not consume any water.  
6. 0:00 - 1:00: Mouse is stationary, paws resting on the surface.  
   1:00 - 1:05: Mouse lifts its right paw and extends it toward the spout.  
   1:05 - 1:10: Mouse’s right paw makes contact with the water drop.  
   1:10 - 4:45: Mouse manipulates the water drop with its right paw, bringing it close to its mouth, but no tongue contact with the drop is observed.  
7. 95%", 95%
2,2,27, No, Yes, No,0.0,f, Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw remained stationary and did not reach toward or touch the water drop. No evidence of water being retrieved or consumed is observed.,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw remained stationary and did not reach toward or touch the water drop. No evidence of water being retrieved or consumed is observed.  
6. 0:00 - 0:10: Mouse is stationary, paws resting on surface.  
0:10 - 0:20: Mouse lifts right paw slightly but does not move toward the spout.  
0:20 - 0:30: Mouse retracts paw and remains still.  
0:30 - 1:00: Mouse continues to remain stationary, no movement toward the spout or water drop.  
1:00 - 4:45: Mouse remains stationary, no interaction with the water drop.  
7. 100%", 100%
3,3,18, No, Yes, No,0.0,f," Failed: The mouse’s right paw did not come near the water drop on the spout, and no physical contact was made between the tongue and the drop. The mouse’s head is fixed, and the paw remains stationary on the surface, unable to reach the drop. No evidence of water retrieval or consumption is observed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse’s right paw did not come near the water drop on the spout, and no physical contact was made between the tongue and the drop. The mouse’s head is fixed, and the paw remains stationary on the surface, unable to reach the drop. No evidence of water retrieval or consumption is observed.  
6. 0:00 - 0:05: Mouse is stationary with paws on surface.  
0:06 - 0:15: Mouse remains still; no movement toward spout.  
0:16 - 0:30: Mouse begins to move left paw slightly but does not approach spout.  
0:31 - 1:00: Mouse continues to move left paw, but right paw remains stationary.  
1:01 - 2:00: Mouse continues to move left paw, but right paw remains stationary.  
2:01 - 3:00: Mouse continues to move left paw, but right paw remains stationary.  
3:01 - 4:00: Mouse continues to move left paw, but right paw remains stationary.  
4:01 - 4:45: Mouse continues to move left paw, but right paw remains stationary.  
7. 100%", 100%
4,4,4, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but there is no evidence that the tongue made contact with the drop or that any water was ingested. Since the tongue never touched the drop, the mouse could not have consumed any water, resulting in a failed trial.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but there is no evidence that the tongue made contact with the drop or that any water was ingested. Since the tongue never touched the drop, the mouse could not have consumed any water, resulting in a failed trial.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting on the surface.  
1:01 - 1:10: Mouse lifts its right paw slightly.  
1:11 - 1:20: Water drop forms on the spout.  
1:21 - 1:30: Mouse’s right paw touches the water drop.  
1:31 - 2:00: Mouse manipulates the water drop with its paw, but no tongue contact is observed.  
2:01 - 2:30: Mouse continues to hold and manipulate the drop with its paw.  
2:31 - 3:00: Mouse brings the drop closer to its mouth but does not lick it.  
3:01 - 3:30: Mouse continues to hold the drop with its paw.  
3:31 - 4:00: Mouse releases the drop and repositions its paw.  
4:01 - 4:30: Mouse attempts to touch the drop again but does not lick it.  
4:31 - 4:45: Mouse releases the drop and remains stationary.  
7. 95%", 95%
5,5,1, No, Yes, No,0.0,f," Failed: The mouse’s right paw repeatedly touched and manipulated the water drop, but there was no observable physical contact between the tongue and the drop. The mouse did not lick or consume any portion of the water drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse’s right paw repeatedly touched and manipulated the water drop, but there was no observable physical contact between the tongue and the drop. The mouse did not lick or consume any portion of the water drop.  
6. 0:00 - 0:05: Mouse is stationary, paws resting on the surface.  
0:06 - 0:20: Mouse lifts and moves its right paw toward the spout.  
0:21 - 0:40: Mouse’s right paw repeatedly touches and manipulates the water drop.  
0:41 - 1:00: Mouse continues to hold and manipulate the drop with its right paw.  
1:01 - 2:00: Mouse’s right paw remains in contact with the drop, but no tongue contact is observed.  
2:01 - 3:00: Mouse continues to hold the drop with its paw, no licking or consumption.  
3:01 - 4:45: Mouse continues to hold the drop with its paw, no tongue contact or consumption.  
7. 95%", 95%
6,6,16, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw repeatedly touched the water drop, but the tongue never extended toward or made contact with the drop. Since the mouse’s tongue is head-fixed and cannot lick the spout directly, and no tongue contact with the drop occurred, the mouse could not have consumed any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw repeatedly touched the water drop, but the tongue never extended toward or made contact with the drop. Since the mouse’s tongue is head-fixed and cannot lick the spout directly, and no tongue contact with the drop occurred, the mouse could not have consumed any water.  
6. 0:00 - 0:30: Mouse is stationary, right paw resting on the surface.  
0:30 - 1:00: Mouse begins to move its right paw toward the spout.  
1:00 - 1:30: Mouse’s right paw makes contact with the water drop.  
1:30 - 2:00: Mouse licks the paw, not the drop.  
2:00 - 2:30: Mouse continues to lick its paw.  
2:30 - 3:00: Mouse’s right paw remains in contact with the drop.  
3:00 - 3:30: Mouse licks its paw again.  
3:30 - 4:00: Mouse’s right paw remains in contact with the drop.  
4:00 - 4:30: Mouse licks its paw again.  
7. 95%", 95%
7,7,29, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The water drop remains on the spout throughout the interaction, and no licking or drinking behavior is observed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The water drop remains on the spout throughout the interaction, and no licking or drinking behavior is observed.  
6. 0:00 - 0:40: Mouse is stationary, head fixed, paws resting on the surface.  
0:41 - 1:00: Mouse begins to move its right paw toward the spout.  
1:01 - 1:10: Mouse’s right paw makes contact with the water drop.  
1:11 - 3:50: Mouse licks the water drop with its tongue, but the water drop remains on the spout and does not appear to be transferred to the mouth.  
3:51 - 4:45: Mouse returns to a stationary position, paws resting on the surface.  
7. 95%", 95%
8,8,2, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but since the mouse is head-fixed and its tongue cannot reach the spout directly, the water drop was not consumed. The mouse’s tongue remained stationary and did not make contact with the water drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but since the mouse is head-fixed and its tongue cannot reach the spout directly, the water drop was not consumed. The mouse’s tongue remained stationary and did not make contact with the water drop.  
6. 0:00 - 1:00: Mouse is stationary, paws resting on the surface.  
1:00 - 1:20: Water drop forms and remains attached to the spout.  
1:20 - 1:30: Mouse’s right paw lifts and touches the water drop.  
1:30 - 4:45: Mouse brings the water drop to its mouth and licks it, but since the mouse is head-fixed and its tongue cannot reach the spout directly, the water drop is not consumed.  
7. 100%", 100%
9,9,17,,,,,f,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water, resulting in a failed trial.  
6. 0:00 - 1:05: Mouse is stationary with paws resting on the surface.  
1:06 - 1:10: Mouse lifts its right paw.  
1:11 - 1:15: Mouse extends its right paw toward the spout.  
1:16 - 1:20: Mouse touches the water drop with its right paw.  
1:21 - 1:25: Mouse brings the water drop closer to its mouth.  
1:26 - 1:30: Mouse begins to lick the water drop with its tongue.  
1:31 - 1:35: Mouse continues to lick the water drop.  
1:36 - 1:40: Mouse finishes licking the water drop.  
1:41 - 1:45: Mouse lowers its right paw.  
1:46 - 1:50: Mouse remains stationary with paws resting on the surface.  
1:51 - 2:00: Mouse begins to lick its paw.  
2:01 - 2:10: Mouse continues to lick its paw.  
2:11 - 2:20: Mouse stops licking its paw.  
2:21 - 2:30: Mouse remains stationary with paws resting on the surface.  
2:31 - 2:40: Mouse begins to lick its paw again.  
2:41 - 2:50: Mouse continues to lick its paw.  
2:51 - 3:00: Mouse stops licking its paw.  
3:01 - 3:10: Mouse remains stationary with paws resting on the surface.  
3:11 - 3:20: Mouse begins to lick its paw again.  
3:21 - 3:30: Mouse continues to lick its paw.  
3:31 - 3:40: Mouse stops licking its paw.  
3:41 - 3:50: Mouse remains stationary with paws resting on the surface.  
3:51 - 4:00: Mouse begins to lick its paw again.  
3:51 - 4:00: Mouse continues to lick its paw.  
4:01 - 4:10: Mouse stops licking its paw.  
4:11 - 4:20: Mouse remains stationary with paws resting on the surface.  
4:21 - 4:30: Mouse begins to lick its paw again.  
4:31 - 4:40: Mouse continues to lick its paw.  
4:41 - 4:50: Mouse stops licking its paw.  
4:51 - 5:00: Mouse remains stationary with paws resting on the surface.  
5:01 - 5:10: Mouse begins to lick its paw again.  
5:11 - 5:20: Mouse continues to lick its paw.  
5:21 - 5:30: Mouse stops licking its paw.  
5:31 - 5:40: Mouse remains stationary with paws resting on the surface.  
5:41 - 5:50: Mouse begins to lick its paw again.  
5:51 - 6:00: Mouse continues to lick its paw.  
6:01 - 6:10: Mouse stops licking its paw.  
6:11 - 6:20: Mouse remains stationary with paws resting on the surface.  
6:21 - 6:30: Mouse begins to lick its paw again.  
6:31 - 6:40: Mouse continues to lick its paw.  
6:41 - 6:50: Mouse stops licking its paw.  
6:51 - 7:00: Mouse remains stationary with paws resting on the surface.  
7:01 - 7:10: Mouse begins to lick its paw again.  
7:11 - 7:20: Mouse continues to lick its paw.  
7:21 - 7:30: Mouse stops licking its paw.  
7:31 - 7:40: Mouse remains stationary with paws resting on the surface",
