,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, No, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue or paw. The water drop was never visible in the video, and no action was observed that would indicate retrieval or consumption of the drop.","1. No  
2. No  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue or paw. The water drop was never visible in the video, and no action was observed that would indicate retrieval or consumption of the drop.  
6. 0:00 - 0:00: Mouse is head-fixed, paws resting on surface. No water drop visible.  
   0:00 - 4:45: Mouse remains stationary, no movement toward or interaction with a water drop. No water drop is ever observed in the video.  
7. 100%", 100%
1,1,25, No, Yes, Yes,0.0,f, Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw did not reach the water drop or move toward it in a way that would allow it to retrieve the drop. The mouse’s tongue remained stationary and did not extend toward the spout or make contact with the water drop.,"1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw did not reach the water drop or move toward it in a way that would allow it to retrieve the drop. The mouse’s tongue remained stationary and did not extend toward the spout or make contact with the water drop.  
6. 0:00 - 0:15: Mouse is stationary, head fixed, paws resting on surface.  
0:16 - 0:30: Mouse begins to move its right paw slightly upward and forward, but does not reach the spout.  
0:31 - 1:00: Mouse continues to move its right paw, but it remains too far from the spout to touch the water drop.  
1:01 - 2:00: Mouse brings its right paw closer to the spout, but does not make contact with the water drop.  
2:01 - 3:00: Mouse continues to move its right paw, but still does not reach the water drop.  
3:01 - 4:00: Mouse’s right paw remains stationary, and no contact is made with the water drop.  
7. 95%", 95%
2,2,27, No, Yes, No,0.0,f, Failed: The mouse did not make any physical contact with the water drop using its tongue or paw. The water drop was never observed to be touched or manipulated by the mouse. The mouse remained stationary with its paws on the surface and did not extend its right paw toward the spout where the water drop was delivered.,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue or paw. The water drop was never observed to be touched or manipulated by the mouse. The mouse remained stationary with its paws on the surface and did not extend its right paw toward the spout where the water drop was delivered.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting on surface.  
   1:00 - 1:10: Water drop appears on spout.  
   1:10 - 2:00: Mouse begins to lick and manipulate a piece of food (not water) with its left paw and mouth.  
   2:00 - 4:45: Mouse continues to manipulate food, no interaction with water drop.  
7. 100%", 100%
3,3,32, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.  
6. 0:00 - 1:50: Mouse is stationary, head fixed, paws resting.  
   1:50 - 2:00: Water drop appears on the spout.  
   2:00 - 2:30: Mouse uses its right paw to touch and manipulate the water drop.  
   2:30 - 3:00: Mouse continues to manipulate the water drop with its right paw.  
   3:00 - 4:49: Mouse remains stationary, head fixed, paws resting.  
7. 95%", 95%
4,4,18, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop. Since the mouse’s tongue did not touch the drop and the paw did not retrieve it, no water was consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop. Since the mouse’s tongue did not touch the drop and the paw did not retrieve it, no water was consumed.  
6. 0:00 - 0:05: Mouse is stationary, head fixed, paws resting.  
   0:06 - 0:30: Mouse remains still, no movement toward spout or water drop.  
   0:31 - 1:00: Mouse continues to remain stationary, no interaction with spout or water drop.  
   1:01 - 1:30: Mouse remains stationary, no interaction with spout or water drop.  
   1:31 - 2:00: Mouse remains stationary, no interaction with spout or water drop.  
   2:01 - 2:30: Mouse remains stationary, no interaction with spout or water drop.  
   2:31 - 3:00: Mouse remains stationary, no interaction with spout or water drop.  
   3:01 - 3:30: Mouse remains stationary, no interaction with spout or water drop.  
   3:31 - 4:00: Mouse remains stationary, no interaction with spout or water drop.  
   4:01 - 4:30: Mouse remains stationary, no interaction with spout or water drop.  
7. 100%", 100%
5,5,33, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop using its tongue, and no evidence of the water drop being retrieved or consumed is observed. The mouse’s right paw did not reach the water drop, and no licking or drinking behavior occurred.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue, and no evidence of the water drop being retrieved or consumed is observed. The mouse’s right paw did not reach the water drop, and no licking or drinking behavior occurred.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, right paw resting on surface.  
1:00 - 1:20: Water drop forms and remains attached to the spout.  
1:20 - 1:40: Mouse extends left paw toward the water drop, but does not make contact.  
1:40 - 2:00: Mouse retracts left paw, no interaction with water drop.  
2:00 - 4:45: Mouse remains stationary, no further interaction with the water drop.  
7. 95%", 95%
6,6,59, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop using its tongue, and no evidence of the water drop being transferred to the mouth or consumed is observed. The mouse’s right paw moved toward the drop but did not bring it close enough to the mouth for licking, and no licking motion occurred.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue, and no evidence of the water drop being transferred to the mouth or consumed is observed. The mouse’s right paw moved toward the drop but did not bring it close enough to the mouth for licking, and no licking motion occurred.  
6. 0:00 - 1:00: Mouse is stationary, paws resting on surface.  
   1:00 - 1:30: Water drop forms and remains attached to the spout.  
   1:30 - 3:00: Mouse remains still, no movement toward the drop.  
   3:00 - 4:00: Mouse begins to move its right paw toward the drop, but does not make contact or bring it close enough to lick.  
   4:00 - 4:45: Mouse continues to move its paw, but no licking or consumption occurs.  
7. 95%", 95%
7,7,93, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop. Therefore, no water was retrieved.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop. Therefore, no water was retrieved.  
6. 0:00 - 4:45: The mouse remains head-fixed, with its right paw stationary on the surface. A water drop forms and remains attached to the spout. The mouse does not extend its tongue or move its paw toward the drop. No interaction with the water drop occurs.  
7. 100%", 100%
8,8,4, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw extended toward the water drop, but there is no visual evidence of the paw bringing the drop close enough to the mouth for licking, nor any indication that the tongue made contact with the drop. The mouse’s tongue remained retracted and did not interact with the drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw extended toward the water drop, but there is no visual evidence of the paw bringing the drop close enough to the mouth for licking, nor any indication that the tongue made contact with the drop. The mouse’s tongue remained retracted and did not interact with the drop.  
6. 0:00 - 1:10: Mouse is stationary, head fixed, paws resting on surface.  
1:10 - 1:15: Water drop forms and remains attached to the spout.  
1:15 - 1:20: Mouse’s right paw extends toward the water drop.  
1:20 - 4:45: Mouse continues to manipulate the water drop with its right paw, but no tongue contact with the drop is observed. The mouse does not bring the drop close enough to its mouth for licking.  
7. 95%", 95%
9,9,1, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop. Since no contact occurred, the mouse did not retrieve any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop. Since no contact occurred, the mouse did not retrieve any water.  
6. 0:00 - 0:59: Mouse is stationary, paws resting on surface, no movement toward spout.  
   1:00 - 1:05: Mouse lifts right paw slightly, but does not reach the spout or water drop.  
   1:06 - 4:45: Mouse continues to remain stationary, no further movement toward the spout or water drop. No tongue contact or paw movement toward the drop is observed.  
7. 100%", 100%
