,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop. Therefore, no water was retrieved.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop. Therefore, no water was retrieved.  
6. 0:00 - 0:50: Mouse is stationary, head fixed, paws resting on surface.  
0:51 - 1:10: Mouse begins to move its left paw slightly, but does not reach the spout.  
1:11 - 1:30: Mouse lifts and moves its left paw, but does not approach the spout or water drop.  
1:31 - 2:00: Mouse continues to move its left paw, but no contact with the spout or water drop is observed.  
2:01 - 4:45: Mouse remains stationary, head fixed, paws resting on surface. No interaction with the water drop occurs.  
7. 100%", 100%
1,1,77, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.  
6. 0:00 - 1:00: Mouse is stationary, paws resting on surface.  
1:00 - 1:10: Mouse begins to move its left paw toward the spout.  
1:10 - 1:20: Mouse’s left paw makes contact with the water drop.  
1:20 - 1:30: Mouse uses its left paw to manipulate the water drop.  
1:30 - 1:40: Mouse brings the water drop closer to its mouth with its left paw.  
1:40 - 1:50: Mouse licks the water drop with its tongue.  
1:50 - 2:00: Mouse drops the water drop.  
2:00 - 2:10: Mouse remains stationary.  
2:10 - 2:20: Mouse begins to move its right paw toward the spout.  
2:20 - 2:30: Mouse’s right paw makes contact with the water drop.  
2:30 - 2:40: Mouse uses its right paw to manipulate the water drop.  
2:40 - 2:50: Mouse brings the water drop closer to its mouth with its right paw.  
2:50 - 3:00: Mouse licks the water drop with its tongue.  
3:00 - 3:10: Mouse drops the water drop.  
3:10 - 3:20: Mouse remains stationary.  
3:20 - 3:30: Mouse begins to move its left paw toward the spout.  
3:30 - 3:40: Mouse’s left paw makes contact with the water drop.  
3:40 - 3:50: Mouse uses its left paw to manipulate the water drop.  
3:50 - 4:00: Mouse brings the water drop closer to its mouth with its left paw.  
4:00 - 4:10: Mouse licks the water drop with its tongue.  
4:10 - 4:20: Mouse drops the water drop.  
4:20 - 4:30: Mouse remains stationary.  
7. 95%", 95%
2,2,25, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but no tongue contact occurred. Since the tongue is the only organ capable of drinking in this setup, and no tongue contact was observed, the mouse did not consume any water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but no tongue contact occurred. Since the tongue is the only organ capable of drinking in this setup, and no tongue contact was observed, the mouse did not consume any water.  
6. 0:00 - 0:59: Mouse is stationary, head fixed, paws resting.  
   1:00 - 1:05: Mouse lifts right paw and begins to reach toward the spout.  
   1:06 - 1:15: Mouse’s right paw makes contact with the water drop.  
   1:16 - 4:45: Mouse licks the water drop with its right paw, but no tongue contact with the drop is observed.  
7. 95%", 95%
3,3,27, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of consuming the water drop in this setup, and no contact occurred, the mouse did not drink any water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of consuming the water drop in this setup, and no contact occurred, the mouse did not drink any water.  
6. 0:00 - 0:59: Mouse is stationary, head fixed, paws resting on the surface.  
   1:00 - 1:10: Water drop forms and becomes visible on the spout.  
   1:11 - 1:20: Mouse extends its right paw to touch the water drop.  
   1:21 - 1:30: Mouse manipulates the water drop with its paw, causing it to detach and fall.  
   1:31 - 2:30: Mouse licks its paw and the area around its mouth, but no water is consumed.  
   2:31 - 4:45: Mouse remains stationary, occasionally moving its paws but not interacting with the spout or water drop again.  
7. 95%", 95%
4,4,32, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.  
6. 0:00 - 1:18: Mouse remains stationary, paws resting on surface.  
   1:19 - 1:28: Water drop forms and adheres to spout. Mouse extends right paw toward the drop.  
   1:29 - 1:35: Mouse uses right paw to touch and lift the water drop.  
   1:36 - 2:25: Mouse brings the drop to its mouth and licks it, but the tongue does not make contact with the drop. The drop is manipulated by the paw and then licked, but no direct tongue-to-drop contact is observed.  
   2:26 - 4:45: Mouse remains stationary, paws resting on surface.  
7. 95%", 95%
5,5,18, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting on the surface.  
1:00 - 1:10: Mouse lifts its right paw and moves it toward the spout.  
1:10 - 1:20: Mouse’s right paw makes contact with the water drop.  
1:20 - 4:45: Mouse continues to hold the water drop with its right paw and appears to lick or manipulate it with its tongue, but no clear contact between the tongue and the drop is visible. The mouse’s tongue remains inside its mouth or is not extended toward the drop.  
7. 95%", 95%
6,6,33, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of licking and consuming the water, and no such contact occurred, the mouse did not drink any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of licking and consuming the water, and no such contact occurred, the mouse did not drink any water.  
6. 0:44 - 1:10: The mouse raises its right paw and begins to interact with the water drop. 1:10 - 1:20: The mouse uses its right paw to touch and manipulate the water drop. 1:20 - 4:45: The mouse continues to manipulate the water drop with its right paw, but there is no evidence of the tongue making contact with the drop.  
7. 95%", 95%
7,7,61, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting on the surface.  
1:00 - 1:20: Water drop forms and remains attached to the spout.  
1:20 - 1:30: Mouse extends its right paw toward the water drop.  
1:30 - 2:00: Mouse uses its right paw to touch and manipulate the water drop.  
2:00 - 4:45: Mouse continues to manipulate the water drop with its right paw, but no tongue contact occurs. Water is visibly splashed or dripped during manipulation.  
7. 95%", 95%
8,8,67, No, Yes, Yes,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The mouse’s tongue remains retracted and does not interact with the drop.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The mouse’s tongue remains retracted and does not interact with the drop.  
6. 0:00 - 1:28: Mouse is stationary, head fixed, paws resting.  
   1:29 - 1:32: Water drop forms and adheres to the spout.  
   1:33 - 1:40: Mouse extends right paw toward the water drop.  
   1:41 - 2:00: Mouse uses right paw to touch and manipulate the water drop.  
   2:01 - 4:45: Mouse continues to manipulate the water drop with its right paw, but no tongue contact or drinking is observed.  
7. 95%", 95%
9,9,66, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue or paw. The water drop was never touched or manipulated by the mouse, and no drinking behavior occurred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue or paw. The water drop was never touched or manipulated by the mouse, and no drinking behavior occurred.  
6. 0:00 - 1:00: Mouse is stationary, paws resting on surface.  
   1:00 - 1:30: Mouse begins to move its right paw toward the spout area but does not reach the water drop.  
   1:30 - 2:00: Mouse continues to move its right paw, but the paw does not come close to the water drop.  
   2:00 - 4:45: Mouse remains stationary, no further movement toward the spout or water drop.  
7. 100%", 100%
