,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, Yes,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but the tongue never made contact with the drop. Since the tongue is the only organ capable of drinking in this setup, and no contact occurred, the mouse failed to retrieve any water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but the tongue never made contact with the drop. Since the tongue is the only organ capable of drinking in this setup, and no contact occurred, the mouse failed to retrieve any water.  
6. 0:00 - 1:10: Mouse is stationary, paws resting on the surface.  
1:11 - 1:30: Mouse begins to move its right paw toward the spout.  
1:31 - 2:00: Mouse’s right paw makes contact with the water drop.  
2:01 - 4:45: Mouse repeatedly licks the water drop with its right paw, but the tongue never makes contact with the drop. Water is splashed and drips off.  
7. 95%", 95%
1,1,25, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue did not touch the drop, the mouse could not have consumed any of the water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue did not touch the drop, the mouse could not have consumed any of the water.  
6. 0:00 - 1:50: Mouse is stationary, head fixed, paws resting on the surface. Water drop forms and remains attached to the spout.  
1:51 - 2:00: Mouse extends its right paw toward the water drop.  
2:01 - 4:45: Mouse repeatedly uses its right paw to manipulate the water drop, bringing it close to its mouth, but the tongue never makes physical contact with the drop. Water is visibly splashed or drips during manipulation.  
7. 95%", 95%
2,2,27, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of licking and consuming the water, and no such contact occurred, the mouse did not drink any water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of licking and consuming the water, and no such contact occurred, the mouse did not drink any water.  
6. 0:00 - 1:18: The mouse is stationary, with its paws resting on the surface. The water drop forms and remains attached to the spout.  
   1:19 - 1:50: The mouse begins to move its right paw toward the water drop.  
   1:51 - 2:00: The mouse’s right paw makes contact with the water drop and begins to manipulate it.  
   2:01 - 4:45: The mouse continues to manipulate the water drop with its right paw, bringing it close to its mouth, but the tongue never makes contact with the drop. The mouse appears to lick the paw or the water that has been transferred to the paw, but not the drop itself.  
7. 95%", 95%
3,3,32, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue did not touch the drop, the mouse could not have consumed any of the water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue did not touch the drop, the mouse could not have consumed any of the water.  
6. 0:00 - 1:40: The mouse remains stationary with its paws on the surface, observing the water drop forming on the spout.  
   1:41 - 2:00: The mouse extends its right paw toward the water drop and makes contact with it.  
   2:01 - 4:45: The mouse repeatedly licks the water drop with its tongue while holding it with its paw, but the tongue never makes direct contact with the drop. The water is visibly splashed and drips off the paw and spout.  
7. 95%", 95%
4,4,18, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The water drop remains intact on the spout throughout the interaction.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The water drop remains intact on the spout throughout the interaction.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting on the surface.  
1:00 - 1:40: Water drop forms and remains attached to the spout. Mouse remains still.  
1:40 - 2:00: Mouse lifts its right paw and touches the water drop.  
2:00 - 4:20: Mouse repeatedly licks the water drop with its tongue while holding it with its paw.  
4:20 - 4:45: Mouse releases the water drop and returns to a stationary position.  
7. 95%", 95%
5,5,33, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.  
6. 0:00 - 1:10: Mouse is stationary, paws resting on the surface, head fixed.  
1:11 - 1:45: Mouse begins to move its right paw toward the spout.  
1:46 - 2:00: Mouse’s right paw makes contact with the water drop.  
2:01 - 4:45: Mouse manipulates the water drop with its paw, bringing it close to its mouth, but no tongue contact with the drop is observed. Water is visibly splashed during manipulation.  
7. 95%", 95%
6,6,67, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue did not touch the drop, the mouse could not have consumed any of the water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue did not touch the drop, the mouse could not have consumed any of the water.  
6. 0:00 - 1:00: Mouse is stationary with paws resting on the surface.  
1:00 - 1:30: Water drop forms and remains attached to the spout.  
1:30 - 2:00: Mouse extends its right paw toward the water drop and makes contact.  
2:00 - 3:00: Mouse manipulates the water drop with its paw, but no tongue contact is observed.  
3:00 - 4:00: Mouse continues to manipulate the drop with its paw, but no tongue contact is observed.  
4:00 - 4:45: Mouse retracts its paw and remains stationary.  
7. 95%", 95%
7,7,66, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The mouse’s tongue remains visibly separate from the drop throughout the interaction.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The mouse’s tongue remains visibly separate from the drop throughout the interaction.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting on the surface.  
1:00 - 1:30: Water drop forms and remains attached to the spout.  
1:30 - 2:00: Mouse lifts its right paw and touches the water drop.  
2:00 - 4:00: Mouse licks the water drop with its tongue, but the tongue does not make physical contact with the drop. The water drop remains on the spout.  
4:00 - 4:45: Mouse continues to lick the air near the spout, but no water is ingested.  
7. 95%", 95%
8,8,22, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue to make contact with the water drop, nor did it use its right paw to retrieve the drop. No physical interaction with the water drop was observed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue to make contact with the water drop, nor did it use its right paw to retrieve the drop. No physical interaction with the water drop was observed.  
6. 0:00 - 4:45: The mouse remains head-fixed, with its paws resting on the surface. No movement toward the spout or interaction with the water drop occurs. The water drop is visible on the spout but is never touched or manipulated by the mouse.  
7. 100%", 100%
9,9,59, No, Yes, Yes,0.0,f," Failed: The mouse’s tongue never made physical contact with the water drop. The mouse used its right paw to touch the water drop, but the tongue did not reach or lick the drop. Since no tongue contact occurred, the mouse did not consume any water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse’s tongue never made physical contact with the water drop. The mouse used its right paw to touch the water drop, but the tongue did not reach or lick the drop. Since no tongue contact occurred, the mouse did not consume any water.  
6. 0:00 - 1:20: Mouse is stationary, paws resting on the surface.  
1:21 - 1:50: Mouse begins to lift its right paw and moves it toward the spout.  
1:51 - 2:00: Mouse’s right paw makes contact with the water drop.  
2:01 - 4:45: Mouse repeatedly licks the water drop with its tongue while holding it with its paw. The water drop is visibly reduced in size but never fully consumed.  
7. 95%", 95%
