,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of licking and consuming the water, and no such contact occurred, the mouse did not drink any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch and manipulate the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of licking and consuming the water, and no such contact occurred, the mouse did not drink any water.  
6. 0:00 - 1:18: The mouse remains stationary with both paws on the surface, observing the spout.  
   1:19 - 1:28: The mouse lifts its right paw and moves it toward the water drop.  
   1:29 - 1:40: The mouse uses its right paw to touch and manipulate the water drop.  
   1:41 - 2:50: The mouse continues to hold and manipulate the water drop with its right paw, bringing it close to its mouth.  
   2:51 - 3:23: The mouse attempts to lick the water drop with its tongue, but the tongue does not make contact with the drop.  
   3:24 - 4:45: The mouse continues to manipulate the water drop with its right paw, but no tongue contact occurs.  
7. 95%", 95%
1,1,25, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue never touched the drop, the mouse could not have consumed any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue never touched the drop, the mouse could not have consumed any water.  
6. 0:00 - 1:40: Mouse is stationary, paws resting on the surface, head fixed, no movement toward the spout.  
1:41 - 2:00: Mouse raises its right paw and touches the water drop.  
2:01 - 4:45: Mouse repeatedly brings the paw to its mouth and licks, but the water drop is not visibly transferred to the tongue or consumed. The drop remains on the spout.  
7. 95%", 95%
2,2,27, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The mouse’s tongue remains visibly separate from the drop throughout the entire interaction.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The mouse’s tongue remains visibly separate from the drop throughout the entire interaction.  
6. 0:00 - 1:22: The mouse is stationary, head-fixed, with paws resting on the surface. The water drop forms and remains attached to the spout.  
   1:23 - 1:28: The mouse lifts its right paw and brings it toward the water drop.  
   1:29 - 3:05: The mouse uses its right paw to hold and manipulate the water drop, bringing it close to its mouth.  
   3:06 - 4:45: The mouse continues to hold the water drop with its right paw, occasionally licking its paw or mouth, but no tongue contact with the drop is observed.  
7. 95%", 95%
3,3,32, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue to lick the water drop, nor did it use its right paw to bring the drop close to its mouth. The water drop remained on the spout and was never touched or manipulated by the mouse.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue to lick the water drop, nor did it use its right paw to bring the drop close to its mouth. The water drop remained on the spout and was never touched or manipulated by the mouse.  
6. 0:00 - 0:59: Mouse is stationary, right paw occasionally moves but does not approach the spout.  
   1:00 - 2:30: Mouse remains still, no interaction with the spout or water drop.  
   2:31 - 4:45: Mouse raises its left paw briefly, then returns to a stationary position; no interaction with the water drop.  
7. 99%", 99%
4,4,18, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of licking the drop, and no such contact occurred, the mouse did not consume any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue is the only organ capable of licking the drop, and no such contact occurred, the mouse did not consume any water.  
6. 0:00 - 1:27: Mouse is stationary, paws resting on the surface. Water drop forms and remains attached to the spout.  
1:28 - 1:30: Mouse lifts its right paw toward the water drop.  
1:31 - 3:40: Mouse uses its right paw to hold and manipulate the water drop, bringing it close to its mouth.  
3:41 - 3:56: Mouse releases the water drop and repositions its paw.  
3:57 - 4:00: Mouse briefly extends its tongue toward the water drop, but does not make contact.  
4:01 - 4:45: Mouse continues to hold the water drop with its paw, but no licking or consumption occurs.  
7. 95%", 95%
5,5,33, No, Yes, Yes,0.0,f," Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but the tongue never made contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.","1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but the tongue never made contact with the drop. Since the tongue is the only organ capable of drinking, and no contact occurred, the mouse did not consume any water.  
6. 0:00 - 1:20: Mouse is stationary, paws resting on the surface. Water drop forms and remains attached to the spout.  
1:21 - 1:30: Mouse lifts right paw and touches the water drop.  
1:31 - 2:00: Mouse licks the water drop with its tongue while holding it with its paw.  
2:01 - 2:10: Mouse continues to lick the water drop.  
2:11 - 2:20: Mouse drops the water drop.  
2:21 - 4:45: Mouse remains stationary, paws resting on the surface. No further interaction with the water drop.  
7. 95%", 95%
6,6,61, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.  
6. 0:00 - 1:00: Mouse is stationary, paws resting on the surface.  
1:00 - 1:30: Water drop forms and remains attached to the spout.  
1:30 - 2:00: Mouse lifts its right paw and touches the water drop.  
2:00 - 4:45: Mouse repeatedly licks its paw and brings it to its mouth, but no tongue contact with the water drop is observed.  
7. 95%", 95%
7,7,66, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. The water drop remains intact on the spout throughout the entire video, and the mouse does not consume any portion of it.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. The water drop remains intact on the spout throughout the entire video, and the mouse does not consume any portion of it.  
6. 0:00 - 0:59: Mouse is stationary, paws resting on the surface.  
   1:00 - 1:59: Water drop forms and remains attached to the spout. Mouse remains stationary.  
   2:00 - 2:59: Mouse lifts its left paw and begins to move its right paw toward the spout.  
   3:00 - 3:59: Mouse brings its right paw close to the water drop and appears to touch it, but no tongue contact is observed.  
   4:00 - 4:45: Mouse continues to hold the water drop with its right paw and does not lick or consume any portion of it.  
7. 95%", 95%
8,8,22, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.  
6. 0:00 - 1:10: Mouse is stationary, paws resting on the surface.  
   1:11 - 1:25: Mouse raises its right paw toward the water drop.  
   1:26 - 1:40: Mouse brings the paw to its mouth and licks the paw, not the drop.  
   1:41 - 2:00: Mouse continues to lick its paw.  
   2:01 - 2:40: Mouse continues to lick its paw and occasionally moves its left paw.  
   2:41 - 4:45: Mouse remains stationary, paws resting on the surface.  
7. 95%", 95%
9,9,59, No, Yes, No,0.0,f, Failed: The mouse did not make any physical contact with the water drop using its tongue or paw. The water drop remained on the spout and was never brought close to the mouse’s mouth.,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue or paw. The water drop remained on the spout and was never brought close to the mouse’s mouth.  
6. 0:00 - 0:50: Mouse is stationary, paws resting on the surface.  
0:50 - 1:10: Water drop forms and remains attached to the spout.  
1:10 - 1:40: Mouse remains stationary, no movement toward the spout or water drop.  
1:40 - 2:00: Mouse lifts its right paw and brings it toward the spout, but does not touch the water drop.  
2:00 - 4:45: Mouse remains stationary, no further interaction with the water drop.  
7. 100%", 100%
