,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, Yes,0.0,f, Failed: The mouse did not make physical contact with the water drop using its tongue. The water drop was not retrieved or consumed by the mouse. The mouse’s right paw did not reach the water drop or move toward it in any way that would allow it to bring the drop close to its mouth for licking. The mouse’s tongue remained stationary and did not extend toward the spout or make contact with the water drop.,"1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue. The water drop was not retrieved or consumed by the mouse. The mouse’s right paw did not reach the water drop or move toward it in any way that would allow it to bring the drop close to its mouth for licking. The mouse’s tongue remained stationary and did not extend toward the spout or make contact with the water drop.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting on surface.  
   1:00 - 1:30: Mouse begins to move its left paw toward the spout, but does not touch the water drop.  
   1:30 - 2:00: Mouse continues to move its left paw, but still does not reach the water drop.  
   2:00 - 3:00: Mouse’s left paw moves away from the spout.  
   3:00 - 4:45: Mouse remains stationary, head fixed, paws resting on surface. No further movement toward the spout or water drop.  
7. 100%", 100%
1,1,25, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but there is no evidence that the tongue made contact with the drop or that the mouse consumed any water. The water drop remains on the spout and is not visibly consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but there is no evidence that the tongue made contact with the drop or that the mouse consumed any water. The water drop remains on the spout and is not visibly consumed.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting on the surface.  
   1:00 - 1:10: Water drop forms and remains attached to the spout.  
   1:10 - 1:30: Mouse lifts its right paw and touches the water drop.  
   1:30 - 2:00: Mouse brings the paw closer to its mouth and begins licking the paw.  
   2:00 - 4:45: Mouse continues to lick its paw, but no water is visibly consumed.  
7. 95%", 95%
2,2,27, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue. The water drop was present on the spout, but the mouse’s tongue remained stationary and did not extend toward or touch the drop. The mouse’s right paw did not move toward the spout or the water drop, and no attempt to retrieve the water was observed. Therefore, no water was consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The water drop was present on the spout, but the mouse’s tongue remained stationary and did not extend toward or touch the drop. The mouse’s right paw did not move toward the spout or the water drop, and no attempt to retrieve the water was observed. Therefore, no water was consumed.  
6. 0:00 - 0:59: Mouse is stationary, head fixed, paws resting on surface. No movement toward spout or water drop.  
   1:00 - 1:20: Water drop appears on spout. Mouse remains stationary, tongue does not extend.  
   1:21 - 4:45: Mouse continues to remain stationary, right paw does not move toward the spout or water drop. No attempt to retrieve water.  
7. 100%", 100%
3,3,32, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The water drop remains on the spout and is not visibly consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any liquid being transferred to the mouth. The water drop remains on the spout and is not visibly consumed.  
6. 0:00 - 0:59: Mouse is stationary, head fixed, paws resting on surface.  
   1:00 - 1:30: Water drop forms and remains attached to the spout.  
   1:31 - 2:00: Mouse extends right paw toward the water drop.  
   2:01 - 4:45: Mouse holds the water drop with its right paw and brings it close to its mouth, but no tongue contact with the drop is observed. The water drop remains intact and is not consumed.  
7. 95%", 95%
4,4,18, No, Yes, No,0.0,f, Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw did not reach the water drop or move toward it in a way that would allow it to retrieve the drop. The mouse’s tongue remained stationary and did not extend toward the drop. No evidence of water being consumed or even partially retrieved is visible.,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw did not reach the water drop or move toward it in a way that would allow it to retrieve the drop. The mouse’s tongue remained stationary and did not extend toward the drop. No evidence of water being consumed or even partially retrieved is visible.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting on the surface.  
   1:00 - 1:30: Water drop forms and remains attached to the spout. Mouse remains still.  
   1:30 - 2:00: Mouse begins to move its left paw toward the spout, but does not reach the water drop.  
   2:00 - 3:00: Mouse continues to move its left paw, but still does not make contact with the water drop.  
   3:00 - 4:00: Mouse retracts its left paw and remains still. No contact with the water drop is made.  
   4:00 - 4:29: Mouse remains stationary, no further movement toward the water drop.  
7. 100%", 100%
5,5,33, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting on the surface.  
   1:00 - 1:30: Water drop forms and remains attached to the spout.  
   1:30 - 2:00: Mouse extends its right paw toward the water drop and makes contact.  
   2:00 - 4:45: Mouse holds the water drop with its paw and appears to lick or manipulate it with its tongue, but no clear contact between the tongue and the drop is observed.  
7. 95%", 95%
6,6,61, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse used its right paw to touch the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting on the surface.  
1:00 - 1:10: Water drop forms and remains attached to the spout.  
1:10 - 2:00: Mouse begins to move its right paw toward the water drop.  
2:00 - 3:00: Mouse’s right paw makes contact with the water drop and begins to manipulate it.  
3:00 - 4:00: Mouse continues to hold and manipulate the water drop with its right paw.  
4:00 - 4:45: Mouse releases the water drop, and it falls off the spout. Mouse remains stationary, head fixed, paws resting on the surface.  
7. 95%", 95%
7,7,67, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop. Since no contact occurred, the mouse could not have retrieved any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop. Since no contact occurred, the mouse could not have retrieved any water.  
6. 0:00 - 3:55: Mouse remains stationary with paws on surface, head fixed, no movement toward spout or water drop.  
   3:56 - 4:45: Mouse begins to move paws slightly, but no attempt to reach the spout or water drop is observed. No tongue contact or paw interaction with the drop occurs.  
7. 100%", 100%
8,8,66, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue or move its right paw toward the water drop. No physical contact was made between the tongue and the drop, and the mouse did not retrieve any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue or move its right paw toward the water drop. No physical contact was made between the tongue and the drop, and the mouse did not retrieve any water.  
6. 0:00 - 4:45: The mouse remains stationary with its paws on the surface, and the water drop is visible on the spout. No movement toward the drop or interaction with it occurs.  
7. 100%", 100%
9,9,4, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw extended toward the drop and touched it, but the tongue never made contact with the drop. Since the tongue is the only organ capable of licking and consuming the water, and no contact occurred, the mouse did not drink any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw extended toward the drop and touched it, but the tongue never made contact with the drop. Since the tongue is the only organ capable of licking and consuming the water, and no contact occurred, the mouse did not drink any water.  
6. 0:00 - 1:00: Mouse is stationary, head fixed, paws resting on the surface.  
1:00 - 1:10: Water drop forms and remains attached to the spout.  
1:10 - 1:30: Mouse’s right paw lifts and moves toward the water drop.  
1:30 - 1:40: Mouse’s right paw touches the water drop.  
1:40 - 2:00: Mouse licks the paw, not the drop.  
2:00 - End: Mouse remains stationary, no further interaction with the drop.  
7. 95%", 95%
