,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, No,0.0,f, Failed: The mouse did not make any physical contact with the water drop using its tongue. The water drop was never observed to be touched or manipulated by the mouse’s tongue or paws. The mouse’s right paw remained stationary and did not move toward the spout or the water drop.,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The water drop was never observed to be touched or manipulated by the mouse’s tongue or paws. The mouse’s right paw remained stationary and did not move toward the spout or the water drop.  
6. 0:00 - 0:40: Mouse is stationary, paws resting on surface.  
0:40 - 1:00: Mouse begins to move its left paw toward the spout, but does not reach the water drop.  
1:00 - 1:30: Mouse continues to move its left paw, but still does not reach the water drop.  
1:30 - 2:00: Mouse begins to lick its paw, but does not interact with the water drop.  
2:00 - 2:30: Mouse continues to lick its paw, but does not interact with the water drop.  
2:30 - 3:00: Mouse begins to move its right paw toward the spout, but does not reach the water drop.  
3:00 - 3:30: Mouse continues to move its right paw, but still does not reach the water drop.  
3:30 - 4:00: Mouse begins to lick its right paw, but does not interact with the water drop.  
4:00 - 4:30: Mouse continues to lick its right paw, but does not interact with the water drop.  
7. 100%", 100%
1,1,77, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw moved toward the spout and touched the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw moved toward the spout and touched the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.  
6. 0:00 - 1:00: Mouse is stationary, right paw resting on surface.  
1:00 - 1:10: Mouse begins to lift its right paw and move it toward the spout.  
1:10 - 1:30: Mouse’s right paw makes contact with the water drop.  
1:30 - 4:45: Mouse manipulates the water drop with its paws, but no tongue contact with the drop is observed.  
7. 95%", 95%
2,2,25, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw moved toward the spout and touched the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue did not touch the drop, the mouse could not have consumed any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw moved toward the spout and touched the water drop, but there is no visual evidence of the tongue making contact with the drop. Since the tongue did not touch the drop, the mouse could not have consumed any water.  
6. 0:00 - 0:20: Mouse is stationary, paws resting on surface.  
0:20 - 0:40: Mouse begins to move its right paw toward the spout.  
0:40 - 1:00: Mouse’s right paw makes contact with the water drop.  
1:00 - 3:30: Mouse holds the water drop with its right paw and brings it close to its mouth.  
3:30 - 4:45: Mouse continues to hold the water drop and attempts to lick it, but no tongue contact with the drop is observed.  
7. 95%", 95%
3,3,32, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw moved toward the spout and touched the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water, resulting in a failed trial.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw moved toward the spout and touched the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water, resulting in a failed trial.  
6. 0:00 - 0:59: Mouse is stationary, paws resting on surface.  
0:59 - 1:05: Mouse lifts right paw toward the spout.  
1:05 - 1:10: Mouse’s right paw touches the water drop.  
1:10 - 4:45: Mouse holds the water drop with its right paw and attempts to lick it, but the tongue never makes contact with the drop.  
7. 95%", 95%
4,4,18, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw remained stationary and did not reach toward the water drop, and no movement toward the spout was observed. Since the mouse’s tongue cannot lick the spout directly (due to head fixation), and the paw did not interact with the drop, the mouse could not retrieve any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw remained stationary and did not reach toward the water drop, and no movement toward the spout was observed. Since the mouse’s tongue cannot lick the spout directly (due to head fixation), and the paw did not interact with the drop, the mouse could not retrieve any water.  
6. 0:00 - 0:05: Mouse is stationary, paws resting on surface.  
0:06 - 0:15: Mouse begins to move its left paw slightly, but no interaction with the spout or water drop.  
0:16 - 0:30: Mouse continues to move its left paw, but remains stationary in position.  
0:31 - 0:45: Mouse lifts its left paw and moves it toward the spout, but does not make contact with the water drop.  
0:46 - 1:00: Mouse lowers its left paw and returns to resting position.  
1:01 - 1:15: Mouse lifts its left paw again and moves it toward the spout, but does not make contact with the water drop.  
1:16 - 1:30: Mouse lowers its left paw and returns to resting position.  
1:31 - 1:45: Mouse lifts its left paw again and moves it toward the spout, but does not make contact with the water drop.  
1:46 - 2:00: Mouse lowers its left paw and returns to resting position.  
2:01 - 2:15: Mouse lifts its left paw again and moves it toward the spout, but does not make contact with the water drop.  
2:16 - 2:30: Mouse lowers its left paw and returns to resting position.  
2:31 - 2:45: Mouse lifts its left paw again and moves it toward the spout, but does not make contact with the water drop.  
2:46 - 3:00: Mouse lowers its left paw and returns to resting position.  
3:01 - 3:15: Mouse lifts its left paw again and moves it toward the spout, but does not make contact with the water drop.  
3:16 - 3:30: Mouse lowers its left paw and returns to resting position.  
3:31 - 3:45: Mouse lifts its left paw again and moves it toward the spout, but does not make contact with the water drop.  
3:46 - 4:00: Mouse lowers its left paw and returns to resting position.  
4:01 - 4:15: Mouse lifts its left paw again and moves it toward the spout, but does not make contact with the water drop.  
7. 95%", 95%
5,5,33, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw remained stationary and did not reach toward the water drop, which was delivered on the spout. No observable movement of the paw toward the drop or any interaction with the drop occurred. Therefore, the mouse did not retrieve any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue. The mouse’s right paw remained stationary and did not reach toward the water drop, which was delivered on the spout. No observable movement of the paw toward the drop or any interaction with the drop occurred. Therefore, the mouse did not retrieve any water.  
6. 0:00 - 0:10: Mouse is stationary, head fixed, right paw resting on surface.  
0:10 - 0:30: Mouse’s right paw remains stationary; no movement toward the spout or water drop.  
0:30 - 1:00: Mouse continues to remain stationary; no interaction with the water drop.  
1:00 - 1:30: Mouse’s right paw remains stationary; no movement toward the spout or water drop.  
1:30 - 2:00: Mouse’s right paw remains stationary; no interaction with the water drop.  
2:00 - 2:30: Mouse’s right paw remains stationary; no movement toward the spout or water drop.  
2:30 - 3:00: Mouse’s right paw remains stationary; no interaction with the water drop.  
3:00 - 3:30: Mouse’s right paw remains stationary; no movement toward the spout or water drop.  
3:30 - 4:00: Mouse’s right paw remains stationary; no interaction with the water drop.  
3:30 - 4:00: Mouse’s right paw remains stationary; no interaction with the water drop.  
7. 100%", 100%
6,6,67, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop.  
6. 0:00 - 4:45: The mouse remains head-fixed, with its right paw resting on the surface. No movement toward the spout or interaction with the water drop occurs. The water drop is visible on the spout but is never touched or manipulated by the mouse.  
7. 100%", 100%
7,7,66, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop.  
6. 0:00 - 0:05: Mouse is stationary with paws on surface.  
0:06 - 0:15: Mouse begins to move its right paw slightly but does not reach the spout.  
0:16 - 0:30: Mouse continues to move its right paw in small motions, but no contact with the spout or water drop is observed.  
0:31 - 1:00: Mouse remains stationary with paws on surface; no movement toward the spout.  
1:01 - 2:00: Mouse continues to move its right paw slightly but does not reach the spout.  
2:01 - 3:00: Mouse remains stationary with paws on surface; no movement toward the spout.  
3:01 - 4:00: Mouse continues to move its right paw slightly but does not reach the spout.  
4:01 - 4:45: Mouse remains stationary with paws on surface; no movement toward the spout.  
7. 95%", 95%
8,8,84, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop.  
6. 0:00 - 0:30: Mouse is stationary with paws resting on the surface.  
0:30 - 1:00: Mouse begins to move its left paw slightly but does not approach the spout.  
1:00 - 2:00: Mouse continues to move its left paw and head, but no interaction with the spout or water drop occurs.  
2:00 - 3:00: Mouse remains stationary with no movement toward the spout.  
3:00 - 4:45: Mouse continues to move its left paw and head, but no interaction with the spout or water drop occurs.  
7. 100%", 100%
9,9,22, No, Yes, No,0.0,f, Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw moved toward the spout but did not bring the water drop close enough to its mouth for licking. No evidence of water being retrieved or consumed.,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw moved toward the spout but did not bring the water drop close enough to its mouth for licking. No evidence of water being retrieved or consumed.  
6. 0:00 - 0:10: Mouse is stationary, paws resting.  
0:10 - 0:30: Mouse shifts position slightly, right paw lifts and moves toward the spout.  
0:30 - 1:00: Mouse continues to move its right paw toward the spout, but does not make contact with the water drop.  
1:00 - 1:30: Mouse repositions its paws, right paw remains near the spout but does not touch the water drop.  
1:30 - 2:00: Mouse continues to move its right paw toward the spout, but the water drop remains untouched.  
2:00 - 2:30: Mouse’s right paw moves closer to the spout, but still does not touch the water drop.  
2:30 - 3:00: Mouse’s right paw remains near the spout, but no contact with the water drop is made.  
3:00 - 3:30: Mouse’s right paw moves away from the spout, then returns.  
3:30 - 4:00: Mouse’s right paw remains near the spout, but no contact with the water drop is made.  
4:00 - 4:30: Mouse’s right paw moves away from the spout, then returns.  
4:30 - 4:45: Mouse’s right paw remains near the spout, but no contact with the water drop is made.  
7. 95%", 95%
10,10,59, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not move toward the spout or the water drop.  
6. 0:00 - 0:15: Mouse is stationary, head fixed, paws resting.  
   0:16 - 0:30: Mouse begins to move its left paw slightly, but no interaction with the spout or water drop.  
   0:31 - 1:00: Mouse continues to move its paws, but no movement toward the spout or water drop.  
   1:01 - 2:00: Mouse remains stationary, head fixed, paws resting.  
   2:01 - 3:00: Mouse begins to move its paws again, but no interaction with the spout or water drop.  
   3:01 - 4:00: Mouse remains stationary, head fixed, paws resting.  
   4:01 - 4:45: Mouse continues to move its paws, but no interaction with the spout or water drop.  
7. 100%", 100%
11,11,4, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact with the water drop using its tongue or paw. The water drop remains on the spout throughout the video, and the mouse’s right paw does not move toward or touch the drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact with the water drop using its tongue or paw. The water drop remains on the spout throughout the video, and the mouse’s right paw does not move toward or touch the drop.  
6. 0:00 - 1:00: Mouse is stationary, paws resting on surface.  
   1:00 - 2:00: Mouse begins to move its left paw slightly, but does not approach the spout.  
   2:00 - 3:00: Mouse continues to move its paws but does not reach the spout.  
   3:00 - 4:00: Mouse remains stationary, no interaction with the spout or water drop.  
   4:00 - 4:29: Mouse remains stationary, no interaction with the spout or water drop.  
7. 100%", 100%
12,12,41, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw moved toward the spout and touched the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw moved toward the spout and touched the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.  
6. 0:00 - 0:20: Mouse is stationary, paws resting on surface.  
0:20 - 0:40: Mouse begins to move its right paw toward the spout.  
0:40 - 1:00: Mouse’s right paw makes contact with the water drop.  
1:00 - 3:00: Mouse holds the water drop with its right paw and brings it close to its mouth.  
3:00 - 4:45: Mouse continues to hold the water drop and attempts to lick it, but no tongue contact with the drop is observed.  
7. 95%", 95%
13,13,1, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw remained stationary and did not reach toward the water drop, which was visible on the spout. Since the mouse’s tongue could not lick the spout directly (due to head fixation), and no paw movement occurred to bring the water drop close to the mouth, the mouse could not have consumed any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw remained stationary and did not reach toward the water drop, which was visible on the spout. Since the mouse’s tongue could not lick the spout directly (due to head fixation), and no paw movement occurred to bring the water drop close to the mouth, the mouse could not have consumed any water.  
6. 0:00 - 0:05: Mouse is stationary, paws resting on surface.  
0:06 - 0:30: Mouse makes small movements with its left paw but does not reach toward the spout.  
0:31 - 1:00: Mouse remains still, right paw stationary.  
1:01 - 1:30: Mouse begins to move its left paw toward the spout, but does not touch the water drop.  
1:31 - 2:00: Mouse continues to move its left paw, but still does not reach the water drop.  
2:01 - 2:30: Mouse’s left paw moves away from the spout.  
2:31 - 3:00: Mouse’s left paw returns toward the spout, but again does not touch the water drop.  
3:01 - 3:30: Mouse’s left paw moves away from the spout.  
3:31 - 4:00: Mouse’s left paw returns toward the spout, but again does not touch the water drop.  
4:01 - 4:30: Mouse’s left paw moves away from the spout.  
4:31 - 4:45: Mouse remains still, right paw stationary.  
7. 95%", 95%
14,14,75, No, Yes, No,0.0,f," Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not reach toward the spout or the water drop.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not extend its tongue to make contact with the water drop, and no physical interaction with the drop was observed. The mouse’s right paw remained stationary and did not reach toward the spout or the water drop.  
6. 0:00 - 0:50: Mouse is stationary, paws resting on surface.  
   0:51 - 1:00: Mouse begins to lift its right paw slightly.  
   1:01 - 1:30: Mouse brings right paw toward its mouth, but does not reach the spout or water drop.  
   1:31 - 4:45: Mouse continues to manipulate its paws and mouth area, but no interaction with the water drop occurs.  
7. 95%", 95%
15,15,16, No, Yes, No,0.0,f," Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw moved toward the spout and touched the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make any physical contact between its tongue and the water drop. The mouse’s right paw moved toward the spout and touched the water drop, but there is no visual evidence of the tongue making contact with the drop or any licking motion. Since the tongue did not touch the drop, the mouse could not have consumed any water.  
6. 0:00 - 0:10: Mouse is stationary, paws resting on surface.  
0:10 - 0:30: Mouse begins to move its right paw toward the spout.  
0:30 - 1:00: Mouse’s right paw makes contact with the water drop and begins to manipulate it.  
1:00 - 2:00: Mouse continues to hold and manipulate the water drop with its right paw.  
2:00 - 3:00: Mouse brings the water drop closer to its mouth but does not lick it.  
3:00 - 4:00: Mouse continues to hold the water drop without licking.  
4:00 - 4:45: Mouse releases the water drop and returns to a resting position.  
7. 95%", 95%
