Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,25, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off it. 27.2 - 111.2seconds, The mouse then grabs the drop with his paw and attempts to drink it. 108.5 - 286.3seconds, The mouse continues to try and grab the drop but fails. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,27,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make any physical contact with the water drop, and therefore did not retrieve any water.6. 0 - 80.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 79.9 - 179.4seconds, The mouse then moves his tongue around and attempts to drink the water but fails. 179.4 - 286.2seconds, The mouse continues to try and grab the water but never does.",
2,18,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 17.8 - 119.2seconds, The mouse then grabs the drop and drinks it. 119.2 - 286.2seconds, The mouse continues to drink the water while the camera watches.",
3,22,,,,,ucn,,,
4,4, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 19.4 - 103.2seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 103.2 - 286.4seconds, He continues to drink the water while the camera watches. 
7. 99% confident", 99% confident
5,1, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 18.9 - 103.5seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 103.5 - 286.6seconds, He continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,2, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 8.7seconds, A mouse is seen sitting in front of a spout with its tongue out. 9.1 - 180.2seconds, The mouse then grabs a water droplet and attempts to drink it. 178.4 - 286.1seconds, The mouse continues to grab the water and eat it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
7,17,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 79.8seconds, A mouse is seen sitting in front of a spout with its tongue out and a drop of water hanging above it. 79.8 - 179.0seconds, The mouse then grabs the drop with his paw and drinks it. 179.0 - 286.2seconds, The mouse continues to drink the water while the camera watches on.",
8,8, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off it. 19.4 - 107.2seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 108.6 - 286.3seconds, He continues to grab more drops and eat them. 
7. I am 100% confident in my results.", I am 100% confident in my results.
9,6, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 27.2 - 158.3seconds, The mouse then uses his tongue to lick the water off and drinks it. 158.3 - 286.1seconds, He continues to do this several times while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
