Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A close up of a mice is seen sitting in front of a spout. 9.1 - 286.1seconds, The mice then grabs a water droplet and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,25,,,,,ucn,,,
2,27,,,,,ucn,,,
3,18,,,,,ucn,,,
4,4,,,,,ucn,,,
5,1, Yes, No, No,0.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. No
4. 0%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 19.5 - 112.4seconds, The mouse then grabs a water droplet with his tongue and drinks it. 113.0 - 286.1seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,16, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.7seconds, A close up of a mice is seen sitting in front of a camera. 29.4 - 110.3seconds, The mice then grabs a water droplet with his tongue and drinks it. 110.3 - 278.2seconds, The mice continues to drink the water while the camera watches. 278.2 - 286.1seconds, The mice finishes drinking and the camera fades away. 
7. 100% confident", 100% confident
7,29,,,,,ucn,,,
8,2,,,,,ucn,,,
9,17,,,,,ucn,,,
10,8,,,,,ucn,,,
11,6,,,,,ucn,,,
12,7,,,,,ucn,,,
13,30,,,,,ucn,,,
14,21, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a small spout. 17.9 - 110.2seconds, The mouse then grabs a drop of water and drinks it. 110.2 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
15,19,,,,,ucn,,,
16,11,,,,,ucn,,,
17,9,,,,,ucn,,,
18,15, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a water spout and grabbing the water with his tongue. 18.7 - 109.2seconds, The mouse continues to drink the water while the camera watches. 109.2 - 167.3seconds, The mouse grabs the water several more times and drinks it. 167.3 - 286.3seconds, The mouse continues to drink the water until it is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
19,3,,,,,ucn,,,
20,13,,,,,ucn,,,
21,20, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 19.8seconds, A close up of a mouse is seen sitting in a cage. 20.7 - 110.3seconds, The mouse then grabs a water droplet with his tongue and begins to drink. 111.2 - 286.3seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
22,14,,,,,ucn,,,
23,12,,,,,ucn,,,
24,23,,,,,f,,"1. Yes
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a water droplet. 18.9 - 107.2seconds, The mouse then grabs the droplet with his tongue and begins to drink. 107.2 - 286.2seconds, The mouse continues to grab the droplet over and over again while the camera watches.",
25,0,,,,,ucn,,,
26,26,,,,,ucn,,,
27,5, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 17.8 seconds, The mouse is seen sitting in a cage with its head fixed in place. 17.8 - 29.4 seconds, A small water droplet is then shown dripping from a spout. 29.4 - 59.2 seconds, The mouse then uses his tongue to flick the water into his mouth. 59.2 - 71.1 seconds, The mouse continues to do this several times. 71.1 - 82.0 seconds, The mouse eventually grabs the water droplet and drinks it all up. 82.0 - 101.9 seconds, The mouse continues to drink the water. 101.9 - 112.8 seconds, The mouse finishes the water and looks at the empty spout. 112.8 - 123.7 seconds, The mouse continues to lick the air where the water was. 123.7 - 134.6 seconds, The mouse continues to do this for a while. 134.6 - 145.5 seconds, The mouse eventually stops and looks at the camera. 145.5 - 156.4 seconds, The mouse then looks back at the empty spout. 156.4 - 167.3 seconds, The mouse continues to do this for a while. 167.3 - 178.2 seconds, The mouse eventually stops and looks at the camera again. 178.2 - 189.1 seconds, The mouse then looks back at the empty spout. 189.1 - 200.0 seconds, The mouse continues to do this for a while. 200.0 - 210.9 seconds, The mouse eventually stops and looks at the camera again. 210.9 - 221.8 seconds, The mouse then looks back at the empty spout. 221.8 - 232.7 seconds, The mouse continues to do this for a while. 232.7 - 243.6 seconds, The mouse eventually stops and looks at the camera again. 243.6 - 254.5 seconds, The mouse then looks back at the empty spout. 254.5 - 265.4 seconds, The mouse continues to do this for a while. 265.4 - 276.3 seconds, The mouse eventually stops and looks at the camera again. 276.3 - 287.2 seconds, The mouse then looks back at the empty spout. 287.2 - 298.1 seconds, The mouse continues to do this for a while. 298.1 - 300.0 seconds, The mouse eventually stops and looks at the camera again.
7. I am 100% confident in my results.", I am 100% confident in my results.
