,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,0,0,18, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 19.1 - 113.4seconds, The mouse then attempts to grab the water but fails several times. 115.7 - 286.3seconds, He continues to try and eventually grabs the water and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,1,1,1,93, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.4 - 107.2seconds, The mouse then attempts to grab the water but fails several times. 108.6 - 286.4seconds, The mouse continues to try and grab the water but never succeeds. 
7. I am 100% confident in my results.", I am 100% confident in my results.
2,2,2,2,1, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 17.9 - 110.2seconds, The mouse then uses his tongue to grab the water and drink it. 109.2 - 286.2seconds, The mouse continues to do this over and over again. 
7. I am 100% confident in my results.", I am 100% confident in my results.
3,3,3,3,75, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 17.9 - 100.5seconds, The mouse then attempts to grab the water but fails several times. 98.5 - 286.2seconds, The mouse continues to try and grab the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
4,4,4,4,74, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 18.9 - 117.2seconds, The mouse then grabs the water with his paw and puts it in his mouth. 117.2 - 286.3seconds, He continues to do this several times while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
5,5,5,5,115, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 286.9seconds, A mouse is shown sitting in front of a spout with a drop of water on it. 27.9 - 286.9seconds, The mouse then uses its paw to grab the water and drink it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,6,6,6,103, Yes, No, Yes,70.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 70%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.5 - 111.5seconds, The mouse then uses his tongue to grab the water and drink it. 112.1 - 286.1seconds, The mouse continues to do this several times while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
7,7,7,7,62, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 17.3 - 101.3seconds, The mouse then attempts to grab the water but fails several times. 97.1 - 286.2seconds, The mouse continues to try and grab the water but never succeeds. 
7. I am 100% confident in my results.", I am 100% confident in my results.
8,8,8,8,99, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 17.8 - 119.2seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 119.2 - 286.2seconds, He continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
9,9,9,9,100, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 17.9 - 107.2seconds, The mouse then uses his tongue to lick the water off the spout. 107.2 - 286.1seconds, He continues licking until he has drank all the water. 
7. I am 100% confident in my results.", I am 100% confident in my results.
