Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28,,,,,ucn,,,
1,25,,,,,ucn,,,
2,27,,,,,ucn,,,
3,66, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A close up of a mouse is seen sitting in front of a camera. 27.8 - 160.2seconds, The mouse then grabs a water droplet and drinks it. 159.3 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
4,22,,,,,ucn,,,
5,4,,,,,ucn,,,
6,41,,,,,ucn,,,
7,1,,,,,ucn,,,
8,16,,,,,ucn,,,
9,29,,,,,ucn,,,
10,49,,,,,ucn,,,
11,64,,,,,ucn,,,
12,2,,,,,ucn,,,
13,31,,,,,ucn,,,
14,17, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 19.8seconds, A close up of a mouse is seen sitting in front of a metal spout. 19.8 - 107.4seconds, The mouse then grabs a water droplet with his tongue and drops it back onto the spout. 107.4 - 182.2seconds, The mouse continues to do this over and over again. 182.2 - 286.1seconds, The mouse eventually drinks the water off his paw. 
7. I am 100% confident in my results.", I am 100% confident in my results.
15,8,,,,,ucn,,,
16,6, Yes, Yes, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.5 - 110.4seconds, A metal spout is shown dripping water and the mouse grabs it with his paws. 108.0 - 286.1seconds, The mouse then drinks the water from his paws. 
7. I am 100% confident in my results.", I am 100% confident in my results.
17,7,,,,,ucn,,,
18,35,,,,,ucn,,,
19,65,,,,,ucn,,,
20,30,,,,,ucn,,,
21,21,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a metal spout. 17.9 - 103.3seconds, The mouse then grabs a water droplet with his mouth and begins to drink. 103.3 - 286.3seconds, The mouse continues drinking while the camera watches on.",
22,42,,,,,ucn,,,
23,24,,,,,ucn,,,
24,19,,,,,ucn,,,
25,11,,,,,ucn,,,
26,9,,,,,ucn,,,
27,15,,,,,ucn,,,
28,43,,,,,ucn,,,
29,3,,,,,ucn,,,
30,13,,,,,ucn,,,
31,47,,,,,ucn,,,
32,45,,,,,ucn,,,
33,20,,,,,ucn,,,
34,48,,,,,ucn,,,
35,14,,,,,ucn,,,
36,12,,,,,ucn,,,
37,10,,,,,ucn,,,
38,0,,,,,ucn,,,
39,26,,,,,ucn,,,
40,5,,,,,f,,"1. Yes
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a metal spout. 17.9 - 113.3seconds, The spout then drops a ball of water for the mouse to grab. 113.3 - 286.3seconds, The mouse grabs the ball with his paw and attempts to drink the water.",
