Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28,,,,,ucn,,,
1,25,,,,,ucn,,,
2,27,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in front of a water droplet. 17.8 - 109.3seconds, The mouse then grabs the droplet with his paws and puts it in his mouth. 109.3 - 286.1seconds, The mouse continues to drink the water while the camera watches.",
3,18, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 10.8 seconds: A water drop is delivered to the tip of a metal spout. 11.0 - 17.9 seconds: The mouse's tongue touches the water drop. 18.1 - 286.7 seconds: The mouse grabs the water drop with its paws and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
4,61, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 27.8seconds, A mouse is seen sitting in front of a spout with water dripping down. 29.2 - 173.6seconds, The mouse then grabs the drop and drinks it all up. 176.5 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
5,67, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 27.9seconds, A close up of a mouse is seen sitting in front of a spout with a drop of water hanging off. 28.5 - 110.2seconds, The mouse then grabs the drop with his paws and puts it in his mouth. 111.5 - 286.3seconds, The mouse continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,66,,,,,ucn,,,
7,118,,,,,ucn,,,
8,84, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a water droplet and grabbing it with his mouth. 17.8 - 109.2seconds, The mouse then grabs the water and drinks it all up. 109.2 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
9,111,,,,,ucn,,,
10,22, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.8 - 112.7seconds, The mouse is shown drinking water from a spout. 111.8 - 286.4seconds, The mouse grabs the water with his paws and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
11,107,,,,,f,,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 27.8seconds, A close up of a mouse is seen sitting in front of a spout with a drop of water hanging off. 27.8 - 119.1seconds, The mouse then grabs the drop with his paws and puts it in his mouth. 119.1 - 286.2seconds, He continues to drink the water while the camera watches on.",
12,93, Yes, No, Yes,0.0,f, Failed,"1. Yes
2. No
3. Yes
4. 0%
5. Failed
6. 0.0 - 17.9seconds, A mouse is seen sitting in front of a water spout and grabbing the water with his mouth. 18.5 - 101.1seconds, The mouse continues to drink the water while the camera watches. 99.6 - 286.2seconds, The mouse grabs the water with his paws and drinks it all up. 
7. 99%", 99%
13,41, Yes, Yes, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A close up of a mice is seen sitting in front of a bar. 9.0 - 190.2seconds, A drop of water is shown dripping down and the mice drinks it. 191.4 - 286.2seconds, The mice continues to drink the water while the camera watches. 
7. 0.0 - 7.8seconds, A close up of a mice is seen sitting in front of a bar. 9.0 - 190.2seconds, A drop of water is shown dripping down and the mice drinks it. 191.4 - 286.2seconds, The mice continues to drink the water while the camera watches."," 0.0 - 7.8seconds, A close up of a mice is seen sitting in front of a bar. 9.0 - 190.2seconds, A drop of water is shown dripping down and the mice drinks it. 191.4 - 286.2seconds, The mice continues to drink the water while the camera watches."
14,1,,,,,ucn,,,
15,75, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 19.7 seconds, The mouse is sitting in a machine licking his lips. 20.8 - 286.2 seconds, A drop of water is hanging from a spout and the mouse tries to get it with his tongue but can't because he is head fixed. 
7. I am 100% confident in my results.", I am 100% confident in my results.
16,51, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a water droplet. 19.4 - 110.2seconds, The mouse then grabs the water with his paws and drinks it. 111.6 - 286.7seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
17,37,,,,,f,,"1. Yes
2. No
3. Yes
4. 0%
5. Failed
6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in front of a water droplet. 17.8 - 119.2seconds, The mouse then grabs the water with his paws and drinks it. 119.2 - 286.4seconds, The mouse continues to drink the water while the camera watches.",
18,74,,,,,f,,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in front of a spout with a drop of water hanging off. 17.8 - 109.2seconds, The mouse then grabs the drop with his paws and puts it in his mouth. 109.2 - 286.1seconds, The mouse continues to drink the water while the camera watches.",
19,54, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 111.2seconds, A metal spout appears and the mouse grabs it with his paws. 112.6 - 286.5seconds, The mouse then drinks the water that is on the spout. 
7. I am 100% confident in my results.", I am 100% confident in my results.
20,115,,,,,ucn,,,
21,78, Yes, No, Yes,0.0,f, Failed,"1. Yes
2. No
3. Yes
4. 0%
5. Failed
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 19.3 - 101.2seconds, The mouse then grabs the drop with his paws and puts it in his mouth. 102.8 - 286.3seconds, He continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
22,82, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 7.8 seconds: A water drop is seen falling from a spout. 7.9 - 17.8 seconds: The mouse watches the drop fall. 18.0 - 20.3 seconds: The mouse moves its paw to grab the drop. 20.5 - 286.2 seconds: The mouse drinks the water. 
7. I am 100% confident in my results.", I am 100% confident in my results.
23,103, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A close up of a mice is seen sitting in front of a water droplet. 9.0 - 190.8seconds, The mice then grabs the water with his paws and puts it in his mouth. 191.4 - 286.4seconds, The mice continues to drink the water while the camera watches. 
7. 0.0 - 7.8seconds, A close up of a mice is seen sitting in front of a water droplet. 9.0 - 190.8seconds, The mice then grabs the water with his paws and puts it in his mouth. 191.4 - 286.4seconds, The mice continues to drink the water while the camera watches."," 0.0 - 7.8seconds, A close up of a mice is seen sitting in front of a water droplet. 9.0 - 190.8seconds, The mice then grabs the water with his paws and puts it in his mouth. 191.4 - 286.4seconds, The mice continues to drink the water while the camera watches."
24,39, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 101.2seconds, A drop of water is shown dripping down and the mouse watches it. 102.6 - 286.3seconds, The mouse then grabs the drop with his paws and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
25,62,,,,,f,,"1. No
2. Yes
3. No
4. 0%
5. Failed
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a water droplet. 18.9 - 107.2seconds, The mouse watches the water drop and does not move. 107.2 - 286.1seconds, The mouse continues to stare at the water droplet and does not drink it.",
26,29, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 19.8seconds, A close up of a mouse is seen sitting in front of a camera. 20.7 - 110.3seconds, A droplet of water is shown dripping down and the mouse grabs it with his mouth. 111.2 - 286.1seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
27,112, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 78.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 78.9 - 179.5seconds, The mouse then grabs the drop with his hands and puts it in his mouth. 179.5 - 286.1seconds, He continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
28,102, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 19.8 seconds, The mouse is sitting in a machine licking his lips. 20.7 - 286.2 seconds, A drop of water is hanging from a metal spout and the mouse grabs it with its mouth and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
29,49, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 10.8 seconds: A water drop is seen falling from a spout. 11.0 - 19.7 seconds: The mouse watches the drop fall. 20.0 - 286.1 seconds: The mouse uses its paw to grab the drop and drink it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
