Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 1.8 seconds: A mouse is seen sitting in a cage with its head fixed in place. 1.9 - 17.2 seconds: A small water droplet is shown on a metal spout above the mouse. 18.3 - 223.2 seconds: The mouse uses his tongue to lick up the water droplet. 224.3 - 286.3 seconds: The mouse drinks the water and swallows it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,77,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0 - 80.9seconds, A close up of a mouse is seen sitting in a cage with a small water droplet hanging from a spout. 80.9 - 177.3seconds, The mouse then uses his tongue to grab the water and drink it. 177.3 - 286.1seconds, The mouse continues to do this over and over again while the camera captures him.",
2,25, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0 - 80.9 seconds, The mouse is seen sitting in a cage with his head fixed and a small water droplet hanging from a metal spout. 80.9 - 170.2 seconds, The mouse then uses his tongue to lick the droplet off of the spout. 170.2 - 286.2 seconds, The mouse continues licking the droplet until it is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
3,27, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9 seconds, A small mouse is seen sitting in front of a camera and grabbing a water droplet. 18.9 - 110.2 seconds, The mouse then licks the droplet off his paw. 110.2 - 286.2 seconds, He continues to drink the water until it's gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
4,32, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 27.8 seconds, The mouse is seen sitting in a cage with a small water droplet hanging from a spout. 27.8 - 109.3 seconds, The mouse then uses his tongue to flick the droplet off and into its mouth. 109.3 - 160.1 seconds, The mouse continues to do this several times. 160.1 - 286.2 seconds, The mouse eventually grabs the droplet with his mouth and drinks it.
7. I am 100% confident in my results.", I am 100% confident in my results.
5,33, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0 - 80.9 seconds, The mouse is seen sitting in a cage with his head fixed and a small water droplet hanging from a metal spout. 80.9 - 170.2 seconds, The mouse then uses his tongue to lick the droplet off of the spout. 170.2 - 286.2 seconds, The mouse continues licking until all of the water is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,61, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.9 seconds, The mouse is seen sitting in a cage with his head fixed in place and a small amount of water is dripping from a spout. 18.9 - 71.5 seconds, The mouse then uses his tongue to lick the water off the spout. 71.5 - 112.2 seconds, The mouse continues to drink the water as it drips. 112.2 - 152.9 seconds, The mouse pauses for a moment before continuing to drink. 152.9 - 184.6 seconds, The mouse finishes drinking and looks up at the camera. 184.6 - 209.2 seconds, The mouse pauses again before finishing the water. 209.2 - 286.2 seconds, The mouse finishes the water and looks up at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
7,67,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A close up of a mouse is seen with a droplet of water hanging from a spout. 18.7 - 109.2seconds, The mouse then grabs the drop with his tongue and drinks it. 109.2 - 286.3seconds, The mouse continues to drink the water while the camera watches.",
8,66,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in a cage with a small water droplet hanging from a spout. 18.7 - 109.2seconds, The mouse then grabs the drop with his tongue and drinks it. 109.2 - 286.1seconds, The mouse continues to do this several times while the camera watches.",
9,84,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in a cage with a droplet hanging above it. 18.7 - 109.2seconds, The mouse then grabs the droplet with his tongue and drinks it. 109.2 - 286.1seconds, The mouse continues to drink the water while the camera watches on.",
10,22, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 8.9 seconds: A water drop is placed on a metal spout. 9.0 - 27.9 seconds: The mouse uses its tongue to retrieve the water drop. 28.0 - 288.9 seconds: The mouse drinks the water. 
7. I am 100% confident in my results.", I am 100% confident in my results.
11,59, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 8.7 seconds: A water drop is placed on a metal spout. 9.0 - 18.3 seconds: The mouse lifts its paw and touches the water drop. 18.7 - 286.7 seconds: The mouse licks the water drop off of its paw. 
7. I am 100% confident in my results.", I am 100% confident in my results.
12,4, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0 - 87.9seconds, A close up of a mouse is seen sitting in a cage with a metal spout in front of it. 87.9 - 178.2seconds, The mouse then licks the water off the spout and drinks it. 178.2 - 286.1seconds, The mouse continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
13,41,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0 - 80.9seconds, A close up of a mouse is seen sitting in a cage with a metal spout in front of it. 80.9 - 176.5seconds, The mouse then grabs the water and drinks it. 176.5 - 286.2seconds, The mouse continues to drink the water while the camera watches.",
14,1, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 8.7 seconds: A mouse is seen sitting in a cage with its head fixed in place. 9.1 - 18.4 seconds: A metal rod is then shown dripping water. 18.8 - 286.4 seconds: The mouse then uses its tongue to lick the water off of the rod. 
7. I am 100% confident in my results.", I am 100% confident in my results.
15,75, Yes, No, Yes,0.0,f, Failed,"1. Yes
2. No
3. Yes
4. 0%
5. Failed
6. 0.0 - 8.9 seconds: A water drop is placed on a metal spout. 9.0 - 17.9 seconds: The mouse reaches out with its paw and grabs the drop. 18.0 - 286.9 seconds: The mouse drinks the water. 
7. I am 100% confident in my results.", I am 100% confident in my results.
16,16, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.9 seconds, The mouse is seen sitting in a cage with his head fixed and a small piece of food dangling above him. 18.9 - 71.3 seconds, The mouse then grabs the food with his mouth and begins to eat it. 71.3 - 111.3 seconds, The mouse continues to eat while looking back at the camera. 111.3 - 151.3 seconds, The mouse grabs the food again and eats it. 151.3 - 181.3 seconds, The mouse grabs the food one last time and eats it. 181.3 - 286.3 seconds, The mouse finishes eating and looks back at the camera.
7. I am 100% confident in my results.", I am 100% confident in my results.
17,51, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 1.8 seconds: A metal spout is seen dripping water. 1.9 - 17.4 seconds: A mouse is seen sitting in a cage. 18.5 - 286.5 seconds: The mouse reaches out and licks the water off of the spout. 
7. I am 100% confident in my results.", I am 100% confident in my results.
18,74,,,,,ucn,,,
19,54, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 19.8 seconds, The mouse is seen sitting in a cage with his head fixed and a small amount of water is dripping from a spout. 19.8 - 107.3 seconds, The mouse then uses his tongue to flick the water up and into his mouth. 107.3 - 286.2 seconds, The mouse continues to do this several times until the water is gone. 
7. 100%", 100%
20,78, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0 - 80.9 seconds, The mouse is seen sitting still and looking off into the distance. 80.9 - 170.2 seconds, A metal tool moves a water droplet closer to the mouse. 170.2 - 286.2 seconds, The mouse uses his tongue to lick up the water. 
7. I am 100% confident in my results.", I am 100% confident in my results.
21,39, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0 - 80.9 seconds, The mouse is seen sitting in a cage with its head fixed and a small water droplet hanging from a spout. 80.9 - 170.8 seconds, The mouse then uses his tongue to lick the droplet off of the spout. 170.8 - 286.4 seconds, The mouse continues licking until all of the water is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
22,62, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 8.7 seconds: A water drop is placed on a metal spout. 9.0 - 286.2 seconds: The mouse uses its tongue to lick the drop off of the spout and drink it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
23,29,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in a cage with a metal spout in front of it. 18.9 - 107.8seconds, The spout then drops a ball of water and the mouse grabs it with his mouth. 107.8 - 286.2seconds, The mouse then drinks the water while the camera watches.",
24,102,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 8.7seconds, A close up of a mouse is seen sitting in a cage. 10.9 - 190.1seconds, The mouse then grabs a water droplet with his tongue and drinks it. 192.3 - 286.2seconds, The mouse continues to drink the water while the camera watches.",
25,49, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0 - 80.9 seconds, The mouse is seen sitting still in a cage with his head fixed and a small water droplet hanging from a metal spout. 80.9 - 176.2 seconds, The mouse then uses his tongue to lick the droplet off of the spout. 176.2 - 286.1 seconds, The mouse continues licking the droplet until it is gone. 
7. 99%", 99%
26,68,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0 - 80.9seconds, A close up of a mouse is seen sitting in a cage with a metal spout in front of it. 80.9 - 179.1seconds, The mouse then licks the water off the spout and drinks it. 179.1 - 286.4seconds, The mouse continues to lick the spout over and over again.",
