Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with its tongue out. 19.4 - 110.2seconds, The mouse then grabs a water droplet and begins licking it. 110.9 - 286.4seconds, The mouse continues to lick the droplet while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,77, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.7seconds, A mouse is seen sitting in front of a spout with its tongue out. 29.4 - 171.2seconds, The mouse then grabs a water droplet and begins licking it. 171.9 - 286.7seconds, The mouse continues to lick the droplet while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
2,25, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 10.9 - 286.1seconds, The mouse then grabs a water droplet and drinks it all up. 
7. I am 100% confident in my results.", I am 100% confident in my results.
3,32, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 10.9 - 191.4seconds, The mouse then grabs a water drop and drinks it. 200.8 - 286.1seconds, The mouse continues to drink the water while the camera watches.
7. I am 100% confident in my results.", I am 100% confident in my results.
4,18, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 19.4 - 100.2seconds, The mouse then uses his tongue to lick the water off and drink it. 101.6 - 286.6seconds, The mouse continues drinking the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
5,33, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 19.4 - 110.3seconds, The mouse then uses his tongue to lick the water off the spout. 111.0 - 286.4seconds, He continues licking until he has no more water. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,67,,,,,ucn,,,
7,66, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 10.9 - 19.1seconds, The mouse then grabs a hold of the water and drinks it. 19.1 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
8,84,,,,,ucn,,,
9,22, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 8.7seconds, A mouse is seen sitting in front of a spout with its tongue out. 9.1 - 179.2seconds, The mouse then grabs a water droplet and drinks it. 181.4 - 286.1seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
10,59, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 19.8: The mouse is shown waiting for a water drop to be delivered. 19.8 - 27.5: The mouse grabs the water drop with its paw and brings it to its mouth. 27.5 - 285.8: The mouse drinks the water drop.
7. I am 100% confident in my results.", I am 100% confident in my results.
11,4,,,,,ucn,,,
12,41, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 19.2 - 111.2seconds, The mouse then grabs a water droplet and drinks it. 114.4 - 286.3seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
13,1, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 19.2 - 110.2seconds, The mouse then grabs a water droplet and begins to drink. 112.6 - 286.6seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
14,75, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 19.2 - 111.7seconds, The mouse then grabs a water droplet and attempts to drink it. 113.1 - 286.6seconds, The mouse continues to grab the water and eat it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
15,16, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 17.9 - 111.2seconds, The mouse then grabs a water droplet and begins licking it. 111.2 - 286.1seconds, The mouse continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
16,37,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 18.5 - 111.6seconds, The mouse then attempts to grab the water drop but fails. 113.2 - 286.2seconds, The mouse continues to try and grab the water but ends up not getting any.",
17,74,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 18.7 - 119.2seconds, The mouse then uses his tongue to grab the water and drink it. 119.2 - 286.1seconds, The mouse continues to do this over and over again.",
18,54,,,,,ucn,,,
19,78, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 19.2 - 111.7seconds, The mouse then grabs a water drop and drinks it. 113.1 - 286.3seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
20,82, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 87.9seconds, A mouse is seen sitting in front of a spout with its tongue out and paw up. 87.9 - 172.3seconds, The mouse then grabs the water droplet and begins to drink. 172.3 - 286.2seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
21,39, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 17.8 - 110.4seconds, The mouse then grabs a water droplet and drinks it. 110.4 - 286.3seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
22,62, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 17.8 seconds, The mouse is sitting in a chair licking it's nose. 17.8 - 29.0 seconds, A water droplet is placed on a spout. 29.0 - 286.2 seconds, The mouse uses its paw to grab the droplet and drink it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
