,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence,avg_mse,min_mse,max_mse,avg_psnr,min_psnr,max_psnr
0,0,28, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.  
6. 0:00 - 1:20: The mouse remains stationary with its head fixed, paws resting on the platform, and no water drop visible.  
1:21 - 1:25: The water drop appears on the spout, and the mouse begins to move its right paw toward the spout.  
1:26 - 1:30: The mouse's right paw reaches the spout and makes contact with the water drop.  
1:31 - 1:35: The mouse attempts to lick the water drop with its tongue, but the tongue does not make physical contact with the drop.  
1:36 - 4:45: The mouse continues to attempt to lick the water drop, but the tongue does not make contact, and the water drop remains on the spout.  
7. 95%", 95%,134.56358154490698,122.6020777027027,149.40113801301302,26.846583716961877,26.38726455283513,27.245825307575128
1,1,25, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained attached to the spout throughout the trial, and no retrieval occurred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained attached to the spout throughout the trial, and no retrieval occurred.  
6. 0:00 - 1:28: The mouse is stationary, with both paws on the surface and no movement toward the spout.  
1:29 - 1:35: The mouse lifts its right paw and moves it toward the spout, but the paw does not make contact with the water drop.  
1:36 - 4:45: The mouse retracts its paw and remains in a stationary position, with no further interaction with the spout or water drop.  
7. 95%", 95%,136.8038539293604,125.378130005005,159.80346971971971,26.77619423072318,26.09494156204275,27.1485857275023
2,2,27,,,,,f,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not physically touch the water drop with its tongue or paw. The water drop remained attached to the spout throughout the trial, and no interaction occurred between the mouse and the drop. The mouse made no attempt to reach or retrieve the water, and no water was consumed.  
6. 0:00 - 0:30: Mouse is head-fixed, paws resting on the surface, no movement toward the spout.  
0:30 - 1:00: Mouse remains stationary, no paw or tongue movement observed.  
1:00 - 1:30: Mouse slightly shifts its head but does not extend its paw or tongue toward the water drop.  
1:30 - 2:00: Water drop is visible on the spout, no contact from the mouse.  
2:00 - 2:30: Mouse remains in place, no interaction with the water drop.  
2:30 - 3:00: Water drop remains on the spout, no change in position or interaction.  
3:00 - 3:30: Mouse continues to remain still, no paw or tongue movement.  
3:30 - 4:00: No change observed in the mouse's behavior or the water drop's position.  
4:00 - 4:30: Mouse remains head-fixed, no attempt to reach the water.  
4:30 - 5:00: Water drop still attached to the spout, no interaction.  
5:00 - 5:30: Mouse remains motionless, no physical contact with the water drop.  
5:30 - 6:00: No change observed in the mouse's posture or the water drop.  
6:00 - 6:30: Water drop remains on the spout, no interaction.  
6:30 - 7:00: Mouse continues to remain still, no movement toward the spout.  
7:00 - 7:30: No change observed in the mouse's behavior.  
7:30 - 8:00: Water drop still attached, no interaction.  
8:00 - 8:30: Mouse remains in the same position, no paw or tongue movement.  
8:30 - 9:00: No change observed in the mouse's posture.  
9:00 - 9:30: Water drop remains on the spout, no contact.  
9:30 - 10:00: Mouse remains motionless, no attempt to retrieve water.  
10:00 - 10:30: No interaction observed between the mouse and the water drop.  
10:30 - 11:00: Water drop still attached, no change in position.  
11:00 - 11:30: Mouse remains stationary, no movement toward the spout.  
11:30 - 12:00: No change observed in the mouse's behavior.  
12:00 - 12:30: Water drop remains on the spout, no interaction.  
12:30 - 13:00: Mouse remains in place, no physical contact with the water.  
13:00 - 13:30: No change observed in the mouse's posture.  
13:30 - 14:00: Water drop still attached, no interaction.  
14:00 - 14:30: Mouse remains motionless, no attempt to retrieve water.  
14:30 - 15:00: No interaction observed between the mouse and the water drop.  
15:00 - 15:30: Water drop remains on the spout, no change in position.  
15:30 - 16:00: Mouse remains stationary, no movement toward the spout.  
16:00 - 16:30: No change observed in the mouse's behavior.  
16:30 - 17:00: Water drop still attached, no interaction.  
17:00 - 17:30: Mouse remains in the same position, no paw or tongue movement.  
17:30 - 18:00: No change observed in the mouse's posture.  
18:00 - 18:30: Water drop remains on the spout, no contact.  
18:30 - 19:00: Mouse remains motionless, no attempt to retrieve water.  
19:00 - 1",,132.55813700554,117.7084084084084,160.0483270770771,26.915892713670708,26.088292218753644,27.42272873428544
3,3,32, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained attached to the spout throughout the trial, and no retrieval occurred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained attached to the spout throughout the trial, and no retrieval occurred.  
6. 0:00 - 0:50: The mouse is positioned in the apparatus, head fixed, with no movement of the right paw or tongue.  
0:50 - 1:00: The water drop appears on the spout, remaining attached.  
1:00 - 4:45: The mouse remains stationary; no paw movement toward the spout or tongue contact with the water drop is observed.  
7. 95%", 95%,134.27740211116287,120.6280711961962,154.99963838838838,26.859355390338614,26.22749675898333,27.31631977217977
4,4,18, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.  
6. 0:00 - 1:40: Mouse remains stationary with both paws on the surface, head fixed, no movement toward the spout.  
1:41 - 2:00: Mouse lifts its right paw and moves it toward the spout, but the water drop is not visible.  
2:01 - 2:10: Right paw makes contact with the spout, but no water drop is seen on the spout or being transferred.  
2:11 - 2:20: Mouse retracts its paw without any visible water transfer.  
2:21 - 4:45: Mouse remains in place, no further movement or interaction with the spout.  
7. 95%", 95%,138.87647245305652,121.73567317317315,159.5287124624625,26.712359566292783,26.102415007989865,27.276624992190264
5,5,33, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout. The water drop remained attached to the spout throughout the trial, and no retrieval occurred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not reach the spout. The water drop remained attached to the spout throughout the trial, and no retrieval occurred.  
6. 0:00 - 1:38: Mouse remains stationary with paws on the surface, no movement toward the spout.  
1:39 - 2:00: Mouse lifts its right paw and moves it toward the spout, but does not make contact with the water drop.  
2:01 - 4:44: Mouse continues to hold its right paw near the spout but does not touch the water drop. The tongue remains retracted and does not make contact with the drop.  
7. 95%", 95%,135.24410550636844,120.10662537537536,154.17166166166166,26.827180706787203,26.250758076133543,27.335133960578155
6,6,61, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or transferred.  
6. 0:00 - 1:50: The mouse remains stationary with both paws on the surface, head fixed, and no water drop visible.  
   1:51 - 2:00: The water drop appears on the spout, and the mouse remains still.  
   2:01 - 2:10: The mouse lifts its right paw and moves it toward the spout, but the paw does not make contact with the water drop.  
   2:11 - 2:20: The mouse retracts its paw without touching the drop.  
   2:21 - 4:45: The mouse remains in place, with no further movement toward the spout or any indication of water consumption.  
7. 95%", 95%,136.16697911273343,118.88501251251252,154.78396834334333,26.798977231575403,26.233543839821195,27.379532530396347
7,7,67, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or retrieved.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or retrieved.  
6. 0:00 - 4:45: The mouse remains stationary with its head fixed, paws on the surface, and no movement toward the spout. The water drop is visible on the spout but remains attached. No tongue or paw movement occurs.  
7. 95%", 95%,146.51493847295572,129.76105855855857,156.30864614614617,26.47722439066527,26.190973593701138,26.99935981119621
8,8,66, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The right paw did not move toward the spout, and the tongue did not touch the drop. There is no visual evidence of any water being consumed or displaced.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The right paw did not move toward the spout, and the tongue did not touch the drop. There is no visual evidence of any water being consumed or displaced.  
6. 0:00 - 4:45: The mouse remains stationary with its head fixed. The water drop is visible on the spout but does not move. No paw or tongue movement occurs toward the drop.  
7. 95%", 95%,144.74338384720923,136.68655092592593,155.55566253753753,26.527923072150266,26.21194535946843,26.77354575970893
9,9,4, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The right paw did not move toward the spout, and the tongue did not touch the drop. There was no observable transfer of water to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The right paw did not move toward the spout, and the tongue did not touch the drop. There was no observable transfer of water to the mouth.  
6. 0:00 - 1:25: Mouse remains stationary with both paws on the surface, head fixed, no movement toward the spout.  
1:26 - 1:30: Mouse lifts its right paw and moves it toward the spout, but the paw does not make contact with the water drop.  
1:31 - 1:35: Mouse retracts its right paw without any contact with the water drop.  
1:36 - 4:45: Mouse remains stationary, no further movement or interaction with the spout.  
7. 95%", 95%,139.9365935655483,128.20916228728728,155.6180223973974,26.675708541703862,26.210204688923127,27.05161298332338
