,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence,avg_mse,min_mse,max_mse,avg_psnr,min_psnr,max_psnr
0,0,25, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely. There is no evidence of spillage or incomplete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely. There is no evidence of spillage or incomplete retrieval.  
6. 0:00 - 0:55: The mouse is stationary, head fixed, with no movement of the right paw or tongue.  
   0:56 - 1:05: The water drop forms and remains attached to the spout.  
   1:06 - 1:10: The mouse's right paw lifts and moves toward the water drop.  
   1:11 - 1:15: The right paw makes contact with the water drop, and the mouse begins to bring it toward its mouth.  
   1:16 - 4:45: The mouse uses its right paw to hold the water drop near its mouth, and the tongue repeatedly makes contact with the drop, consuming it entirely.  
7. 95%", 95%,5.744900752045148,4.669019644644645,7.791017267267267,40.568407154363165,39.21486193989029,41.43854659662995
1,1,27, Yes, Yes, Yes,90.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse extended its right paw to the spout, made contact with the water drop, and brought it to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the majority of the drop, with only a small amount remaining on the spout.","1. Yes  
2. Yes  
3. Yes  
4. 90%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse extended its right paw to the spout, made contact with the water drop, and brought it to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the majority of the drop, with only a small amount remaining on the spout.  
6. 0:00 - 1:05: The mouse is stationary, with its paws resting on the surface.  
1:06 - 1:10: The water drop forms and remains attached to the spout.  
1:11 - 1:15: The mouse extends its right paw toward the spout.  
1:16 - 1:20: The mouse's paw makes contact with the water drop, and the drop begins to move.  
1:21 - 1:25: The mouse brings the water drop closer to its mouth.  
1:26 - 1:30: The mouse's tongue makes contact with the water drop, and it begins to drink.  
1:31 - 1:35: The mouse continues to drink, consuming most of the water drop.  
1:36 - 1:40: The mouse finishes drinking, and the remaining water is minimal.  
1:41 - 4:40: The mouse remains in place, with no further significant movement.  
7. 95%", 95%,6.018541483293638,4.988633008008008,7.643464714714715,40.35889530991704,39.29790095826856,41.15098804906164
2,2,32, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating full consumption.  
6. 0:00 - 2:00: The mouse remains stationary, with the water drop attached to the spout.  
2:00 - 2:10: The mouse's right paw lifts and moves toward the water drop.  
2:10 - 2:20: The mouse's right paw touches the water drop, and the tongue makes contact with the water.  
2:20 - 2:30: The mouse drinks the water, and the water drop is fully consumed.  
2:30 - 2:40: The mouse returns to a stationary position.  
7. 95%", 95%,6.089070190880535,4.168237612612613,9.36877002002002,40.356309339378456,38.41397782635536,41.9312789268174
3,3,18, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made clear physical contact with the drop, consuming it entirely.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made clear physical contact with the drop, consuming it entirely.  
6. 0:00 - 0:50: The mouse remains stationary, with its paws resting.  
   0:50 - 1:00: The water drop forms on the spout.  
   1:00 - 1:10: The mouse's right paw lifts and moves toward the water drop.  
   1:10 - 1:20: The right paw makes contact with the water drop, and the mouse begins to bring it toward its mouth.  
   1:20 - 1:30: The mouse's tongue makes contact with the water drop, and the mouse begins to lick it.  
   1:30 - 4:45: The mouse continues to lick the water drop, consuming it entirely.  
7. 95%", 95%,5.930121144851749,4.247919794794795,8.820115740740741,40.454721784618656,38.67606076729829,41.849040526548734
4,4,4, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.  
6. 0:00 - 0:05: The mouse is positioned in front of the spout, with its head fixed.  
0:06 - 0:10: The water drop forms on the spout.  
0:11 - 0:15: The mouse extends its right paw toward the spout.  
0:16 - 0:20: The mouse's paw touches the water drop, but the drop remains attached to the spout.  
0:21 - 0:25: The mouse retracts its paw without bringing the drop to its mouth.  
0:26 - 0:30: The mouse attempts to lick the spout, but the tongue does not make contact with the water drop.  
0:31 - 0:35: The mouse continues to attempt to reach the water drop with its paw, but no contact is made.  
0:36 - 0:40: The water drop remains on the spout, and the mouse does not retrieve it.  
7. 95%", 95%,5.886223529564046,4.534261761761762,8.61654466966967,40.48638702157218,38.77747217054828,41.56573772645291
5,5,1,,,,,f,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not reach the spout to bring the drop to the mouth. The water drop remained on the spout throughout the trial, and no evidence of consumption or retrieval was observed.  
6. 0:00 - 0:50: The mouse is positioned in the apparatus, with its head fixed and paws resting. The water drop is visible on the spout.  
0:50 - 1:00: The mouse begins to move its right paw toward the spout.  
1:00 - 1:10: The mouse's right paw approaches the spout but does not make contact with the water drop.  
1:10 - 1:20: The mouse retracts its paw without touching the drop.  
1:20 - 1:30: The mouse attempts to reach the drop again, but the paw does not make contact.  
1:30 - 1:40: The mouse continues to attempt reaching the drop, but the paw remains at a distance.  
1:40 - 2:00: The mouse's paw moves closer but still does not touch the water drop.  
2:00 - 2:10: The mouse retracts its paw, and the water drop remains on the spout.  
2:10 - 2:20: The mouse attempts to reach the drop again, but the paw does not make contact.  
2:20 - 2:30: The mouse retracts its paw, and the water drop remains on the spout.  
2:30 - 2:40: The mouse continues to attempt reaching the drop, but the paw does not make contact.  
2:40 - 2:50: The mouse retracts its paw, and the water drop remains on the spout.  
2:50 - 3:00: The mouse attempts to reach the drop again, but the paw does not make contact.  
3:00 - 3:10: The mouse retracts its paw, and the water drop remains on the spout.  
3:10 - 3:20: The mouse continues to attempt reaching the drop, but the paw does not make contact.  
3:20 - 3:30: The mouse retracts its paw, and the water drop remains on the spout.  
3:30 - 3:40: The mouse attempts to reach the drop again, but the paw does not make contact.  
3:40 - 3:50: The mouse retracts its paw, and the water drop remains on the spout.  
3:50 - 4:00: The mouse continues to attempt reaching the drop, but the paw does not make contact.  
4:00 - 4:10: The mouse retracts its paw, and the water drop remains on the spout.  
4:10 - 4:20: The mouse attempts to reach the drop again, but the paw does not make contact.  
4:20 - 4:30: The mouse retracts its paw, and the water drop remains on the spout.  
4:30 - 4:40: The mouse continues to attempt reaching the drop, but the paw does not make contact.  
4:40 - 4:50: The mouse retracts its paw, and the water drop remains on the spout.  
4:50 - 5:00: The mouse attempts to reach the drop again, but the paw does not make contact.  
5:00 - 5:10: The mouse retracts its paw, and the water drop remains on the spout.  
5:10 - 5:20: The mouse continues to attempt reaching the drop, but the paw does not make contact.  
5:20 - 5:30: The mouse retracts its paw, and the water drop remains on the spout.  
5:30 - 5:40: The mouse attempts to reach the drop again, but the paw does not make contact.  
5:40 - 5:50: The mouse retracts its paw, and the water drop remains on the spout.  
5:50 - 6:00: The mouse continues to attempt reaching the drop, but the paw does not make contact.  
6:00 - 6:10: The mouse retracts its paw, and the water drop remains on the spout.  
6:10 -",,5.67209387188913,4.569348098098098,7.117783408408409,40.62845200186536,39.60735592424053,41.53226116507851
6,6,16, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or retrieved.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the right paw did not move toward the spout to bring the drop to the mouth. There is no visual evidence of any water being consumed or retrieved.  
6. 0:00 - 0:50: The mouse remains stationary with its head fixed, and the water drop is visible on the spout.  
0:50 - 1:00: The mouse extends its right paw toward the spout but does not touch the water drop.  
1:00 - 1:10: The mouse retracts its paw without making contact with the water drop.  
1:10 - 4:45: The mouse continues to remain in place, with no further attempts to reach the water drop.  
7. 95%", 95%,5.901452778209244,4.548320195195196,8.301260635635636,40.47976188673419,38.93936311199398,41.55229330069559
7,7,29, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse extended its right paw, made contact with the water drop, and brought it to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the entire drop, as evidenced by the complete disappearance of the drop and the absence of any remaining water on the spout or in the mouse's mouth.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse extended its right paw, made contact with the water drop, and brought it to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the entire drop, as evidenced by the complete disappearance of the drop and the absence of any remaining water on the spout or in the mouse's mouth.  
6. 0:00 - 1:00: The mouse is stationary, head fixed, with no visible movement of the paw or tongue.  
1:00 - 1:10: The water drop forms and remains attached to the spout.  
1:10 - 1:20: The mouse extends its right paw toward the water drop.  
1:20 - 1:30: The right paw makes contact with the water drop, and the drop is dislodged.  
1:30 - 1:40: The mouse brings the water drop to its mouth, and the tongue makes contact with the water.  
1:40 - 2:00: The mouse consumes the water drop, with no visible remnants remaining.  
2:00 - 4:40: The mouse remains stationary, with no further interaction with the spout or water.  
7. 95%", 95%,6.041455852404129,4.45802927927928,8.25685623123123,40.35624276262875,38.96265638162095,41.63937444371142
8,8,36, Yes, Yes, Yes,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse extended its right paw, made contact with the water drop, and brought it to its mouth. The tongue then made physical contact with the water, and the mouse consumed the entire drop. There is no evidence of spillage or incomplete retrieval.","1. Yes  
2. Yes  
3. Yes  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse extended its right paw, made contact with the water drop, and brought it to its mouth. The tongue then made physical contact with the water, and the mouse consumed the entire drop. There is no evidence of spillage or incomplete retrieval.  
6. 0:00 - 1:40: The mouse remains stationary, with the water drop attached to the spout.  
1:41 - 2:00: The mouse extends its right paw toward the water drop.  
2:01 - 2:10: The mouse's paw makes contact with the water drop, and the drop is dislodged.  
2:11 - 2:30: The mouse brings the water drop to its mouth and begins to lick it.  
2:31 - 3:00: The mouse continues to lick the water drop, consuming it entirely.  
3:01 - 4:40: The mouse finishes drinking, and the water drop is no longer visible.  
7. 95%", 95%,5.874196049497774,4.511800550550551,7.991083583583584,40.47235090522058,39.10474687628574,41.58730467966616
9,9,17, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed.  
6. 0:00 - 0:58: The mouse is stationary, with no movement of the paws or tongue.  
0:59 - 1:02: The water drop forms on the spout.  
1:03 - 1:05: The water drop remains attached to the spout.  
1:06 - 1:10: The mouse lifts its right paw toward the spout.  
1:11 - 1:15: The mouse's right paw touches the water drop, but the drop does not transfer to the paw.  
1:16 - 1:20: The mouse attempts to lick the water drop, but the tongue does not make contact.  
1:21 - 4:45: The mouse continues to attempt to drink, but no water is consumed.  
7. 95%", 95%,6.037995085602845,4.671378253253253,7.24121559059059,40.35468446541078,39.53268883072467,41.4363532623916
