,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence,avg_mse,min_mse,max_mse,avg_psnr,min_psnr,max_psnr
0,0,28, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.  
6. 0:00 - 1:00: The mouse is stationary, with no movement of the paw or tongue.  
1:00 - 1:10: The mouse begins to move its right paw upward.  
1:10 - 1:20: The right paw approaches the spout but does not make contact with the water drop.  
1:20 - 1:30: The right paw retracts without touching the water drop.  
1:30 - 2:00: The mouse remains stationary, with no further movement of the paw or tongue.  
7. 95%", 95%,30.335382030737637,24.07660347847848,34.34365115115115,33.32373080909428,32.77233896760944,34.31485140516183
1,1,77, No, Yes, Yes,50.0,ps," Partial Success: The mouse retrieved some of the water (between 50% and 70%). The mouse successfully reached the water drop with its right paw and brought it close to its mouth, allowing it to drink. However, not all of the water was consumed, as some of it splashed or remained on the spout.","1. No  
2. Yes  
3. Yes  
4. 50%  
5. Partial Success: The mouse retrieved some of the water (between 50% and 70%). The mouse successfully reached the water drop with its right paw and brought it close to its mouth, allowing it to drink. However, not all of the water was consumed, as some of it splashed or remained on the spout.  
6. 0:00 - 1:10: The mouse is stationary, with its paws resting on the surface.  
1:10 - 1:20: The mouse extends its right paw towards the water drop.  
1:20 - 1:30: The mouse's paw makes contact with the water drop, and it begins to retrieve it.  
1:30 - 1:40: The mouse brings the water drop closer to its mouth and starts drinking.  
1:40 - 2:00: The mouse continues to drink, but some water splashes or remains on the spout.  
2:00 - 2:30: The mouse finishes drinking and returns its paw to the resting position.  
7. 85%", 85%,29.818462762331297,24.50944507007007,34.50372747747748,33.39585540720712,32.75214345926373,34.23746882571145
2,2,25, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout, and the mouse did not retrieve it.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout, and the mouse did not retrieve it.  
6. 0:00 - 1:00: The mouse is stationary, with no movement of the paws or tongue.  
1:00 - 1:05: The mouse lifts its right paw towards the spout.  
1:05 - 1:10: The mouse's right paw touches the water drop, but the drop does not detach.  
1:10 - 1:15: The mouse's right paw moves away from the spout without retrieving the water drop.  
1:15 - 1:20: The mouse remains stationary, with no further attempts to retrieve the water.  
7. 95%", 95%,30.3779285643402,25.91267454954955,34.91845658158158,33.31371202171516,32.70025321507803,33.995681203187814
3,3,27, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved by the mouse.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved by the mouse.  
6. 0:00 - 1:08: The mouse is stationary, with both paws resting on the platform.  
1:09 - 1:15: The mouse extends its right paw toward the spout, but the water drop is not visible.  
1:16 - 1:20: The water drop appears on the spout, and the mouse's right paw moves toward it.  
1:21 - 1:25: The mouse's right paw touches the water drop, but the drop does not detach.  
1:26 - 1:30: The mouse retracts its paw without retrieving the water drop.  
1:31 - 4:45: The mouse remains stationary, with no further attempts to retrieve the water drop.  
7. 95%", 95%,29.30454806099203,26.558400275275275,33.52895145145145,33.46712924072698,32.87660388887617,33.8887844877675
4,4,32, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made physical contact with the water drop, indicating successful consumption of the entire drop.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it close to its mouth, and the tongue made physical contact with the water drop, indicating successful consumption of the entire drop.
6. 0:00 - 1:18: The mouse is stationary, with its paws resting on the surface.
1:19 - 1:22: The water drop forms on the spout.
1:23 - 1:26: The mouse's right paw lifts and moves towards the water drop.
1:27 - 1:30: The mouse's right paw touches the water drop, and the drop is dislodged.
1:31 - 1:34: The mouse's right paw brings the water drop close to its mouth.
1:35 - 1:40: The mouse's tongue makes physical contact with the water drop, and the mouse begins to drink.
1:41 - 2:20: The mouse continues to drink the water drop, with the tongue making repeated contact.
2:21 - 4:45: The mouse finishes drinking, and the water drop is completely consumed.
7. 95%", 95%,31.085673539919227,25.00722847847848,35.356753003003,33.21342172913534,32.64607986247108,34.150147988135664
5,5,18, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.
6. 0:00 - 1:00: The mouse is positioned in the apparatus, with its head fixed and paws resting on the platform.
1:00 - 1:10: The water drop appears on the spout, and the mouse's right paw begins to move towards it.
1:10 - 1:20: The mouse's right paw reaches the water drop, and the tongue extends to make contact with the water.
1:20 - 1:30: The mouse begins to lick the water drop, and the tongue continues to make contact with the water.
1:30 - 2:00: The mouse continues to lick the water drop, and the tongue remains in contact with the water.
2:00 - 2:30: The mouse finishes licking the water drop, and the tongue retracts.
2:30 - 2:40: The mouse's right paw remains on the platform, and the tongue is no longer in contact with the water.
7. 95%", 95%,30.198938259380068,25.545804554554557,33.94248435935936,33.339113504810136,32.82336734316006,34.0576077570905
6,6,33, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved by the mouse.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout and was not retrieved by the mouse.  
6. 0:00 - 0:45: The mouse is stationary, with its head fixed and paws resting on the platform.  
0:46 - 1:00: The mouse lifts its right paw and reaches toward the spout.  
1:01 - 1:10: The mouse's right paw makes contact with the water drop, but the drop remains attached to the spout.  
1:11 - 1:20: The mouse attempts to bring the water drop closer to its mouth but fails to detach it.  
1:21 - 1:30: The mouse continues to manipulate the water drop with its paw but does not succeed in retrieving it.  
1:31 - 1:40: The mouse retracts its paw, and the water drop remains on the spout.  
1:41 - 2:00: The mouse remains stationary, with no further attempts to retrieve the water drop.  
7. 95%", 95%,30.292394625228678,21.77078641141141,35.512152152152154,33.33110321215388,32.62703368107794,34.75206243817266
7,7,61, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the mouse brought the water drop close to its mouth. The mouse's tongue made physical contact with the water drop, and the mouse consumed the entire water drop.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the mouse brought the water drop close to its mouth. The mouse's tongue made physical contact with the water drop, and the mouse consumed the entire water drop.
6. 0:00 - 1:05: The mouse is stationary, with its paws resting on the surface.
1:06 - 1:10: The water drop appears on the spout.
1:11 - 1:15: The mouse's right paw lifts off the surface and moves towards the spout.
1:16 - 1:20: The mouse's right paw touches the water drop.
1:21 - 1:25: The mouse's right paw brings the water drop close to its mouth.
1:26 - 1:30: The mouse's tongue makes physical contact with the water drop.
1:31 - 4:45: The mouse consumes the entire water drop.
7. 95%", 95%,29.77874519994132,26.36545232732733,34.93034597097097,33.398389391211055,32.69877473697498,33.92045134353579
8,8,67, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the mouse used its tongue to lick the water from its paw, indicating that it consumed the entire water drop.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the mouse used its tongue to lick the water from its paw, indicating that it consumed the entire water drop.
6. 0:00 - 1:00: The mouse is stationary, with its paws resting on the surface.
1:00 - 1:20: The water drop appears on the spout.
1:20 - 1:40: The mouse extends its right paw towards the water drop.
1:40 - 2:00: The mouse's right paw touches the water drop, and the water adheres to the paw.
2:00 - 2:20: The mouse brings its paw to its mouth and begins to lick the water.
2:20 - 3:00: The mouse continues to lick the water from its paw, consuming the entire drop.
3:00 - 3:40: The mouse finishes drinking and returns its paw to the resting position.
7. 95%", 95%,28.32402349547824,24.33768581081081,31.59997997997998,33.616163580295066,33.13393553394664,34.26801080621208
9,9,66,,,,,f,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not physically touch the water drop with its tongue or paw. The water drop remained attached to the spout and was not retrieved. There was no observable consumption of the water drop.  
6. 0:00 - 1:00: The mouse is stationary, with its head fixed and paws resting on the platform.  
1:00 - 1:20: The water drop appears on the spout, and the mouse remains still.  
1:20 - 1:40: The mouse lifts its right paw slightly but does not reach the water drop.  
1:40 - 2:00: The mouse lowers its paw and remains stationary.  
2:00 - 2:20: The mouse lifts its right paw again but does not make contact with the water drop.  
2:20 - 2:40: The mouse lowers its paw and remains still.  
2:40 - 3:00: The mouse lifts its right paw once more but does not touch the water drop.  
3:00 - 3:20: The mouse lowers its paw and remains stationary.  
3:20 - 3:40: The mouse lifts its right paw slightly but does not reach the water drop.  
3:40 - 4:00: The mouse lowers its paw and remains still.  
4:00 - 4:20: The mouse lifts its right paw again but does not make contact with the water drop.  
4:20 - 4:40: The mouse lowers its paw and remains stationary.  
4:40 - 5:00: The mouse lifts its right paw once more but does not touch the water drop.  
5:00 - 5:20: The mouse lowers its paw and remains still.  
5:20 - 5:40: The mouse lifts its right paw slightly but does not reach the water drop.  
5:40 - 6:00: The mouse lowers its paw and remains stationary.  
6:00 - 6:20: The mouse lifts its right paw again but does not make contact with the water drop.  
6:20 - 6:40: The mouse lowers its paw and remains still.  
6:40 - 7:00: The mouse lifts its right paw once more but does not touch the water drop.  
7:00 - 7:20: The mouse lowers its paw and remains stationary.  
7:20 - 7:40: The mouse lifts its right paw slightly but does not reach the water drop.  
7:40 - 8:00: The mouse lowers its paw and remains still.  
8:00 - 8:20: The mouse lifts its right paw again but does not make contact with the water drop.  
8:20 - 8:40: The mouse lowers its paw and remains stationary.  
8:40 - 9:00: The mouse lifts its right paw once more but does not touch the water drop.  
9:00 - 9:20: The mouse lowers its paw and remains still.  
9:20 - 9:40: The mouse lifts its right paw slightly but does not reach the water drop.  
9:40 - 10:00: The mouse lowers its paw and remains stationary.  
10:00 - 10:20: The mouse lifts its right paw again but does not make contact with the water drop.  
10:20 - 10:40: The mouse lowers its paw and remains still.  
10:40 - 11:00: The mouse lifts its right paw once more but does not touch the water drop.  
11:00 - 11:20: The mouse lowers its paw and remains stationary.  
11:20 - 11:40: The mouse lifts its right paw slightly but does not reach the water drop.  
11:40 - 12:00: The mouse lowers its paw and remains still.  
12:00 - 12:20: The mouse lifts its right paw again but does not make contact with the water drop.  
12:20 - 12:40: The mouse lowers its paw and remains stationary.  
12:40 - 13:00: The mouse lifts its right paw once more but does not touch the water drop.  
13:00 - ",,29.946468300196745,22.31104291791792,34.606698573573574,33.379447593589695,32.73920190630933,34.64560489243392
