,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence,avg_mse,min_mse,max_mse,avg_psnr,min_psnr,max_psnr
0,0,28, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, indicating full consumption. The drop was fully transferred to the mouth and consumed without spillage.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, indicating full consumption. The drop was fully transferred to the mouth and consumed without spillage.  
6. 0:00 - 1:00: Mouse remains stationary with paws on the surface.  
1:00 - 1:10: Mouse lifts its right paw toward the spout.  
1:10 - 1:20: Water drop is visible on the spout, and the mouse's paw approaches it.  
1:20 - 1:30: Mouse's paw touches the water drop, and the drop adheres to the paw.  
1:30 - 1:40: Mouse brings the paw to its mouth, and the tongue makes contact with the water drop.  
1:40 - 2:00: Mouse consumes the water drop, with no spillage observed.  
2:00 - 2:10: Mouse continues to lick the paw, ensuring all water is consumed.  
7. 95%", 95%,22.26770826861344,19.631488988988988,25.45312625125125,34.66287711052027,34.07339229193788,35.201271200973835
1,1,77, No, Yes, No,0.0,s," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained attached to the spout, and the mouse did not successfully retrieve it.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained attached to the spout, and the mouse did not successfully retrieve it.  
6. 0:00 - 1:30: The mouse is stationary with both paws on the surface.  
1:30 - 2:00: The mouse lifts its right paw and moves it toward the spout.  
2:00 - 2:30: The mouse's right paw approaches the water drop but does not make contact.  
2:30 - 3:00: The mouse's right paw remains near the spout but does not touch the water drop.  
3:00 - 4:00: The mouse's right paw moves away from the spout without retrieving the water drop.  
7. 95%", 95%,21.67611535026406,19.44674486986987,24.7704466966967,34.77787992301192,34.19146522382145,35.242334443251025
2,2,25, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained attached to the spout, and no retrieval occurred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained attached to the spout, and no retrieval occurred.  
6. 0:00 - 1:30: Mouse remains stationary with both paws on the surface.  
1:31 - 1:40: Mouse lifts its right paw and moves it toward the spout.  
1:41 - 2:00: Mouse's right paw makes contact with the water drop, but the tongue does not touch the drop.  
2:01 - 4:45: Mouse continues to hold the water drop with its right paw but does not bring it to its mouth.  
4:46 - 4:50: Mouse releases the water drop, which remains on the spout.  
7. 95%", 95%,23.22987754996376,20.35500688188188,26.310346596596595,34.47521976098168,33.9295379161163,35.04409107320617
3,3,27, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made clear contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made clear contact with the water, indicating full consumption.  
6. 0:00 - 1:20: The mouse is stationary, with both paws on the surface.  
1:20 - 1:40: The mouse lifts its right paw and moves it toward the spout.  
1:40 - 2:00: The right paw makes contact with the water drop.  
2:00 - 2:20: The mouse brings the water drop close to its mouth.  
2:20 - 2:40: The tongue extends and makes contact with the water drop.  
2:40 - 4:40: The mouse consumes the water drop.  
7. 95%", 95%,23.14872565453384,19.767743993993992,27.707991741741743,34.495541005510724,33.704753113428566,35.171232528524634
4,4,32, No, Yes, No,0.0,f," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.  
6. 0:00 - 1:30: The mouse is stationary with both paws on the surface.  
1:30 - 1:40: The mouse lifts its right paw and moves it toward the spout.  
1:40 - 2:00: The mouse's right paw touches the water drop, but the drop does not detach.  
2:00 - 2:10: The mouse attempts to lick the water drop with its tongue, but the tongue does not make contact.  
2:10 - 4:45: The mouse continues to attempt to lick the water drop, but no physical contact is made.  
7. 95%", 95%,22.848789123174903,20.19108546046046,25.15105105105105,34.54765696036932,34.12524222126708,35.07920693889763
5,5,18, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the water drop was fully consumed. The mouse's tongue made physical contact with the water drop, and the entire drop was consumed.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse's right paw reached the water drop on the spout, and the water drop was fully consumed. The mouse's tongue made physical contact with the water drop, and the entire drop was consumed.  
6. 0:00 - 1:10: The mouse is stationary with both paws on the surface.  
1:10 - 1:20: The mouse's right paw lifts and moves toward the spout.  
1:20 - 1:30: The mouse's right paw touches the water drop on the spout.  
1:30 - 1:40: The mouse's tongue makes contact with the water drop.  
1:40 - 2:00: The mouse consumes the water drop.  
2:00 - 2:10: The mouse's right paw returns to the surface.  
7. 95%", 95%,21.057001408736323,18.91851539039039,24.57199637137137,34.90812333829353,34.22639918354094,35.36193308244996
6,6,33,,,,,f,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no visual evidence of water being consumed or transferred.  
6. 0:00 - 1:40: Mouse remains stationary with both paws on the surface.  
1:41 - 2:00: Mouse lifts its right paw and moves it toward the spout.  
2:01 - 2:10: Right paw makes contact with the water drop on the spout.  
2:11 - 2:20: Water drop is dislodged and held by the paw.  
2:21 - 2:30: Mouse attempts to bring the water drop to its mouth using the paw.  
2:31 - 2:40: Water drop is released from the paw and falls back onto the spout.  
2:41 - 3:00: Mouse continues to attempt to retrieve the water drop with its paw.  
3:01 - 3:20: Mouse lifts its head slightly but does not make contact with the water drop.  
3:21 - 3:40: Mouse lowers its head and continues to attempt to retrieve the water drop.  
3:41 - 4:00: Mouse lifts its right paw again and attempts to touch the water drop.  
4:01 - 4:20: Water drop is dislodged again and held by the paw.  
4:21 - 4:40: Mouse attempts to bring the water drop to its mouth using the paw.  
4:41 - 5:00: Water drop is released from the paw and falls back onto the spout.  
5:01 - 5:20: Mouse continues to attempt to retrieve the water drop with its paw.  
5:21 - 5:40: Mouse lifts its head slightly but does not make contact with the water drop.  
5:41 - 6:00: Mouse lowers its head and continues to attempt to retrieve the water drop.  
6:01 - 6:20: Mouse lifts its right paw again and attempts to touch the water drop.  
6:21 - 6:40: Water drop is dislodged again and held by the paw.  
6:41 - 7:00: Mouse attempts to bring the water drop to its mouth using the paw.  
7:01 - 7:20: Water drop is released from the paw and falls back onto the spout.  
7:21 - 7:40: Mouse continues to attempt to retrieve the water drop with its paw.  
7:41 - 8:00: Mouse lifts its head slightly but does not make contact with the water drop.  
8:01 - 8:20: Mouse lowers its head and continues to attempt to retrieve the water drop.  
8:21 - 8:40: Mouse lifts its right paw again and attempts to touch the water drop.  
8:41 - 9:00: Water drop is dislodged again and held by the paw.  
9:01 - 9:20: Mouse attempts to bring the water drop to its mouth using the paw.  
9:21 - 9:40: Water drop is released from the paw and falls back onto the spout.  
9:41 - 10:00: Mouse continues to attempt to retrieve the water drop with its paw.  
10:01 - 10:20: Mouse lifts its head slightly but does not make contact with the water drop.  
10:21 - 10:40: Mouse lowers its head and continues to attempt to retrieve the water drop.  
10:41 - 11:00: Mouse lifts its right paw again and attempts to touch the water drop.  
11:01 - 11:20: Water drop is dislodged again and held by the paw.  
11:21 - 11:40: Mouse attempts to bring the water drop to its mouth using the paw.  
11:41 - 12:00: Water drop is released from the paw and falls back onto the spout.  
12:01 - 12:20: Mouse continues to attempt to retrieve the water drop with its paw.  
12:21 - 12:40: Mouse lifts its head slightly but does not make contact with the water drop.  
1",,22.24150240757999,19.697956706706705,26.16076514014014,34.667744403474735,33.95429918949577,35.186591822710724
7,7,61, No, Yes, No,0.0,s," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout, and the mouse did not successfully retrieve it.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout, and the mouse did not successfully retrieve it.  
6. 0:00 - 1:58: The mouse is stationary with both paws on the surface.  
1:59 - 2:02: The mouse lifts its right paw and moves it toward the spout.  
2:03 - 2:06: The mouse's right paw touches the water drop, but the drop remains on the spout.  
2:07 - 2:10: The mouse's right paw moves away from the spout without retrieving the water drop.  
2:11 - 4:15: The mouse remains stationary with both paws on the surface.  
7. 95%", 95%,22.86690984087536,20.70321946946947,25.37031906906907,34.54379702293976,34.08754431720099,34.97042474874485
8,8,67, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained attached to the spout, and no retrieval occurred.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, as the tongue did not touch the drop and the right paw did not move toward the spout. The water drop remained attached to the spout, and no retrieval occurred.  
6. 0:00 - 1:20: The mouse is stationary with both paws on the surface.  
1:21 - 1:30: The mouse lifts its left paw and moves it toward the spout.  
1:31 - 1:40: The mouse's left paw touches the water drop, but the tongue does not make contact.  
1:41 - 4:45: The mouse continues to hold the water drop with its left paw but does not bring it to its mouth.  
7. 95%", 95%,22.723012840426627,20.283850725725724,28.028785035035035,34.58295292432439,33.65476088081435,35.059299550693844
9,9,66, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the spout, the water drop was dislodged and brought into the mouth, and the tongue made clear contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the spout, the water drop was dislodged and brought into the mouth, and the tongue made clear contact with the water, indicating full consumption.  
6. 0:00 - 1:59: The mouse remains stationary with both paws on the surface. 2:00 - 2:05: The mouse lifts its right paw and moves it toward the spout. 2:06 - 2:10: The right paw makes contact with the water drop, dislodging it. 2:11 - 4:45: The mouse brings the water drop to its mouth and licks it, with the tongue clearly making contact. 4:46 - 4:46: The mouse finishes drinking.  
7. 95%", 95%,23.660049607797458,21.138021146146148,27.145216466466465,34.395984471448294,33.7938705163005,34.880160328413915
