filename,accuracy,balanced_accuracy,macro_f1,true_negatives,false_positives,false_negatives,true_positives,has_class_mismatch,classes_only_in_pred,classes_only_in_true,precision_f,recall_f,f1-score_f,support_f,precision_s,recall_s,f1-score_s,support_s
K_R3_2025-02-04_1.csv_BALANCED,0.5952380952380952,0.5952380952380952,0.5894192064404831,15,6,11,10,False,[],[],0.5769230769230769,0.7142857142857143,0.6382978723404256,21.0,0.625,0.47619047619047616,0.5405405405405406,21.0
FJ_R3_2024-07-15_1.csv_BALANCED,1.0,1.0,1.0,1,0,0,1,False,[],[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AZ_R2_2024-12-14_1.csv_BALANCED,0.75,0.75,0.7333333333333334,4,4,0,8,False,[],[],1.0,0.5,0.6666666666666666,8.0,0.6666666666666666,1.0,0.8,8.0
K_R3_2025-02-21_1.csv_BALANCED,0.6375,0.6375,0.5982683982683983,38,2,27,13,False,[],[],0.5846153846153846,0.95,0.7238095238095238,40.0,0.8666666666666667,0.325,0.4727272727272727,40.0
FJ_L3_2024-07-15_1.csv_BALANCED,0.7857142857142857,0.7857142857142857,0.7846153846153847,12,2,4,10,False,[],[],0.75,0.8571428571428571,0.8,14.0,0.8333333333333334,0.7142857142857143,0.7692307692307693,14.0
FU_R2_2024-06-29_1.csv_BALANCED,0.6153846153846154,0.6153846153846154,0.6130952380952381,9,4,6,7,False,[],[],0.6,0.6923076923076923,0.6428571428571429,13.0,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0
K_R2_2025-02-04_1.csv_BALANCED,0.8269230769230769,0.8269230769230769,0.8263450834879407,23,3,6,20,False,[],[],0.7931034482758621,0.8846153846153846,0.8363636363636363,26.0,0.8695652173913043,0.7692307692307693,0.8163265306122449,26.0
AZ_L3_2024-12-29_1.csv_BALANCED,0.5294117647058824,0.5294117647058824,0.5277777777777778,10,7,9,8,False,[],[],0.5263157894736842,0.5882352941176471,0.5555555555555556,17.0,0.5333333333333333,0.47058823529411764,0.5,17.0
FS_L2_2024-06-28_1.csv_BALANCED,0.6818181818181818,0.6818181818181818,0.6644880174291938,20,2,12,10,False,[],[],0.625,0.9090909090909091,0.7407407407407407,22.0,0.8333333333333334,0.45454545454545453,0.5882352941176471,22.0
FS_R2_2024-06-29_1.csv_BALANCED,0.6153846153846154,0.6153846153846154,0.59375,11,2,8,5,False,[],[],0.5789473684210527,0.8461538461538461,0.6875,13.0,0.7142857142857143,0.38461538461538464,0.5,13.0
FJ_R3_2024-07-29_1.csv_BALANCED,0.7142857142857143,0.7142857142857143,0.6932440657334145,41,1,23,19,False,[],[],0.640625,0.9761904761904762,0.7735849056603774,42.0,0.95,0.4523809523809524,0.6129032258064516,42.0
AZ_R2_2024-11-22_1.csv_BALANCED,0.5,0.5,0.4989648033126294,5,6,5,6,False,[],[],0.5,0.45454545454545453,0.47619047619047616,11.0,0.5,0.5454545454545454,0.5217391304347826,11.0
FJ_R3_2024-06-29_1.csv_BALANCED,0.9285714285714286,0.9285714285714286,0.48148148148148145,0,0,3,39,True,['f'],[],0.0,0.0,0.0,0.0,1.0,0.9285714285714286,0.9629629629629629,42.0
AZ_L3_2024-11-22_1.csv_BALANCED,0.5,0.5,0.5,2,2,2,2,False,[],[],0.5,0.5,0.5,4.0,0.5,0.5,0.5,4.0
FJ_R2_2024-07-15_1.csv_BALANCED,0.8333333333333334,0.8333333333333333,0.8285714285714285,3,0,1,2,False,[],[],0.75,1.0,0.8571428571428571,3.0,1.0,0.6666666666666666,0.8,3.0
FU_R2_2024-07-18_1.csv_BALANCED,0.875,0.875,0.873015873015873,6,2,0,8,False,[],[],1.0,0.75,0.8571428571428571,8.0,0.8,1.0,0.8888888888888888,8.0
K_R3_2025-01-13_1.csv_BALANCED,0.75,0.75,0.746031746031746,5,3,1,7,False,[],[],0.8333333333333334,0.625,0.7142857142857143,8.0,0.7,0.875,0.7777777777777778,8.0
K_R2_2025-01-14_1.csv_BALANCED,0.7857142857142857,0.7857142857142858,0.78125,9,5,1,13,False,[],[],0.9,0.6428571428571429,0.75,14.0,0.7222222222222222,0.9285714285714286,0.8125,14.0
AZ_L3_2024-12-16_1.csv_BALANCED,0.5625,0.5625,0.5607843137254902,4,4,3,5,False,[],[],0.5714285714285714,0.5,0.5333333333333333,8.0,0.5555555555555556,0.625,0.5882352941176471,8.0
FJ_R2_2024-06-29_1.csv_BALANCED,0.8026315789473685,0.8026315789473684,0.8025974025974026,30,8,7,31,False,[],[],0.8108108108108109,0.7894736842105263,0.8,38.0,0.7948717948717948,0.8157894736842105,0.8051948051948052,38.0
FJ_L3_2024-06-29_1.csv_BALANCED,0.5333333333333333,0.5333333333333333,0.53125,7,8,6,9,False,[],[],0.5384615384615384,0.4666666666666667,0.5,15.0,0.5294117647058824,0.6,0.5625,15.0
FJ_L2_2024-07-29_1.csv_BALANCED,0.7692307692307693,0.7692307692307692,0.7678571428571428,9,4,2,11,False,[],[],0.8181818181818182,0.6923076923076923,0.75,13.0,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
AZ_R2_2024-12-29_1.csv_BALANCED,0.5,0.5,0.3333333333333333,0,2,0,2,True,[],['f'],0.0,0.0,0.0,2.0,0.5,1.0,0.6666666666666666,2.0
FJ_R2_2024-07-29_1.csv_BALANCED,1.0,1.0,1.0,3,0,0,3,False,[],[],1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0
K_R3_2025-01-14_1.csv_BALANCED,0.625,0.625,0.6190476190476191,2,2,1,3,False,[],[],0.6666666666666666,0.5,0.5714285714285714,4.0,0.6,0.75,0.6666666666666666,4.0
FJ_L2_2024-06-29_1.csv_BALANCED,0.6764705882352942,0.6764705882352942,0.6739319965126417,13,4,7,10,False,[],[],0.65,0.7647058823529411,0.7027027027027027,17.0,0.7142857142857143,0.5882352941176471,0.6451612903225806,17.0
FS_L2_2024-07-31_1.csv_BALANCED,0.5,0.5,0.4949494949494949,4,6,4,6,False,[],[],0.5,0.4,0.4444444444444444,10.0,0.5,0.6,0.5454545454545454,10.0
FJ_L2_2024-07-15_1.csv_BALANCED,0.8333333333333334,0.8333333333333333,0.8285714285714285,3,0,1,2,False,[],[],0.75,1.0,0.8571428571428571,3.0,1.0,0.6666666666666666,0.8,3.0
FJ_L3_2024-07-29_1.csv_BALANCED,0.7962962962962963,0.7962962962962963,0.7928147889780258,25,2,9,18,False,[],[],0.7352941176470589,0.9259259259259259,0.819672131147541,27.0,0.9,0.6666666666666666,0.7659574468085106,27.0
