"filename","accuracy","balanced_accuracy","macro_f1","true_negatives","false_positives","false_negatives","true_positives","precision_f","recall_f","f1-score_f","support_f","precision_s","recall_s","f1-score_s","support_s"
"K_R3_2025-02-04_1.csv_BALANCED",0.642857142857143,0.642857142857143,0.605015673981191,7,14,1,20,0.875,0.333333333333333,0.482758620689655,21,0.588235294117647,0.952380952380952,0.727272727272727,21
"FJ_R3_2024-07-15_1.csv_BALANCED",0.5,0.5,0.333333333333333,0,1,0,1,0,0,0,1,0.5,1,0.666666666666667,1
"AZ_R2_2024-12-14_1.csv_BALANCED",0.6875,0.6875,0.653679653679654,3,5,0,8,1,0.375,0.545454545454545,8,0.615384615384615,1,0.761904761904762,8
"K_R3_2025-02-21_1.csv_BALANCED",0.730769230769231,0.730769230769231,0.729658359465258,26,13,8,31,0.764705882352941,0.666666666666667,0.712328767123288,39,0.704545454545455,0.794871794871795,0.746987951807229,39
"FJ_L3_2024-07-15_1.csv_BALANCED",0.642857142857143,0.642857142857143,0.625668449197861,6,8,2,12,0.75,0.428571428571429,0.545454545454545,14,0.6,0.857142857142857,0.705882352941176,14
"FU_R2_2024-06-29_1.csv_BALANCED",0.769230769230769,0.769230769230769,0.769230769230769,10,3,3,10,0.769230769230769,0.769230769230769,0.769230769230769,13,0.769230769230769,0.769230769230769,0.769230769230769,13
"K_R2_2025-02-04_1.csv_BALANCED",0.68,0.68,0.652777777777778,10,15,1,24,0.909090909090909,0.4,0.555555555555556,25,0.615384615384615,0.96,0.75,25
"AZ_L3_2024-12-29_1.csv_BALANCED",0.705882352941176,0.705882352941176,0.688644688644689,16,1,9,8,0.64,0.941176470588235,0.761904761904762,17,0.888888888888889,0.470588235294118,0.615384615384615,17
"FS_L2_2024-06-28_1.csv_BALANCED",0.931818181818182,0.931818181818182,0.93149974052932,19,3,0,22,1,0.863636363636364,0.926829268292683,22,0.88,1,0.936170212765957,22
"FS_R2_2024-06-29_1.csv_BALANCED",0.846153846153846,0.846153846153846,0.842424242424242,9,4,0,13,1,0.692307692307692,0.818181818181818,13,0.764705882352941,1,0.866666666666667,13
"FJ_R3_2024-07-29_1.csv_BALANCED",0.536585365853659,0.536585365853659,0.453333333333333,6,35,3,38,0.666666666666667,0.146341463414634,0.24,41,0.520547945205479,0.926829268292683,0.666666666666667,41
"AZ_R2_2024-11-22_1.csv_BALANCED",0.636363636363636,0.636363636363636,0.607142857142857,4,7,1,10,0.8,0.363636363636364,0.5,11,0.588235294117647,0.909090909090909,0.714285714285714,11
"FJ_R3_2024-06-29_1.csv_BALANCED",0.928571428571429,0.928571428571429,0.481481481481482,0,0,3,39,0,0,0,0,1,0.928571428571429,0.962962962962963,42
"AZ_L3_2024-11-22_1.csv_BALANCED",0.875,0.875,0.873015873015873,3,1,0,4,1,0.75,0.857142857142857,4,0.8,1,0.888888888888889,4
"FJ_R2_2024-07-15_1.csv_BALANCED",0.666666666666667,0.666666666666667,0.625,1,2,0,3,1,0.333333333333333,0.5,3,0.6,1,0.75,3
"FU_R2_2024-07-18_1.csv_BALANCED",0.6875,0.6875,0.653679653679654,3,5,0,8,1,0.375,0.545454545454545,8,0.615384615384615,1,0.761904761904762,8
"K_R3_2025-01-13_1.csv_BALANCED",0.75,0.75,0.733333333333333,4,4,0,8,1,0.5,0.666666666666667,8,0.666666666666667,1,0.8,8
"K_R2_2025-01-14_1.csv_BALANCED",0.821428571428571,0.821428571428571,0.815546772068511,9,5,0,14,1,0.642857142857143,0.782608695652174,14,0.736842105263158,1,0.848484848484848,14
"AZ_L3_2024-12-16_1.csv_BALANCED",0.8125,0.8125,0.805668016194332,8,0,3,5,0.727272727272727,1,0.842105263157895,8,1,0.625,0.769230769230769,8
"FJ_R2_2024-06-29_1.csv_BALANCED",0.618421052631579,0.618421052631579,0.592982456140351,14,24,5,33,0.736842105263158,0.368421052631579,0.491228070175439,38,0.578947368421053,0.868421052631579,0.694736842105263,38
"FJ_L3_2024-06-29_1.csv_BALANCED",0.766666666666667,0.766666666666667,0.766407119021135,11,4,3,12,0.785714285714286,0.733333333333333,0.758620689655172,15,0.75,0.8,0.774193548387097,15
"FJ_L2_2024-07-29_1.csv_BALANCED",0.769230769230769,0.769230769230769,0.763636363636364,8,5,1,12,0.888888888888889,0.615384615384615,0.727272727272727,13,0.705882352941176,0.923076923076923,0.8,13
"AZ_R2_2024-12-29_1.csv_BALANCED",1,1,1,2,0,0,2,1,1,1,2,1,1,1,2
"FJ_R2_2024-07-29_1.csv_BALANCED",0.666666666666667,0.666666666666667,0.625,1,2,0,3,1,0.333333333333333,0.5,3,0.6,1,0.75,3
"FJ_L2_2024-06-29_1.csv_BALANCED",0.852941176470588,0.852941176470588,0.85178727114211,13,4,1,16,0.928571428571429,0.764705882352941,0.838709677419355,17,0.8,0.941176470588235,0.864864864864865,17
"FS_L2_2024-07-31_1.csv_BALANCED",0.85,0.85,0.846547314578005,7,3,0,10,1,0.7,0.823529411764706,10,0.769230769230769,1,0.869565217391304,10
"FJ_L2_2024-07-15_1.csv_BALANCED",0.666666666666667,0.666666666666667,0.666666666666667,2,1,1,2,0.666666666666667,0.666666666666667,0.666666666666667,3,0.666666666666667,0.666666666666667,0.666666666666667,3
"FJ_L3_2024-07-29_1.csv_BALANCED",0.685185185185185,0.685185185185185,0.665817255187477,12,15,2,25,0.857142857142857,0.444444444444444,0.585365853658537,27,0.625,0.925925925925926,0.746268656716418,27
