filename,accuracy,balanced_accuracy,macro_f1,true_negatives,false_positives,false_negatives,true_positives,precision_f,recall_f,f1-score_f,support_f,precision_s,recall_s,f1-score_s,support_s
FJ_R3_2024-07-15_1.csv_BALANCED,0.5,0.5,0.3333333333333333,0,1,0,1,0.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,1.0
K_R3_2025-02-21_1.csv_BALANCED,0.6125,0.6125,0.5705627705627706,12,28,3,37,0.8,0.3,0.43636363636363634,40.0,0.5692307692307692,0.925,0.7047619047619048,40.0
FJ_L3_2024-07-15_1.csv_BALANCED,0.7857142857142857,0.7857142857142857,0.7754010695187166,8,6,0,14,1.0,0.5714285714285714,0.7272727272727273,14.0,0.7,1.0,0.8235294117647058,14.0
FU_R2_2024-06-29_1.csv_BALANCED,0.8076923076923077,0.8076923076923077,0.8050974512743628,9,4,1,12,0.9,0.6923076923076923,0.782608695652174,13.0,0.75,0.9230769230769231,0.8275862068965517,13.0
FS_L2_2024-06-28_1.csv_BALANCED,0.9090909090909091,0.9090909090909092,0.9089026915113871,19,3,1,21,0.95,0.8636363636363636,0.9047619047619048,22.0,0.875,0.9545454545454546,0.9130434782608695,22.0
FJ_R3_2024-06-29_1.csv_BALANCED,0.9523809523809523,0.9523809523809523,0.4878048780487805,0,0,2,40,0.0,0.0,0.0,0.0,1.0,0.9523809523809523,0.975609756097561,42.0
AZ_L3_2024-11-22_1.csv_BALANCED,0.875,0.875,0.873015873015873,3,1,0,4,1.0,0.75,0.8571428571428571,4.0,0.8,1.0,0.8888888888888888,4.0
K_R2_2025-01-14_1.csv_BALANCED,0.6785714285714286,0.6785714285714286,0.6415362731152205,5,9,0,14,1.0,0.35714285714285715,0.5263157894736842,14.0,0.6086956521739131,1.0,0.7567567567567568,14.0
AZ_L3_2024-12-16_1.csv_BALANCED,0.875,0.875,0.873015873015873,6,2,0,8,1.0,0.75,0.8571428571428571,8.0,0.8,1.0,0.8888888888888888,8.0
FJ_L3_2024-06-29_1.csv_BALANCED,0.6333333333333333,0.6333333333333333,0.6122209165687427,6,9,2,13,0.75,0.4,0.5217391304347826,15.0,0.5909090909090909,0.8666666666666667,0.7027027027027027,15.0
FJ_L2_2024-07-29_1.csv_BALANCED,0.8076923076923077,0.8076923076923077,0.8003072196620584,8,5,0,13,1.0,0.6153846153846154,0.7619047619047619,13.0,0.7222222222222222,1.0,0.8387096774193549,13.0
FS_L2_2024-07-31_1.csv_BALANCED,0.95,0.95,0.949874686716792,9,1,0,10,1.0,0.9,0.9473684210526315,10.0,0.9090909090909091,1.0,0.9523809523809523,10.0
