filename,total_trials,agreements,disagreements,accuracy,cohen_kappa,disagreement_rate
FJ_R2_2024-07-15_1.csv,38,38,0,1.000,1.000,0.000
FJ_R3_2024-07-15_1.csv,6,6,0,1.000,1.000,0.000
K_R2_2025-01-14_1.csv,74,73,1,0.986,0.955,0.014
FJ_L2_2024-06-29_1.csv,46,44,2,0.957,0.909,0.043
K_R3_2025-02-21_1.csv,83,77,6,0.928,0.855,0.072
FS_L2_2024-06-28_1.csv,86,81,5,0.942,0.840,0.058
AZ_L3_2024-12-16_1.csv,26,24,2,0.923,0.831,0.077
FJ_L3_2024-06-29_1.csv,60,56,4,0.933,0.822,0.067
FS_L2_2024-07-31_1.csv,41,38,3,0.927,0.808,0.073
FU_R2_2024-06-29_1.csv,68,63,5,0.926,0.781,0.074
AZ_R2_2024-12-29_1.csv,28,27,1,0.964,0.781,0.036
AZ_R2_2024-12-14_1.csv,43,40,3,0.930,0.758,0.070
K_R2_2025-02-04_1.csv,82,73,9,0.890,0.754,0.110
FJ_R2_2024-06-29_1.csv,86,75,11,0.872,0.744,0.128
K_R3_2025-02-04_1.csv,79,71,8,0.899,0.724,0.101
FJ_L3_2024-07-29_1.csv,65,56,9,0.862,0.719,0.138
FJ_L3_2024-07-15_1.csv,49,42,7,0.857,0.696,0.143
FS_R2_2024-06-29_1.csv,100,94,6,0.940,0.695,0.060
AZ_L3_2024-12-29_1.csv,55,47,8,0.855,0.690,0.145
FU_R2_2024-07-18_1.csv,55,50,5,0.909,0.684,0.091
FJ_L2_2024-07-15_1.csv,29,27,2,0.931,0.628,0.069
K_R3_2025-01-13_1.csv,77,70,7,0.909,0.581,0.091
FJ_R2_2024-07-29_1.csv,28,24,4,0.857,0.529,0.143
AZ_R2_2024-11-22_1.csv,74,62,12,0.838,0.507,0.162
AZ_L3_2024-11-22_1.csv,50,46,4,0.920,0.457,0.080
K_R3_2025-01-14_1.csv,37,34,3,0.919,0.373,0.081
FJ_R3_2024-06-29_1.csv,42,38,4,0.905,0.000,0.095
